sampleMetadata	class	injectionOrder	batch	sampleType	KO	id
X20180910_501P_neg_040	Bio	40	b1	sample	Mx2	X20180910_501P_neg_040
X20180910_616P_neg_041	Bio	41	b1	sample	CTL	X20180910_616P_neg_041
X20180910_QC.EI_neg_042	QC	42	b1	pool	NA	X20180910_QC.EI_neg_042
X20180910_824P_neg_043	Bio	43	b1	sample	Lat	X20180910_824P_neg_043
X20180910_529P_neg_044	Bio	44	b1	sample	Mx2	X20180910_529P_neg_044
X20180910_818P_neg_045	Bio	45	b1	sample	Lat	X20180910_818P_neg_045
X20180910_503P_neg_046	Bio	46	b1	sample	Mx2	X20180910_503P_neg_046
X20180910_625P_neg_047	Bio	47	b1	sample	CTL	X20180910_625P_neg_047
X20180910_QC.EI_neg_048	QC	48	b1	pool	NA	X20180910_QC.EI_neg_048
X20180910_632P_neg_049	Bio	49	b1	sample	CTL	X20180910_632P_neg_049
X20180910_517P_neg_050	Bio	50	b1	sample	Mx2	X20180910_517P_neg_050
X20180910_527P_neg_051	Bio	51	b1	sample	Mx2	X20180910_527P_neg_051
X20180910_825P_neg_052	Bio	52	b1	sample	Lat	X20180910_825P_neg_052
X20180910_621P_neg_053	Bio	53	b1	sample	CTL	X20180910_621P_neg_053
X20180910_QC.EI_neg_054	QC	54	b1	pool	NA	X20180910_QC.EI_neg_054
X20180910_836P_neg_055	Bio	55	b1	sample	Lat	X20180910_836P_neg_055
X20180910_634P_neg_056	Bio	56	b1	sample	CTL	X20180910_634P_neg_056
X20180910_502P_neg_057	Bio	57	b1	sample	Mx2	X20180910_502P_neg_057
X20180910_623P_neg_058	Bio	58	b1	sample	CTL	X20180910_623P_neg_058
X20180910_QC.EI_neg_059	QC	59	b1	pool	NA	X20180910_QC.EI_neg_059
X20180910_509P_neg_060	Bio	60	b1	sample	Mx2	X20180910_509P_neg_060
X20180910_629P_neg_061	Bio	61	b1	sample	CTL	X20180910_629P_neg_061
X20180910_859P_neg_062	Bio	62	b1	sample	Lat	X20180910_859P_neg_062
X20180910_862P_neg_063	Bio	63	b1	sample	Lat	X20180910_862P_neg_063
X20180910_620P_neg_064	Bio	64	b1	sample	CTL	X20180910_620P_neg_064
X20180910_QC.EI_neg_065	QC	65	b1	pool	NA	X20180910_QC.EI_neg_065
X20180910_506P_neg_066	Bio	66	b1	sample	Mx2	X20180910_506P_neg_066
X20180910_508P_neg_067	Bio	67	b1	sample	Mx2	X20180910_508P_neg_067
X20180910_826P_neg_068	Bio	68	b1	sample	Lat	X20180910_826P_neg_068
X20180910_627P_neg_069	Bio	69	b1	sample	CTL	X20180910_627P_neg_069
X20180910_841P_neg_070	Bio	70	b1	sample	Lat	X20180910_841P_neg_070
X20180910_QC.EI_neg_071	QC	71	b1	pool	NA	X20180910_QC.EI_neg_071
X20180910_622P_neg_072	Bio	72	b1	sample	CTL	X20180910_622P_neg_072
X20180910_528P_neg_073	Bio	73	b1	sample	Mx2	X20180910_528P_neg_073
X20180910_521P_neg_074	Bio	74	b1	sample	Mx2	X20180910_521P_neg_074
X20180910_QC.EI_neg_075	QC	75	b1	pool	NA	X20180910_QC.EI_neg_075
X20180910_Blanc.EI_neg_076	Blanc	76	b1	blank	NA	X20180910_Blanc.EI_neg_076
