variableMetadata	accession	description	uniprot_id	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2
P42703_Leukemia inhibitory fact.	sp|P42703|LIFR_MOUSE	Leukemia inhibitory factor receptor  OS=Mus musculus (Mouse) GN=Lifr PE=1 SV=1	P42703	-0.280368890621467	0.138271872264332	0	0.427096447929177	0.000888632732595011	1	-0.184104941824785	0.198022708549458	0	0.426382976472691	0.000829927713487228	1	1.78449953671311	1.42404020582017
Q19LI2_Alpha-1B-glycoprotein	sp|Q19LI2|A1BG_MOUSE	Alpha-1B-glycoprotein  OS=Mus musculus (Mouse) GN=A1bg PE=1 SV=1	Q19LI2	-0.389150540809361	0.648797997719386	0	6.87792257123265	1.14012190919585e-10	1	0.745539427629627	0.538448759699706	0	6.90799933085854	3.34903904248717e-12	1	0.258116615113386	0.108327728678563
O70362_Phosphatidylinositol-gly.	sp|O70362|PHLD_MOUSE	Phosphatidylinositol-glycan-specific phospholipase D  OS=Mus musculus (Mouse) GN=Gpld1 PE=1 SV=1	O70362	-0.0286055152384996	0.837246217994402	0	0.0175319485090597	0.869355766235941	0	-0.0246059502076434	0.73049133906853	0	0.15317128867223	0.0265809397031011	1	0.659892209928858	0.839104303017499
P06683_Complement component C9	sp|P06683|CO9_MOUSE	Complement component C9  OS=Mus musculus (Mouse) GN=C9 PE=1 SV=2	P06683	-0.0210454642925768	0.940505884366681	0	-1.29904213425613	9.40429292461522e-12	1	-0.161463657634826	0.500587269411529	0	-1.37855523011721	8.1443683596546e-12	1	0.230977242458789	0.0924527389000389
Q61704_Inter-alpha-trypsin inhi.	sp|Q61704|ITIH3_MOUSE	Inter-alpha-trypsin inhibitor heavy chain H3  OS=Mus musculus (Mouse) GN=Itih3 PE=1 SV=3	Q61704	0.0994307816433668	0.560646994108898	0	-0.0279674707793411	0.831626185804694	0	0.206220466679977	0.177840918503847	0	-0.138211391398794	0.259213573528083	0	0.841624951947025	1.81311700448349
Q03734_Serine protease inhibito.	sp|Q03734|SPA3M_MOUSE	Serine protease inhibitor A3M  OS=Mus musculus (Mouse) GN=Serpina3m PE=1 SV=2	Q03734	-0.0959363013197851	0.533502378813109	0	0.498301104192468	4.15834470604237e-05	1	-0.0389302510652634	0.606714862232891	0	0.728833520486472	1.01513154585682e-07	1	0.931815116301674	0.715486905373806
Q01339_Beta-2-glycoprotein 1	sp|Q01339|APOH_MOUSE	Beta-2-glycoprotein 1  OS=Mus musculus (Mouse) GN=Apoh PE=1 SV=1	Q01339	-0.105648200413402	0.453352565810961	0	-0.0221268159909229	0.827596240060063	0	-0.0382267351357903	0.606714862232891	0	0.0700067932199282	0.291859005106687	0	1.54027017072545	0.96717763857031
P01872_Immunoglobulin heavy con.	sp|P01872|IGHM_MOUSE	Immunoglobulin heavy constant mu  OS=Mus musculus (Mouse) GN=Ighm PE=1 SV=2	P01872	0.00292766484758644	0.998213707988887	0	0.156775171539174	0.524913260440141	0	0.0364325991878935	0.90158023439249	0	-0.128393230186184	0.677278536882207	0	0.398030688432669	0.330828274408884
P29699_Alpha-2-HS-glycoprotein	sp|P29699|FETUA_MOUSE	Alpha-2-HS-glycoprotein  OS=Mus musculus (Mouse) GN=Ahsg PE=1 SV=1	P29699	0.104190045831665	0.482818751375932	0	0.452122773204213	4.47357987212763e-05	1	0.160338774825551	0.235997480731039	0	0.337768843661426	0.00109196992630177	1	0.283907683924849	0.709530011558506
Q8BH61_Coagulation factor XIII .	sp|Q8BH61|F13A_MOUSE	Coagulation factor XIII A chain  OS=Mus musculus (Mouse) GN=F13a1 PE=1 SV=3	Q8BH61	-0.181221801034916	0.482818751375932	0	0.197175045993536	0.242282898841242	0	-0.241977403027178	0.177840918503847	0	0.317532757163775	0.0283073642089838	1	1.02887347595799	1.62362690327043
Q8CG14_Complement C1s-A subcomp.	sp|Q8CG14|CS1A_MOUSE	Complement C1s-A subcomponent  OS=Mus musculus (Mouse) GN=C1sa PE=2 SV=2	Q8CG14	-0.104109418442082	0.537442891371067	0	-0.047823017442898	0.692887107053607	0	-0.0820734211952292	0.591448728224286	0	0.0233536214477112	0.852586624367729	0	0.941454460737489	0.645240634598656
P01867_Ig gamma-2B chain C regi.	sp|P01867|IGG2B_MOUSE	Ig gamma-2B chain C region  OS=Mus musculus (Mouse) GN=Igh-3 PE=1 SV=3	P01867	0.27985094562921	0.455739093141537	0	0.747080739843145	0.00391636676858993	1	0.817749155557205	0.0293424494637183	1	0.581517681000555	0.0504873556365651	0	0.688904489548379	1.7865471112446
Q91WP6_Serine protease inhibito.	sp|Q91WP6|SPA3N_MOUSE	Serine protease inhibitor A3N  OS=Mus musculus (Mouse) GN=Serpina3n PE=1 SV=1	Q91WP6	-0.0976834829290922	0.499254057719018	0	-0.143849556251663	0.127716176643847	0	-0.121444566990828	0.326661637555884	0	-0.117854047833518	0.279394545056135	0	1.11064009925195	0.994439587115282
P63017_Heat shock cognate 71 kD.	sp|P63017|HSP7C_MOUSE	Heat shock cognate 71 kDa protein  OS=Mus musculus (Mouse) GN=Hspa8 PE=1 SV=1	P63017	0.210369564424099	0.743174048832664	0	1.10683635836171	0.0125655602936189	1	0.504592014406903	0.287537027563107	0	0.611487028440823	0.111435427871229	0	0.48971609150766	1.19737985103878
Q9DBB9_Carboxypeptidase N subun.	sp|Q9DBB9|CPN2_MOUSE	Carboxypeptidase N subunit 2  OS=Mus musculus (Mouse) GN=Cpn2 PE=1 SV=2	Q9DBB9	-0.0193250878354476	0.846701309915053	0	-0.00340723983794078	0.965417829969611	0	-0.0328728327573735	0.669494582961579	0	0.0327968711737618	0.643869973533731	0	0.231443001185614	0.830808013171147
P02088_Hemoglobin subunit beta-1	sp|P02088|HBB1_MOUSE	Hemoglobin subunit beta-1  OS=Mus musculus (Mouse) GN=Hbb-b1 PE=1 SV=2	P02088	0.587560028115799	0.500045387716852	0	0.980870329476229	0.0898998856307031	0	0.811722093870458	0.293702154256868	0	0.613289752407159	0.387600938384117	0	0.98278964900494	1.02094501843091
P08226_Apolipoprotein E	sp|P08226|APOE_MOUSE	Apolipoprotein E  OS=Mus musculus (Mouse) GN=Apoe PE=1 SV=2	P08226	0.145881296939439	0.448296759623705	0	0.19833506396181	0.0661317061180585	0	0.124350201601864	0.43399716593662	0	0.111427190516643	0.42790243165176	0	0.949036170278745	0.940193488421581
P21180_Complement C2	sp|P21180|CO2_MOUSE	Complement C2  OS=Mus musculus (Mouse) GN=C2 PE=1 SV=2	P21180	0.0168601184090953	0.908866985395607	0	-0.502750486377831	5.47317362464148e-05	1	-0.140917350082631	0.409741314545371	0	-0.59281651710241	4.78386304603113e-06	1	0.306008680008597	0.256688314538059
Q8BND5_Sulfhydryl oxidase 1	sp|Q8BND5|QSOX1_MOUSE	Sulfhydryl oxidase 1  OS=Mus musculus (Mouse) GN=Qsox1 PE=1 SV=1	Q8BND5	-0.00139049437433059	0.991552803019217	0	0.0477013687612988	0.614928160621851	0	0.0639330589066276	0.606714862232891	0	0.0784507576281079	0.445221174606943	0	0.319890814466451	0.351513834467801
Q60590_Alpha-1-acid glycoprotei.	sp|Q60590|A1AG1_MOUSE	Alpha-1-acid glycoprotein 1  OS=Mus musculus (Mouse) GN=Orm1 PE=1 SV=1	Q60590	-0.129601693661243	0.875437797649516	0	-0.756727445280983	0.147965346343595	0	0.587217864272343	0.0575496816717424	0	-0.156718623170434	0.504331144265267	0	0.304197025954797	1.81398186853666
P03987_Ig gamma-3 chain C region	sp|P03987|IGHG3_MOUSE	Ig gamma-3 chain C region  OS=Mus musculus (Mouse) PE=1 SV=2	P03987	-0.0277116503931403	0.970196421754803	0	-0.1490197698675	0.730232485807814	0	-0.148704206150921	0.783144710315373	0	-0.202908994436953	0.684690000656653	0	0.132627346814163	0.2759818402398
Q61247_Alpha-2-antiplasmin	sp|Q61247|A2AP_MOUSE	Alpha-2-antiplasmin  OS=Mus musculus (Mouse) GN=Serpinf2 PE=1 SV=1	Q61247	-0.00359660708354426	0.982313590326594	0	0.0543408272081436	0.520820600153103	0	0.000546743490993151	0.986485313931927	0	-0.0208977205209386	0.794519168359658	0	0.101580545464356	0.133831181247449
Q8VDD5_Myosin-9	sp|Q8VDD5|MYH9_MOUSE	Myosin-9  OS=Mus musculus (Mouse) GN=Myh9 PE=1 SV=4	Q8VDD5	0.973835185872538	0.448296759623705	0	0.955628556889828	0.167806241794458	0	1.29287188642943	0.177857746890612	0	0.39675001529557	0.706106371598579	0	1.14041138293739	1.6957910687062
P52480_Pyruvate kinase PKM	sp|P52480|KPYM_MOUSE	Pyruvate kinase PKM  OS=Mus musculus (Mouse) GN=Pkm PE=1 SV=4	P52480	0.16680847995903	0.449728861252554	0	0.264142971274648	0.0467982234157231	1	0.219108321737529	0.198858601294052	0	0.164821796203476	0.284760926769561	0	1.23215944967196	1.40749886774973
P97290_Plasma protease C1 inhib.	sp|P97290|IC1_MOUSE	Plasma protease C1 inhibitor  OS=Mus musculus (Mouse) GN=Serping1 PE=1 SV=3	P97290	-0.102724224909661	0.45672792403104	0	-0.06224979514705	0.541400285338984	0	-0.137181493238259	0.177840918503847	0	-0.0347749784353653	0.760060480077432	0	1.20129216418529	1.7688636554283
Q8VCG4_Complement component C8 .	sp|Q8VCG4|CO8G_MOUSE	Complement component C8 gamma chain  OS=Mus musculus (Mouse) GN=C8g PE=1 SV=1	Q8VCG4	-0.173202744188348	0.448296759623705	0	-1.3544906466205	8.39364289121621e-11	1	-0.157889038604917	0.588698997428487	0	-1.35611727842895	1.40473774337186e-10	1	0.227052866581937	0.079306814242645
P01898_H-2 class I histocompati.	sp|P01898|HA10_MOUSE	H-2 class I histocompatibility antigen, Q10 alpha chain  OS=Mus musculus (Mouse) GN=H2-Q10 PE=1 SV=3	P01898	0.123232591072927	0.455739093141537	0	-0.514789814950198	5.86138606093373e-05	1	0.117390044340215	0.300250819593084	0	-0.473608757229734	4.95679282397614e-05	1	0.767103959588083	0.924568840649536
Q9JJN5_Carboxypeptidase N catal.	sp|Q9JJN5|CBPN_MOUSE	Carboxypeptidase N catalytic chain  OS=Mus musculus (Mouse) GN=Cpn1 PE=1 SV=1	Q9JJN5	-0.0183481471228788	0.865886164418164	0	-0.0422249372960835	0.594310096612956	0	0.0382477390357963	0.648029984926925	0	0.0583309754341812	0.392387008502503	0	0.0403057561311261	0.471265355269676
P49182_Heparin cofactor 2	sp|P49182|HEP2_MOUSE	Heparin cofactor 2  OS=Mus musculus (Mouse) GN=Serpind1 PE=1 SV=1	P49182	0.0479337227817958	0.717153687184034	0	-0.197771089784766	0.044235873941924	1	0.0700752763116412	0.384025031475599	0	-0.158410322578856	0.021433657303767	1	0.719222582006545	1.02557783541284
