dataMatrix	W616f	W617f	W620f	W622f	W623f	W625m	W627m	W628m	W630m	W631m	W632f	W633f	W634m	L818f	L819f	L824m	L825m	L826m	L827m	L836f	L841f	L854f	L859m	L862f
P42703_Leukemia inhibitory fact.	27.5158068958614	27.3413802358187	27.4346107946541	27.2593167150886	27.153361220118	26.9272678031338	27.3088132553847	26.9363535288826	26.778456278341	26.3649759440044	27.4976820498742	27.4868709795112	26.6926391247471	27.1559376738339	27.0551455463342	26.6781316893429	26.7246739255281	26.4429299585761	26.7404658350958	27.1118591967472	27.0112443202675	26.7313814970088	26.8833587860113	26.8171893959271
Q60994_Adiponectin	25.1587990366616	25.3631357722759	25.248085946024	25.7698233190009	25.3509861075532	24.0446856057149	24.668038801249	24.661250649053	25.1460982985125	24.6543128322337	25.6273216905457	25.1949745715514	24.7433999203464	25.748608901216	25.6028418979442	25.0476583026976	24.8861766870966	25.0355149776798	24.7908748420478	26.196290391988	25.3133664851336	25.4989642151967	25.2708048866577	26.179121540894
P06801_NADP-dependent malic enz.	17.9056112333997	18.6244762048462	18.7877786234633	18.7810362748408	19.8789148331054	18.9083843815035	18.7268261957539	19.1739021739082	18.1028500152026	20.3173171025452	18.9346630607036	19.2991923640593	19.3767504624038	19.7412615482386	19.9703967960908	19.0547232234857	19.1538051134678	19.0509863443087	20.1912942099049	20.084918655192	20.5476640352545	19.2004486023918	19.8316264725585	19.9574760129568
P70269_Cathepsin E	20.6926464712248	20.8539512154999	20.8792833449653	20.9729350095634	21.1916537088757	20.9174652345945	21.061525620791	21.4570639460459	20.4127999423828	21.0794554860781	20.7786860616061	21.0396592324	20.917633303612	20.9903036109084	21.1245959108047	21.4441160753029	21.222011404887	21.1977860138538	21.0579168822287	21.6896172373792	20.8661645160233	21.636900927855	21.4812884983684	21.2102240882241
Q02053_Ubiquitin-like modifier-.	18.021864646089	20.2755304847772	17.2065621675051	17.1585688633431	18.7224489136593	15.2029057331316	16.6499254355298	16.8050228482204	18.9089019860485	16.5714118056423	18.5225894232704	18.6487835720134	19.3794284809331	21.0904951259134	21.1415522813353	18.4230875475267	18.4563775988003	17.0421541804051	18.7092100509228	19.1430721485984	19.1510597588252	19.6832622635434	17.8254638189609	20.1058802283783
P00329_Alcohol dehydrogenase 1	16.6148399441773	17.3507214012627	17.3862874295234	17.6165249374579	17.3320836779149	17.741536902116	18.339990977738	16.8477038489299	17.4020525827854	17.3598946182168	19.4243477709197	16.8290821244681	19.7627778015526	20.0640430872349	19.560775248583	17.070979805288	19.3273721424131	19.5618903844361	19.3370417266886	17.8467815313272	18.21073611523	18.6158480375346	17.7648360929537	19.6143906179853
Q60963_Platelet-activating fact.	22.2189016710502	21.8000285624561	21.1911024505282	21.9405751845104	21.7898727914259	21.2728860261012	21.2486783933958	21.6869365692106	21.2422637935377	21.5981716821005	21.7057579790739	21.9259788529053	21.2317954026257	21.6149100882204	21.7041094430223	21.9888791576046	21.7954826443376	21.875137475276	21.8570214636291	22.2805738360018	22.0532927066648	21.6157278467898	22.2999863274598	22.6092584478066
P57780_Alpha-actinin-4	17.0550824239695	16.8152080630278	16.8198754598307	16.7980508029259	16.5482105235845	15.5578498723916	16.0514680793239	16.0100675745537	16.2477337236502	15.6150999653854	17.318420296871	17.2931901593357	15.9336032971377	17.1003577420055	17.5022467713062	16.6025395393145	17.2909692814941	16.5893696718183	17.3281606266502	16.3190890479444	17.1386451868043	17.0609931763332	16.0809182124382	17.4222142724209
P24472_Glutathione S-transferas.	17.7155819944253	16.8396838354776	17.9915495316908	17.4241902416619	19.1185926111154	16.1714522425872	16.253631094043	18.0857453661399	19.9108454488394	20.9916515044367	17.7761446085481	17.1941140110469	19.8576309183842	16.8927775864872	22.0004690924006	20.1981584404178	21.5827464656773	20.1564125762525	21.0139361597605	20.039673789105	21.1978507905975	17.9155259191263	17.0123110319963	21.7618712590377
Q07456_Protein AMBP	26.6505824256614	26.3667538865667	26.5919100109215	26.5375118087495	26.6056408115512	26.9067948324903	26.4754649120753	26.5045131560989	26.3900005786917	26.4524350618014	26.4365411397044	26.6141188328054	26.4904365482137	26.1365204174572	26.1397046600776	26.3097304353582	26.372330388127	26.3133749278168	26.4035189342836	26.2296859194538	26.4012838339468	26.419764257978	26.6232630744103	26.525131856524
P70274_Selenoprotein P	24.953852570434	24.9372059623763	24.8224375994968	24.9223450326257	24.8916942549842	24.6850557642027	24.8372771135781	24.8885641552234	24.3887206348262	24.6630639989197	24.8663146194908	24.9484024353771	24.7273127670558	24.8051103265338	24.6182015382368	24.5249589152081	24.685055015412	24.7885173200648	24.6082540322457	24.4497455078742	24.6537694195653	24.7513291150423	24.4760525954597	24.7087183954016
P41317_Mannose-binding protein C	26.1488802603488	26.2156971032294	26.2108886043564	26.3006567059751	26.2663569221436	25.6665789973567	25.5358617377551	25.3949739255628	25.5344603399244	25.8871671491214	26.3168532587369	26.1921900045767	25.4083994574833	26.0555988695633	25.973099027919	25.3582078393049	25.3437112389508	25.5628160661231	25.3912877802242	26.0342403046166	25.9200973002851	26.1897051367236	25.6463075416944	26.0097679767792
P01845_Ig lambda-3 chain C regi.	19.4580677408546	21.0446469221279	19.6602903866017	19.7944066220117	19.6344371784074	16.7518945698529	19.6733153219075	21.3364361412385	17.9373904306773	20.156700802316	19.4456357724235	19.4444962760652	19.5074814589881	21.4706248678781	18.2265231585494	20.4634696134236	21.721173261608	20.2841299389327	20.6321292468247	21.3179309141007	20.5303343003801	20.7364479711256	21.3548712170607	20.6175454852871
P70349_Histidine triad nucleoti.	17.0000761656658	19.4317931841233	19.1279222509023	17.4509129616214	19.8116701442798	16.7953596353728	17.1207994979505	19.4122328334968	17.9008037311371	19.0677822719225	17.33860051427	17.4439426462136	17.9586703487319	19.7251130530299	18.7371132330294	17.6631000319747	20.2875534489201	19.2662022081514	20.3015708570917	18.73602328315	18.386696621819	20.4134427689929	17.8657500625723	20.7402069189276
P15379_CD44 antigen	21.0531509872401	20.7972417683819	21.0584486118578	21.0145812230272	20.812876679515	20.8268719662998	20.7765859450543	20.7129068783418	21.2082843769476	20.7571221097383	20.9658826353534	20.8300953284836	20.9821185009104	20.4782941545741	20.4934639770921	20.4354198753059	20.785185131004	20.8083175071547	20.5910857188705	20.9394360091423	20.8424871197156	20.6121102188388	20.7381456691128	21.0168968500572
P04186_Complement factor B	28.7178496992746	28.7221281484438	28.8985604266632	28.9194398466625	28.8545141223693	29.0777103834721	29.0709349174761	28.9473899166283	28.8631281506072	28.9525854762945	28.8509230500388	28.9009842407268	28.9149353488915	28.7480206198825	28.7066394496079	28.8444802222575	28.8872698027577	28.8630713255083	28.8395752828699	28.7358551220775	28.8023561215464	28.7721507388037	28.6712416158448	28.6978168489303
Q00623_Apolipoprotein A-I	32.1473083510551	32.0011406538458	31.9714422519277	32.0653689629886	32.053712976216	31.9534472924256	32.3542000056564	32.0148381122156	32.7060556225684	32.2509096136037	32.0449988712081	32.1194102541797	32.5088576833307	32.304490309048	32.4439519816552	32.5534824693304	32.6263262113937	32.6402727428335	32.5160268802618	32.0206319139548	32.281593893088	32.3136279085803	32.3237287984798	31.9997204151119
P21460_Cystatin-C	20.4502547679412	20.3889775497702	20.2957905102147	20.2994281449769	20.4734285537193	16.5367905527814	20.1434573309822	17.3843083822703	17.5366274972588	20.4016832961881	16.905562700547	20.6786577310467	20.3524395183864	20.9081883697559	20.8190269676512	20.7212130131921	20.6939398215191	20.5518883544798	20.3463204372058	18.6673047521739	20.8007933769365	20.7122336242776	20.5216880177633	21.1770748804233
Q91Y97_Fructose-bisphosphate al.	16.5798854186149	18.2867988599219	17.5327834922962	19.9772756465307	18.3275951401569	18.5904389178424	16.1247269533967	18.4738388639907	18.3460245653964	18.1787673954855	20.4023362992098	16.6118642610409	18.8441183119264	17.1382694999551	18.8986629075135	19.8296688404771	19.1201910404367	19.949949302491	19.1179502581992	18.879997479184	18.5964137110822	19.4955134984761	21.009078886504	19.6787369119229
P01878_Ig alpha chain C region	25.975510136084	25.2673639294799	25.4362593787804	25.9150357720458	26.0958092292653	26.5555021343861	25.6843397427989	25.4008562499851	24.9599625012257	27.4882536373577	26.4943895432689	26.4434708445477	24.1474554021464	25.7120084420845	25.8469130661605	26.5503525968312	26.4544540564655	26.6682154369512	26.5656050963308	27.3015991781159	25.6064909495138	26.1739210779081	28.5494751788785	28.7029672881415
P01868_Ig gamma-1 chain C regio.	27.0390945866245	26.7596905280931	27.3365239936647	26.9483411178369	27.0639614854408	30.2100666462453	27.219305619902	26.5308905292149	27.1578853435874	28.1973603943045	26.5527984190074	26.826785964421	26.3752303816145	26.8583024364029	26.7084472977188	25.7384686616068	26.26034013379	25.9394229124985	26.0684319190796	25.8328154743548	26.0932605477262	28.3068137873103	25.4832382611644	26.8390305513631
Q05909_Receptor-type tyrosine-p.	17.1736472750175	17.4045324815426	18.9949356848174	17.8232205595893	19.0068254636544	16.8506208850278	18.9706168463848	17.4890937469931	18.1698555829881	19.0880062979377	19.1757953195907	17.4073145740525	18.2263238402715	19.4391323598479	17.7035923695686	19.2149119627293	19.5587203591714	19.7796378011776	17.9137420715298	19.8769357133899	19.5172672529673	17.8978706797918	18.1666091963776	19.760455199549
G5E8Q8_Adhesion G protein-coupl.	19.0407761514791	18.5796773027495	19.1498593544081	19.9975647352519	17.345897242697	19.0343889452113	16.991344465524	18.8502456034611	18.4854896700547	19.7279631357424	17.1459540311982	19.7566136376321	18.7164480650085	19.2349767136658	19.3600553646421	20.7487010224078	20.2480097731158	19.423455007554	19.9646997425099	19.2856103525983	19.5927584736467	19.6153834854781	19.1409827804582	17.879960218345
P01819_Ig heavy chain V region .	19.8206875352278	20.5355315729017	19.437733544443	19.7054949684337	20.0280635425258	19.4257484955326	19.4039167318758	19.1439162732725	19.4107537170048	20.8619361511655	22.0893594731404	19.8497061197264	18.9185708355466	20.4101496888136	20.3600678424491	20.37972987111	20.2603600979574	20.7540172878201	20.265549522261	21.3440571910647	20.1998220906653	20.0772277665687	20.2082732062756	21.5421919832964
P70663_SPARC-like protein 1	20.9662246691377	21.4283142912968	21.0960337123419	21.5651575258637	21.7811667798677	21.2979712225055	19.1249293494182	19.6561056734531	21.1226142775013	20.5606293966902	21.662186898238	20.4928302945144	21.0927258535975	21.4566504504801	21.2917783132932	21.0701021046543	21.063964611401	21.1063538293299	21.3946530538128	21.8815845072506	21.1559200763643	21.5364875831684	21.9171817513127	22.3240802619546
P20029_Endoplasmic reticulum ch.	20.8301462044972	21.4032288283774	21.7086371556342	21.6169906221279	21.5060340364205	20.9329466801293	20.5879984714067	21.9794876481292	21.6091154858965	21.7188046977718	21.5765724568889	21.4310260720767	21.5641563529178	22.0921577255424	22.2375080187865	21.894876958811	21.6600150489167	21.7198997217305	21.7797837671758	21.4795337133001	22.0651197656908	21.2973275854076	21.4419470915864	21.8521083644651
Q9R098_Hepatocyte growth factor.	24.4449246402454	24.4758739165604	24.2682270091446	24.5222447155374	24.7026876049054	24.3451802520722	24.0806220531457	24.2595813653458	23.9234966029974	24.532290759463	24.5875566464314	24.5974353006206	24.3973683331186	24.260792074171	24.2021045382854	24.0084951320726	24.1705374354167	24.3471481045118	24.3332648348446	22.7868443146396	23.8376981830846	24.4157354509984	24.1056449583869	24.1847588391661
P39039_Mannose-binding protein A	25.7036977800824	25.4057139675396	25.7766576207748	25.8158780201452	25.6907856684151	25.8892902386938	26.0372959205806	25.9083022721117	25.8431420466753	25.9736856314136	25.8555887148733	25.8776893829302	26.1364681607271	25.590298529204	25.5952024957579	26.0009447352735	25.9420943031188	26.0046264744556	25.916192733512	25.2989477431197	25.6780899846755	25.4364582820322	25.4986134405342	25.1615304984153
P11859_Angiotensinogen	25.0434108357506	25.1509993459701	25.0739784127098	25.4243088105851	25.1619143999706	24.9825319075571	25.0062957704657	25.2051002733837	25.1968726821091	25.195926791709	24.8854170086536	25.1090046919818	25.1331317053403	25.0234200265496	24.5765023383	25.0085481327067	25.0181857434759	24.9856706796091	24.8843407489583	25.0768958228159	25.0193163571356	24.9897471103482	25.0745805279471	25.0076196560741
Q64726_Zinc-alpha-2-glycoprotein	25.9013897016573	25.9037088502595	26.1164865876113	26.1002824811373	25.9783314843411	25.9377696322411	26.1564171994333	26.3998423318295	26.1705838884788	26.1335135172736	26.0534788269364	25.9514410710354	26.105096127246	26.0032456146722	25.6807708180365	26.2260699279639	26.0281434896744	26.0803502638552	26.0085732645849	25.8477607550488	25.8650529247883	25.8274903113702	25.9517868975019	25.6361331538887
P01029_Complement C4-B	28.3700185915708	28.4932502945293	28.3628770166541	28.786251976628	28.5890755020695	29.1431215941658	28.8527174179303	28.4824298424431	28.448399541525	28.6210998844287	28.2158956908754	28.7531859346605	28.4288079190819	28.1013516987786	27.2693096281005	28.718775124883	28.45269696838	28.2771498828455	28.3265774724785	27.9417262683364	28.4056147791469	28.7904073646976	28.6092869708458	28.1536808229964
Q9WVA4_Transgelin-2	17.9358657226087	20.0743038409732	20.3651965375351	18.5193471151682	20.8698897458581	18.9632954626268	19.4672496839248	20.8273399903699	20.562725369957	19.7006255532702	20.7636010134596	21.6943911532854	17.1724318060951	22.3713342407695	22.1417469994187	20.4367678353234	21.2335905685452	20.8195975256417	21.1780582904292	18.5512034162598	21.9124035811653	21.3403569101821	18.9307003539396	20.9165223332403
B2RUP2_Protein unc-13 homolog D	21.7200297156426	21.0410782385169	21.5109705606254	21.4075850649485	21.2020785248162	20.4774146500199	21.6355560588196	20.8154601098864	23.4065987014762	20.8229588864259	20.933375674967	21.4532544297682	21.4827059297897	20.7231975303163	21.5732512318083	21.607143128037	18.6526815334469	19.0648055908317	20.6006084914267	20.7158113107625	21.5773253249837	21.2476130586836	20.6569577830848	20.4769111869319
Q8K0E8_Fibrinogen beta chain	29.9933858010665	29.9513039268646	30.4015062369046	30.0158698045309	29.8263152387483	30.8088781787301	30.9456880659534	29.7089989110323	29.4488229684498	30.8031205944662	29.0844486629423	29.2306193208006	29.7836390398621	28.9878171350735	28.652298599672	29.667834755765	29.6519400733469	28.9117515700022	29.2058177048025	30.3545232753008	29.2757242671034	29.6970198279041	30.6337254040084	29.2613941064106
Q62009_Periostin	23.1336999176837	23.3764080125547	23.2835018559956	23.4528247625348	23.0419603789664	23.2878236769245	22.6679471196602	22.9228655528628	22.6951599913985	22.6370893793471	23.3728273406854	23.1088889142589	22.7485332550836	23.0231702460898	22.8020446557339	22.6775552412191	22.6486331874019	22.7370406798376	22.7201350595461	23.1592404964018	22.876370805139	23.0357869568487	22.8334995126028	23.2424763485495
P34928_Apolipoprotein C-I	25.9626826455998	25.9728403806332	25.554062884095	25.8207920035669	25.9040994853919	26.1180922631491	26.3576145546106	26.1959165819557	26.1421065897532	26.0977384824685	25.911626325265	26.0093300931617	26.4750654425918	25.9167022680321	25.9830834542425	26.842799182028	26.5396623180249	26.3702336254719	26.4794627867024	25.8249123336674	26.0869101247801	26.0272499886415	26.180996009351	25.9583018914151
P01636_Ig kappa chain V-V regio.	23.5966753427556	24.5897358277957	23.503065425537	23.6229459498856	23.629840841954	24.6184765792951	22.3577702466781	27.3142954374782	23.6663244634207	22.4142890946707	24.2720114870719	23.5858923978026	24.6981999834785	23.1339750063313	22.9587127987171	20.6065704734806	23.2078797124048	23.5198534950928	22.8414767218303	23.8961237545575	22.887559685454	22.5319289642487	23.5785520154903	23.9209024363826
Q8K426_Resistin-like gamma	18.4778664676759	18.3759788326748	20.0516117372561	19.5666810959417	19.5441024752776	20.14264883896	19.0977754533851	21.2551996258382	19.2874767725525	18.3620891082106	19.0117826193085	19.6466291261628	20.9107621108869	18.0432733028034	18.9432009714593	18.8370614668595	18.9850862227288	18.8281395840409	18.567642933772	19.8268824374298	18.7319131268576	18.738354192867	18.6615656714489	19.4175620668734
P32261_Antithrombin-III	28.9284739178077	29.0300224893963	29.5615467841747	29.3771823259926	28.9599144931624	29.3837902359267	29.5689467323265	29.2131511024809	28.7600554477791	29.6173911226826	28.510670617639	28.1032703573832	29.1780695394256	28.2223970894294	27.7142728773896	28.7621713399245	28.9527674591175	28.9377054368936	28.6590484174325	29.1748942991937	28.6181050653878	29.140515265075	29.4145546631899	28.1108627213223
Q61207_Prosaposin	22.6366663244374	22.0017074648418	22.3385885511971	22.2740735364127	22.1896360724299	22.0112852750703	22.1587834768232	21.920165555748	21.888520121527	21.7752524905071	22.4539628499534	22.4416016762131	21.2299484354701	21.9614831673192	21.9709969649281	21.8120475187753	21.755647796335	21.6727927310641	21.6465382755098	22.0001293251568	22.2590145061622	21.9740276555976	21.8237173770106	22.1278013579853
P16294_Coagulation factor IX	23.3802684275309	23.3984170030807	23.2816496378751	23.3296244597195	23.3797853992958	23.5339995562077	23.5307587526689	23.6613624394882	23.5680517843247	23.5925068810783	23.2402087408617	23.4160409699519	23.5226878399744	23.4282121711714	23.226969963367	23.6503540909721	23.4177891756042	23.4287108169421	23.2218953549935	23.4182470354035	23.2785297123431	23.0748450786123	23.3033278620195	23.1618061737491
P01654_Ig kappa chain V-III reg.	17.8534640519715	21.2762951084828	22.2930475186688	18.6578949727127	18.0174811302438	17.7476448543008	17.1394291442063	21.4979046934115	20.9541895642129	18.1891062363205	21.9380753065629	21.2891080470724	17.7768392858492	24.008787808036	21.9769214562054	21.4349291360692	19.754008313804	18.4852875046684	23.1679326022582	19.3495379907548	23.8928878625078	18.5847392637284	19.5040640444604	23.5317787247836
P68368_Tubulin alpha-4A chain	19.7602262427609	19.7753444252505	19.9446727461987	16.981031166156	19.8384557947931	16.8731208699451	16.1082418359793	20.4537171262018	20.7958504116394	16.5441006635831	20.0404022666295	21.1297464897863	20.2063930387719	21.2838293521569	21.2948045592497	19.6445299886604	20.7221978984083	20.0370456749195	20.4308441472576	19.2086835307199	21.0662309588021	20.5679747490122	18.5666828867219	20.1420364618658
P63242_Eukaryotic translation i.	17.1608944330108	19.54727629545	18.0882960681726	17.9789555753509	19.6862303522067	16.838756444896	17.0145919761785	19.2396359591075	20.436005403651	17.3419981652045	19.2277224222834	19.0317770858749	18.9550513845809	19.7692733896909	18.7407853281576	19.3224772341573	19.0666731011277	19.3039415122589	19.5295964075667	18.0763240222609	19.9241447826106	19.854807994824	18.8641295464009	19.7738762742146
Q8VCM7_Fibrinogen gamma chain	29.8860968475284	29.555878423137	30.3078467263803	30.0324098439746	29.6544563018647	30.5289452757359	30.7344752009401	29.3743291132088	29.3586463722721	30.411220803642	29.0127544420181	28.9775508771949	29.7101283129971	28.7906160680082	28.2794150471881	29.5788059334985	29.561145977713	28.8627020496639	28.9995893329779	30.2595904160433	29.2254991589888	29.50952301665	30.4074957298796	29.1341094750266
P06330_Ig heavy chain V region .	26.1432816862151	25.7418112449472	25.877585390071	25.6688326262194	25.9941202446101	27.0149737734686	24.7900527285268	25.5365614522522	25.7675950834129	25.5838950108649	26.3031652063552	26.0897110263789	24.7847827945287	26.9078503522476	26.4498481297415	25.1331080249687	25.6388232161281	25.9670862963112	26.1827715316115	26.7965850710394	25.9954745815887	25.9178791040714	26.9887576597383	26.8818943866458
O09164_Extracellular superoxide.	21.671944735657	19.8508268439657	21.4222676894234	21.5478368597483	21.3058660908695	21.1794345770892	21.6110136496216	21.5312329491074	21.3093193865354	21.1948965938303	21.6404394609166	21.650034756237	21.7024961168861	21.3422491395456	21.7590711823198	21.8130204880048	21.4648720096849	21.8646663997057	21.6395579869239	22.1878591694621	21.5846370728452	21.5939821393712	21.3330144552433	22.2358918149218
Q00724_Retinol-binding protein 4	25.5033634352111	25.4390343009789	25.5352601864397	25.5704127969227	25.5793859195575	25.889070446157	26.1141126175416	25.8140980570002	26.1595957533614	26.2085978469431	25.0807768737035	25.4794785758815	25.9708011214588	25.329985298832	25.3102499766956	25.9823560783988	26.1257232461856	25.9046306713549	25.8871695667729	23.6201511252161	25.4638431325013	25.4061595820199	25.2473243256743	24.9094098896515
Q6IRU2_Tropomyosin alpha-4 chain	17.5976778161859	19.0134560986614	20.7418394197004	18.5339617673474	20.4672957020959	17.2647262424277	17.9362878037481	20.0391397865055	20.2009286736399	17.7420682034963	18.7916476151357	21.8625364358656	20.680621460756	21.8618392496556	21.9799622359394	18.8950590585469	21.3538006279486	20.8773678326102	21.6600450892586	18.0890099168165	21.67777038802	20.97006577274	17.212701747913	21.4126565426356
P01648_Ig kappa chain V-V regio.	21.9254772933792	22.9296988879123	20.6759531576502	20.8266673761958	20.4307527960277	19.4889694638606	21.1232862824588	22.1642838098452	20.7408535562283	23.3281173197661	22.7225864906826	22.1320434182192	19.787718564261	22.985899770862	21.398328403375	21.9827031898137	19.8939997880099	22.0855291893885	23.5503730310562	22.9117284416831	21.0829486266401	23.2038931097868	23.5006544540071	23.5582684189271
P62835_Ras-related protein Rap-.	18.0106404296238	18.4865666119623	18.8154647928716	16.7792282946787	18.9854924530673	15.7836175362211	16.2975092041023	18.0083261940901	17.9497406082701	18.2305694784156	16.355319433877	16.5635520152581	19.2033274013708	18.134175758153	18.7882182801336	18.7713377407417	19.5488546001671	17.8260535559206	19.1502865112785	17.0088704235438	18.2026384403591	19.3951562504247	17.1270821751243	19.6727107331817
Q91V80_Apolipoprotein F	20.2051040091273	20.6918768201552	20.5248607776278	20.4388100014612	20.516630612569	21.0090547888723	20.1929966261197	20.5094287817631	20.5205511792451	20.9288017141313	20.5451584474846	20.5833625145621	20.6582722918111	20.2755949775886	16.3015596044373	20.3207409317882	20.3132499489137	20.6285820430299	20.4301702372053	19.8061306724968	20.5663628996705	20.0384436410285	19.844164495961	20.4073788935629
