dataMatrix	X501f	X502m	X503m	X506m	X508f	X509f	X517f	X518f	X527m	X528m	X529f	X531f	W616f	W617f	W620f	W622f	W623f	W625m	W627m	W628m	W630m	W631m	W632f	W633f	W634m
P01837_Immunoglobulin kappa con.	28.2047533620602	28.1123773020966	28.6689025086426	28.350617400626	28.5126930894575	28.334467116316	28.9072557946704	29.1053247656477	29.4189818559469	29.2408192766558	29.0939967983745	28.598750068878	28.7231419976344	27.8696124801201	27.9614889962973	27.5887312172948	27.9773573190765	28.6492096819117	26.0349075793861	28.1451292452583	27.5349892284503	28.1085126522395	28.5263634786226	27.852796840734	27.1362955749042
P01631_Ig kappa chain V-II regi.	26.8940155172681	26.9272862522942	26.5130884223764	26.402625023411	26.7312430944373	27.2108367441698	26.8273434796229	27.0989542779887	26.8410005888723	27.6515924059682	26.9172751882763	26.2891936217247	26.2273650489718	26.1374844804544	25.7499840683546	25.93762741101	26.4077528287789	27.0586449669431	24.4459729008873	25.6183563743176	25.6330051781671	26.1423437736744	26.8382324516394	26.8834647874249	25.2136133213168
P52430_Serum paraoxonase/aryles.	28.0280908667332	27.5207356830199	27.4079886245512	27.6301782338419	28.0404243479243	27.9906704531031	28.1230334684395	28.0909500733896	27.6934269766799	27.5895079427018	27.8500495490837	27.980363534113	27.9029569706115	27.8090401535883	27.6631198250085	27.5923044155337	27.728292667859	26.7154732591685	27.1152261008962	27.3442274942411	27.4131162923079	27.7898321060187	27.4442591679334	27.5777664868086	27.4406465420305
P09581_Macrophage colony-stimul.	23.6963512209735	23.7139688513129	23.5980193228843	23.4692781248805	23.7048253236957	23.7299188970319	23.6218907858197	23.8238907134057	23.6774765288261	23.7051849769062	23.8076181789067	23.5888414522486	24.0017088390749	24.0319301657305	23.9888084439713	24.0646812646274	23.8954006407173	23.5641589119688	23.5863830657311	23.9376043346524	23.9683958356897	23.7696358978298	24.0354018756276	23.925847504619	23.5990212356151
Q61147_Ceruloplasmin	29.8847073224933	29.8123444928069	29.7583118772011	29.6888442653751	29.9431047297193	29.8998045054179	29.971386203856	29.8450436764491	29.6113510823128	29.6738184435288	29.8783564999294	30.0187574422339	29.8706721271326	29.8128132386742	29.8283348609618	29.7383304218358	29.7384221708131	29.4279482102011	29.5891083140316	29.5685273344384	29.3519566481352	29.5590854112912	29.7383388753564	29.7680493073448	29.6555294129735
P31725_Protein S100-A9	21.4844900529989	20.539584707766	20.4197524299427	21.6950533390569	20.9829521568707	22.0392080690497	20.6649741084325	21.0915136733505	21.014519760317	21.2463270062935	19.9802713927432	21.7724040862953	20.0786422296102	20.4901256931007	18.1889621329985	18.8774389898672	21.101327971932	16.4855543442133	19.5831928654917	19.300820621986	21.0810585004349	19.9077774782576	20.8107266504864	20.464173290808	18.0211412936374
P06801_NADP-dependent malic enz.	19.9939112011776	19.9458998505137	19.4163963063621	20.5408123336047	19.2606775117792	19.7706658122852	19.8002032829136	20.7112327760263	19.7609238514513	19.8135786424024	19.0158463371799	19.3203937553794	17.9056112333997	18.6244762048462	18.7877786234633	18.7810362748408	19.8789148331054	18.9083843815035	18.7268261957539	19.1739021739082	18.1028500152026	20.3173171025452	18.9346630607036	19.2991923640593	19.3767504624038
P35917_Vascular endothelial gro.	21.9021341159337	21.8443529262151	21.7681838198736	21.8458833739886	22.057897386707	21.5579726603722	21.5976600050018	21.7254453128934	21.4023362992098	21.492370694179	21.9924186396092	21.9030822344625	22.0518091842843	22.27134946368	22.1184262702176	22.1100496199799	21.9835761696149	21.7959227255368	21.9288646808067	21.9936079699535	21.7473049603654	21.8596374347136	22.1515418310383	21.9574772457627	21.8203252589643
P70274_Selenoprotein P	24.7926124854694	24.5349548061402	24.5194390150931	24.3556882207488	24.8428211408472	24.8226941320186	24.5681709185443	24.8031924463176	24.2895652777211	24.3227459500986	24.9220749449944	24.7210555778123	24.953852570434	24.9372059623763	24.8224375994968	24.9223450326257	24.8916942549842	24.6850557642027	24.8372771135781	24.8885641552234	24.3887206348262	24.6630639989197	24.8663146194908	24.9484024353771	24.7273127670558
P06909_Complement factor H	28.6465379459163	28.5235873195363	28.376880782569	28.1796069382328	28.6348244522091	28.5041787642849	28.5513367514308	28.5310286019323	28.3803352854552	28.6753625922755	28.6165518724232	28.7684943020356	28.7697375803671	28.8240771433779	28.7542018546327	28.6856025985538	28.6424090488475	29.1485147518211	28.6805449585704	28.7738651014096	28.5200608703431	28.7916700604795	28.7233240981709	28.8713686312981	28.6154591288389
Q60590_Alpha-1-acid glycoprotei.	26.6616333974773	27.5340490856405	27.6368928539724	27.4528383329307	27.7887467051739	27.7248027615489	28.1237174326406	27.4977838757993	27.0239845808738	27.2978121589196	27.8314960038393	27.6053803820012	26.4462185636195	26.8286005152442	27.2465749149073	25.9574980580588	27.6217961240725	27.3683637811839	27.198901357079	26.9962521055799	27.3485469005644	27.0927318208196	26.3406861482609	26.2937261793442	27.3203369974443
Q9R098_Hepatocyte growth factor.	24.2547940733878	23.8987396674407	24.1799195654995	23.668528068091	24.4889107692477	24.3241622760965	23.9686808538241	24.282333963036	24.0464924070786	24.2013713468972	24.1796177196112	24.3426231104877	24.4449246402454	24.4758739165604	24.2682270091446	24.5222447155374	24.7026876049054	24.3451802520722	24.0806220531457	24.2595813653458	23.9234966029974	24.532290759463	24.5875566464314	24.5974353006206	24.3973683331186
P01746_Ig heavy chain V region .	18.8710760295489	18.7635109410532	18.3025385249111	18.9091444247173	18.923203335965	21.666991964119	21.0109014488334	21.2006365854767	21.6012818126619	22.2274232227631	21.6567786770699	21.0299234428805	18.2783083816369	18.4820122261011	18.6261760168484	20.1983216780783	18.8665712894799	16.9639490458074	16.1094203499366	19.3248140440865	18.9541008952515	18.4211366594301	21.0400941969848	18.8490043272088	18.7018355579238
P63242_Eukaryotic translation i.	20.0401074111638	19.6250066923729	19.8740681512549	20.4357640985729	19.1134457109147	19.9942366330606	19.4045160999209	19.8701831490429	19.315767480067	19.5154861805401	19.091726224608	19.3272948340382	17.1608944330108	19.54727629545	18.0882960681726	17.9789555753509	19.6862303522067	16.838756444896	17.0145919761785	19.2396359591075	20.436005403651	17.3419981652045	19.2277224222834	19.0317770858749	18.9550513845809
P10639_Thioredoxin	21.6505459427458	20.7029966543774	22.1660252839847	22.3270527333347	20.1341315780985	20.9187937375535	21.6146706455777	22.1078892672911	20.3152741002693	20.6458628904771	20.2009834466791	20.9060534622693	20.4661521575529	21.1956425432006	19.2369090566413	19.4868866829128	19.2920049029628	17.0927041515574	17.2205408182476	19.6989859749125	20.643137815804	20.2020130465391	21.410163930641	21.3380249666366	19.2641002127598
Q9CQ19_Myosin regulatory light .	19.3436262518553	17.020468257267	17.9417946505887	20.1269330262899	16.6266586333855	20.5374447425051	19.3826738800804	20.7786251093858	17.7995054440224	17.0956436461878	17.2399273008089	17.5298820882669	17.0353619719848	17.0097432346868	17.249400710988	17.0513622217144	16.9829648399003	17.0074807839764	17.2791124754964	17.20521994366	17.4592503738116	17.2474516568878	16.9488261004473	16.8253362155642	17.6643015798806
P62835_Ras-related protein Rap-.	19.1429385815862	18.8019736305359	19.5298401584264	19.6954153258603	18.4662614717297	20.764800942487	19.8338572302296	19.6055852074596	19.3389975949993	19.0458397934793	17.1023433948115	16.9902747373856	18.0106404296238	18.4865666119623	18.8154647928716	16.7792282946787	18.9854924530673	15.7836175362211	16.2975092041023	18.0083261940901	17.9497406082701	18.2305694784156	16.355319433877	16.5635520152581	19.2033274013708
P02816_Prolactin-inducible prot.	16.9896126971778	21.0031925904787	17.609289351874	20.3377759561979	17.6626459520586	17.7650038945952	18.5461701730974	17.5418203532242	17.547082424128	21.4240461853548	16.9418917138702	19.3251617266055	21.2843605629199	21.0456525250672	18.9829056978836	20.6917435191713	19.0415963253659	16.7556679159671	20.7958259469283	21.097928759114	20.7512596395859	20.3715472175947	20.9420385028117	20.5202036239535	20.9943830506994
P11499_Heat shock protein HSP 9.	19.0901652582298	18.3212193412925	18.8185173331324	19.6558748231326	18.5087643526228	19.2494440679435	18.4146319347053	19.2339124698047	16.9436352191824	17.3855923923322	16.9832517166724	18.4735691423498	16.7639790876472	18.619078806662	17.0350155568695	17.3918162601939	18.7417127297715	16.1045545285835	15.6817352959833	16.9696674552491	17.6728600285759	17.5203371452539	16.7781547924595	19.0405947458225	16.9254466509508
Q9D1H9_Microfibril-associated g.	16.8099002357522	17.9550597306424	17.0801559950335	17.5243791057915	17.9602718010647	17.5608448672345	17.7380750361842	18.2533486476491	18.2057476300113	18.549121072033	17.6785770329078	17.3665500935644	16.8043841736098	16.5999440696433	16.8520554254408	16.3614183235646	17.8907381417088	17.0681927779557	17.104266521185	17.7391024733917	18.4949123291927	17.5264328339012	16.6328210105009	15.9608651090314	17.1318708233371
P20065_Thymosin beta-4	21.1950584041687	20.2387060546279	21.7250299136781	21.0035383280556	20.4058549539214	21.2646205608123	20.8378314599022	21.3856623213299	19.898626760339	20.4761608999596	20.3046046418979	20.5336177543012	20.6226754456466	20.2068696343422	20.396956833273	19.9896812927984	20.5791654832508	16.9669650079342	17.146737507956	19.4932383208015	20.4102002981737	19.0443891028764	20.769140092805	19.3586857948054	20.6382496272743
B2RPV6_Multimerin-1	17.0909828201966	16.9436072920636	18.8196100921416	18.9146624143399	19.4589120799596	19.0248910801004	16.5860092430018	17.6318321347448	17.8786293815567	17.0387562355063	18.3487925896902	16.2412854972538	16.7298444485827	16.3201466971706	16.7332954525893	16.6421609654441	16.9108301983832	16.7528196608492	16.7029105951205	16.514584878207	17.3922199718245	16.6968224295827	16.2435412689549	18.5423194225003	16.8574622876138
Q8K426_Resistin-like gamma	19.0655032289542	18.5783785720017	18.5818830108909	18.6469782024061	18.6179040360295	19.1274726759849	18.1014366825764	18.718348061913	18.6752359307313	19.2312197272882	18.8565982282591	18.5660878486522	18.4778664676759	18.3759788326748	20.0516117372561	19.5666810959417	19.5441024752776	20.14264883896	19.0977754533851	21.2551996258382	19.2874767725525	18.3620891082106	19.0117826193085	19.6466291261628	20.9107621108869
P04104_Keratin, type II cytoske.	22.0052148805572	23.0477434939884	21.943667606849	22.4929711792348	20.0109079281351	20.2982390867973	20.1164559693448	21.00854072261	21.303386156094	20.9054831276742	21.3119734928014	21.6805717845854	19.373454098972	17.175679943979	18.3423080155392	18.5064290042695	21.5866182018276	22.1670608275191	19.8100996632522	19.7172532279286	20.7112002111949	18.4592323601623	18.0026069364874	23.3700983015634	20.3247334982079
P57780_Alpha-actinin-4	17.3034646960058	16.8467407183053	17.5560865098546	17.3952514528044	16.5521284057924	17.7986373451122	16.891173157435	17.3332468264383	16.5623885230919	16.8875929763984	16.4141434628794	16.696663100786	17.0550824239695	16.8152080630278	16.8198754598307	16.7980508029259	16.5482105235845	15.5578498723916	16.0514680793239	16.0100675745537	16.2477337236502	15.6150999653854	17.318420296871	17.2931901593357	15.9336032971377
P29533_Vascular cell adhesion p.	22.1352392691723	22.190101212387	22.2193582106262	22.1414980237369	22.0838886241162	22.0003800316005	22.1298397009043	22.0095380318408	22.240174232198	22.4371709311882	22.0954997232774	21.9956980677851	22.3405033380439	22.3525233036318	22.1041973711413	22.3437041916688	22.2428811632284	22.1751713932435	22.3992188504108	22.3249163953043	22.4078644444457	22.4519645410742	22.2868520006635	22.1931624164776	22.1367176930201
Q9WVA4_Transgelin-2	21.4079646448834	20.5670188367545	21.5968210209888	21.3131302083715	19.7466342433285	22.332497175913	22.013138457346	21.9741567035617	20.7801514517212	20.0393936722428	20.307382740252	19.9643825554266	17.9358657226087	20.0743038409732	20.3651965375351	18.5193471151682	20.8698897458581	18.9632954626268	19.4672496839248	20.8273399903699	20.562725369957	19.7006255532702	20.7636010134596	21.6943911532854	17.1724318060951
P35441_Thrombospondin-1	27.2893425207792	26.7585963330789	27.5688776334054	27.6207566716185	26.9569116563177	27.2972693640657	26.6869145619159	27.9362338172419	26.5604885259192	27.0186302855942	26.7007289375089	26.659277667193	26.5955146227331	26.484749400471	25.5101558015083	26.3257591798647	26.7416169603358	27.017575251244	25.6059569035311	26.6109003662323	27.1253007366092	25.4762768710733	27.0393330902367	27.1191144802033	26.7634499643369
Q9R1P3_Proteasome subunit beta .	22.7837286515664	23.2982923739706	23.2206789975754	23.0195780035738	22.6736599592221	22.7811895970189	23.023520028147	22.418519725677	22.4833803552573	22.8386330472959	22.928824208998	22.493754444898	22.8461076445246	23.8333305121505	23.108571514452	24.1427142760322	24.1633080093436	23.7569746509225	23.293266336004	22.9041363375054	23.242502370575	22.638057238342	22.6993947436214	23.0297243185942	23.3158535549343
P31532_Serum amyloid A-4 protein	24.8861629155517	25.6257722636473	25.4759772933482	25.3569554958195	24.5924638809138	24.704735000679	25.3370989204114	24.7523170412806	24.7171033235186	24.6065578184344	25.1353156847467	25.0253846084914	25.192867993231	25.2248651804717	24.9131221519808	24.7750463767081	24.9540273802468	26.4661743178472	25.7078458810028	26.0101731100304	25.6073834845137	25.9928677348007	24.9610096166587	25.0309822818993	25.6671131667073
O70410_Vomeronasal type-2 recep.	19.2295292728977	18.6973834428934	18.3313729424674	18.2734403533713	18.9368153034525	19.4705026077898	19.0237585758787	19.3293078869474	18.6066986712896	18.7644669743814	19.2920382107343	19.4422933204161	19.2728975501881	19.0131764749272	19.6925452687133	19.4112395510055	19.3098104943746	19.2403891276543	18.95839338744	18.6796173386902	18.9825066361395	18.7824658700084	19.5876934020719	19.4228415163663	18.8698280103732
P98064_Mannan-binding lectin se.	23.8908091137532	24.0569543480631	23.9593390678039	23.763138090563	23.8914389494179	23.9412919542734	23.843290155107	23.8311844833665	23.7009420316953	23.8461324231319	23.9709473046289	23.750676424694	24.1422356276296	23.9635805199849	23.9049391307019	24.1847611088093	23.881950475169	24.1393457196784	24.1036830416954	24.0014004627033	23.7307620007851	24.0190882686116	24.1462628780572	24.0601930724267	24.045075551705
P01868_Ig gamma-1 chain C regio.	26.0214505629247	25.9005843776288	26.1824911956273	25.6171942499654	26.3118615143888	26.6580324189694	26.6656246700319	26.4883193517577	26.3161037530505	27.1516384441455	26.7474633435533	26.6477692209521	27.0390945866245	26.7596905280931	27.3365239936647	26.9483411178369	27.0639614854408	30.2100666462453	27.219305619902	26.5308905292149	27.1578853435874	28.1973603943045	26.5527984190074	26.826785964421	26.3752303816145
P63101_14-3-3 protein zeta/delta	21.5031041362983	20.9345873139578	21.4400030534762	21.4169885694392	20.2735782189945	22.026020013746	21.1930915617995	21.1431653565	21.0032711822762	20.3489228887552	20.1051327502003	20.3615845497844	20.3881167657981	20.6428326262993	20.6544062541098	19.9519374203874	20.593026545643	16.2416973894476	16.3854391264448	20.9002961790404	20.7082189931164	20.1496142617796	20.6583984787775	19.4415301162685	19.496156597558
Q61207_Prosaposin	22.1779730080221	21.5104617673874	21.360231973451	21.1814237535571	22.0767746671472	22.0727631258662	22.0860592658805	21.8083035612316	21.800974922509	21.9252942803234	22.1970129668879	22.1570876815061	22.6366663244374	22.0017074648418	22.3385885511971	22.2740735364127	22.1896360724299	22.0112852750703	22.1587834768232	21.920165555748	21.888520121527	21.7752524905071	22.4539628499534	22.4416016762131	21.2299484354701
Q62009_Periostin	23.2708951173675	22.4636059404365	22.5520112895779	22.2357833025457	23.190240649768	23.1361519201889	22.7172784468954	23.0885344818212	22.4753904451988	22.9523896058503	22.913457106924	23.1596961395617	23.1336999176837	23.3764080125547	23.2835018559956	23.4528247625348	23.0419603789664	23.2878236769245	22.6679471196602	22.9228655528628	22.6951599913985	22.6370893793471	23.3728273406854	23.1088889142589	22.7485332550836
P39876_Metalloproteinase inhibi.	22.8469249227096	22.1419440292374	22.9404362865402	23.4740043135023	22.5918139319106	22.3652364597571	22.0095568251501	24.0765739144311	22.0639506267896	22.2040580946655	21.8268343471685	21.8041465834132	21.7017532790904	21.5043902233753	20.5098677672295	21.572715836962	21.1005320949565	22.3274615024429	19.0801851484124	22.3440955347427	22.8254993966547	19.156535699647	22.7785526290321	22.6460919370377	21.7980958986803
Q05020_Apolipoprotein C-II	23.1588096665537	25.4985774088825	25.5309432602692	24.6465970517984	23.8584815319933	23.9043865577589	24.4495753787344	23.7387742677776	23.6019753292313	23.5643672267634	23.8633931472588	24.0944483879497	23.7161285629115	20.7689758927327	23.8145485342183	23.6411520159527	20.6829000980896	22.9648617885483	24.2865930114244	22.7124046206765	24.2360531809525	23.8759480358208	22.800159237369	23.9029348045832	24.8863248159434
P33587_Vitamin K-dependent prot.	23.3830865880627	23.5356053675588	23.2833495265839	23.2011290112448	23.2434328945937	23.1456734752978	23.3868811899743	23.2129126666455	23.2737372739673	23.2850883472527	23.2629063304017	23.3446646085357	23.4474810593746	23.4238041535518	23.2357367112823	23.1213793731284	23.2850581419763	23.7080193943497	23.5910915369366	23.6008014032049	23.747255884685	23.5276695690342	23.3797210273716	23.4848580421432	23.3429381366321
P16294_Coagulation factor IX	23.2639121675168	23.5833340528556	23.4717776523423	23.5094371181744	23.2668135573529	23.0621579938605	23.2863353859118	22.9866278796654	23.3270121516778	23.3331249061272	23.3761666003376	23.325761375403	23.3802684275309	23.3984170030807	23.2816496378751	23.3296244597195	23.3797853992958	23.5339995562077	23.5307587526689	23.6613624394882	23.5680517843247	23.5925068810783	23.2402087408617	23.4160409699519	23.5226878399744
P04186_Complement factor B	28.789997227934	28.8159982800439	28.6890227459389	28.644892446393	28.8320284195473	28.8531660898255	28.7006234368317	28.7423103613564	28.6484577583722	28.6408561167062	28.9819944296914	28.8791681530438	28.7178496992746	28.7221281484438	28.8985604266632	28.9194398466625	28.8545141223693	29.0777103834721	29.0709349174761	28.9473899166283	28.8631281506072	28.9525854762945	28.8509230500388	28.9009842407268	28.9149353488915
P01674_Ig kappa chain V-III reg.	21.1900923180861	20.8706793656593	22.9811221473144	22.124410223615	23.0748267902507	22.0761773824361	22.4916970346535	21.7585814915215	22.3918797014838	21.3700350928323	21.7044135483727	20.7065277365253	21.8176357865761	22.2229595086505	20.3762203929153	20.6103377587875	21.1964160244559	22.4138817430018	19.2048182743937	21.3306489961422	20.1917773365425	21.9231516365231	21.0885417603654	21.2309643182114	19.9667120027187
P15379_CD44 antigen	21.0029269253726	20.6147798192807	20.6546609372047	20.6022784042748	20.8014180684752	20.9212563868679	20.5717716197772	20.5537007673575	20.7832521531196	21.0167691893248	20.7681087892815	20.2086295533341	21.0531509872401	20.7972417683819	21.0584486118578	21.0145812230272	20.812876679515	20.8268719662998	20.7765859450543	20.7129068783418	21.2082843769476	20.7571221097383	20.9658826353534	20.8300953284836	20.9821185009104
O08742_Platelet glycoprotein V	21.5107810666762	21.6218395999555	21.8760000453785	22.2924884644303	20.7609707472404	22.4236015745373	21.2866147248827	21.9317378957175	20.6759557411791	21.8912582429017	20.9996562551638	19.770247297291	21.268322684628	19.9858878708232	17.4193337990374	17.1941888622532	20.6733041147015	21.0570510602003	16.8576610463023	20.716161749509	22.0645146749231	19.546083258365	21.1673723564441	21.7407677251704	21.7827130260825
P04945_Ig kappa chain V-VI regi.	21.7615342908651	21.3000797801499	23.134354871595	23.0987291246792	21.5971149482822	19.448899701278	22.973618723192	24.4304191158568	22.2803979741818	22.2042275391312	22.1092154920189	22.8152531130077	21.6240626110332	21.1245779268546	21.3248370328955	21.8226817829385	21.3708091092754	22.7774558963239	17.9383212317667	21.584800713303	19.0596765067637	21.6466994376702	22.7908616211417	20.9696442991007	18.6984737679885
Q02053_Ubiquitin-like modifier-.	19.9288586354024	16.6518544603678	20.6982171553619	20.7138007707789	18.2107318352683	19.7960046478503	18.3306589684238	20.296037482436	18.2389210347948	18.4449279251429	18.1477145172077	19.7796831949916	18.021864646089	20.2755304847772	17.2065621675051	17.1585688633431	18.7224489136593	15.2029057331316	16.6499254355298	16.8050228482204	18.9089019860485	16.5714118056423	18.5225894232704	18.6487835720134	19.3794284809331
A2AQ07_Tubulin beta-1 chain	21.0958979002312	18.7000009676111	21.5179049433705	21.3277253177127	20.320111640569	21.6736401205046	21.4423322942486	21.3693195099587	20.8602080717554	19.9965221057174	19.9902668142071	20.4786206474557	20.3025499595802	20.499810859208	20.1291822280531	19.5738808358839	20.3549582230086	17.6489217291966	16.5214906386014	20.684809819035	19.1535217262046	18.4208119194058	20.692359139033	21.2372516896686	20.6829372674459
P17182_Alpha-enolase	22.1751742872931	21.0305189670645	21.6638894400477	22.1646261661448	20.5474019824594	22.0235242581802	21.5664899496902	22.1710374912439	21.032444821282	21.1275052528363	20.7536031032945	21.3720456359498	21.0396307878398	21.4231546461827	19.9873798272304	20.4605456359943	21.6489665425122	18.23658473464	18.9623066674295	21.3064361185221	20.7872063177064	20.5417685144311	21.5497413152775	21.6349981136323	21.2134034424789
P06330_Ig heavy chain V region .	26.1633041699325	25.5843109980118	26.4674545550173	25.606630218619	26.2077628179632	27.0143636230434	26.8443232317679	26.5835113841499	28.2398729379575	27.4716122102	25.49618147686	25.8972732611907	26.1432816862151	25.7418112449472	25.877585390071	25.6688326262194	25.9941202446101	27.0149737734686	24.7900527285268	25.5365614522522	25.7675950834129	25.5838950108649	26.3031652063552	26.0897110263789	24.7847827945287
Q64727_Vinculin	22.9903939018673	22.0662948567803	23.3610186307942	23.0507678509728	22.2085106299373	23.9577199781726	23.0861347668922	23.0144695326125	22.6336826173837	22.1927491236942	22.142122953891	22.3058727689247	22.4026364723009	22.007871116924	22.630332123239	20.3950259803741	22.5809093728865	20.8717644553736	21.6411237851736	22.4448842101245	22.5537670821704	21.5570906315549	22.5312134320485	23.0510695066586	22.4282943535173
O88351_Inhibitor of nuclear fac.	20.9384958767861	20.4640841455369	20.2427236057051	20.5535642570382	21.0723933513539	20.9135039469325	20.8499515596114	20.7510405656519	21.221327652454	21.1004740267018	21.2900146270327	20.7975544706045	21.2663905242127	21.3783133797846	21.2739715564642	21.1717958763325	21.2107942441742	20.5164096381024	20.9200258603501	21.5369997275857	22.1338704631499	21.0694428836237	21.0426399560186	21.0950737421955	20.6987139914698
Q8BH61_Coagulation factor XIII .	25.6118664802679	25.5474721176409	25.0432068881606	25.1187872848169	25.82289714741	25.5064081947144	25.577271726387	25.8707830148201	25.5504333925364	25.2213589268932	25.4984157422874	25.8510552976488	25.7577171649411	25.9183452746952	26.2343045010968	26.2854945044469	25.6686651542532	25.134395140225	26.1026634425947	25.912969624917	25.2948084847685	25.7264904079663	25.8679436194513	25.5030450382608	25.4771497797854
P07759_Serine protease inhibito.	28.9312932588095	29.6398880371317	29.2477079382519	29.5666138578596	29.1539559927441	28.7550994711324	28.8267821829355	28.2988301705277	29.184439843116	29.3770395741602	28.7077125732012	29.1798881388177	29.1847030048171	29.4657793653998	28.9274677468978	29.0413535162111	28.8222636020879	29.6205920257444	29.6120549670568	29.6325976744462	29.4156619621039	29.4600721274432	28.8962093247711	29.3335258168311	29.6639298204709
Q61704_Inter-alpha-trypsin inhi.	26.6410700790022	26.9834028163205	27.0342450071794	26.9062408593841	26.6920373612203	26.5748760844159	27.0778756194315	26.8843348792978	27.164408577511	27.2984403369554	26.7014677551087	26.6173863020884	26.8507857361596	26.6523720231009	26.7927773887583	26.6754139600662	26.6504058090962	27.1412134497556	26.4459039664179	26.511482311292	26.5456088475891	26.6299167508947	26.3261344311623	26.8488120268793	26.705408383063
