variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M100.0018T16.55	hilic															M100T17	100.00183623858	993.111818415443		[M-H-CO2]- 144.996	14	4	@M81.9912T16.55|+(H2O)|@M143.0077T16.55|-(NHCO)
M123.0178T16.51	hilic															M123T17.1	123.017787788321	990.620004760413			14	4	@M81.9912T16.55|+(CH3CN)|+(C2H3N)
M139.9944T16.56	hilic															M140T17.1	139.994426620178	993.582143644315		[M+Cl+NH3]- 87.9938 [M+Cl+NH3]- 87.9938	14	4	@M143.0077T16.55|-13C3|@M161.9764T16.56|-Na|@M183.0002T16.55|-(NHCO)|@M183.9842T16.55|-(CO2)
M161.9764T16.56	hilic															M162T17.2	161.976395567448	993.884055541235			14	4	@M139.9944T16.56|+Na|@M165.9736T16.55|-44Ca|@M204.9823T16.56|-(NHCO)|@M205.9662T16.56|-(CO2)|@M331.971T16.56|-(C3H7O6P)
M165.9736T16.55	hilic															M166T17	165.973602170826	992.979658617324		[M-2H+Na]- 144.996	14	4	@M161.9764T16.56|+44Ca|@M183.0002T16.55|-(NH3)|-NH3|@M183.9842T16.55|-(H2O)
M183.0002T16.55	hilic															M183T17.2	183.000174443637	992.908090697177			14	4	@M139.9944T16.56|+(NHCO)|@M165.9736T16.55|+(NH3)|+NH3|@M204.9823T16.56|-Na
M183.9842T16.55	hilic															M184T17.1	183.98422526673	992.813901742493			14	4	@M139.9944T16.56|+(CO2)|@M165.9736T16.55|+(H2O)|@M205.9662T16.56|-Na|@M227.9743T16.56|-(CO2)
M204.9823T16.56	hilic															M205T17.1	204.982328315229	993.884055541235		[M-H]- 205.991 [M-H]- 205.991	14	4	@M161.9764T16.56|+(NHCO)|@M183.0002T16.55|+Na|@M247.9883T16.56|-(NHCO)|@M248.9723T16.56|-(CO2)|@M265.999T16.56|-(NH3)-(CO2)
M205.9662T16.56	hilic															M206T17.1	205.966232262883	993.609555738802			14	4	@M161.9764T16.56|+(CO2)|@M183.9842T16.55|+Na|@M247.9883T16.56|-(CH2N2)|@M248.9723T16.56|-(NHCO)|@M249.9563T16.56|-(CO2)|@M265.999T16.56|-(NH3)-(CONH)|@M273.9541T16.56|-(HCOONa)
M227.9743T16.56	hilic															M228T17.1	227.974312910646	993.819910667847			14	4	@M183.9842T16.55|+(CO2)|@M249.9563T16.56|-Na
M247.9883T16.56	hilic															M248T17	247.988275450109	993.738850924037			14	4	@M204.9823T16.56|+(NHCO)|@M205.9662T16.56|+(CH2N2)|@M265.999T16.56|-(H2O)
M248.9723T16.56	hilic															M249T17	248.972263653795	993.652097929855			14	4	@M204.9823T16.56|+(CO2)|@M205.9662T16.56|+(NHCO)|@M265.999T16.56|-(NH3)|-NH3
M249.9563T16.56	hilic															M250T17	249.956305592175	993.625888774107		[M+Cl+HCOOH]- 168.976	14	4	@M205.9662T16.56|+(CO2)|@M227.9743T16.56|+Na|@M271.9384T16.56|-Na
M265.999T16.56	hilic															M266T17	265.998960223003	993.837828401286			14	4	@M204.9823T16.56|+(NH3)+(CO2)|@M205.9662T16.56|+(NH3)+(CONH)|@M247.9883T16.56|+(H2O)|@M248.9723T16.56|+(NH3)|+NH3
M271.9384T16.56	hilic															M272T17	271.938397533325	993.845117697651		[M+Cl+NaCOOH]- 168.976	14	4	@M249.9563T16.56|+Na|@M272.9407T16.57|-13C|@M273.9541T16.56|-(H2)|@M288.965T16.56|-(NH3)|-NH3|@M331.971T16.56|-(NH3)-(CONH)|@M332.955T16.56|-(NH3)-(CO2)|@M339.9259T16.56|-(HCOONa)
M272.9407T16.57	hilic															M273T17.2	272.9406609932	993.96257640954			14	4	@M271.9384T16.56|+13C
M273.9541T16.56	hilic															M274T17.1	273.954076270758	993.596098715205			14	4	@M205.9662T16.56|+(HCOONa)|@M271.9384T16.56|+(H2)
M288.965T16.56	hilic															M289T17.2	288.964974713946	993.717545998828		[2M-H]- 144.996	14	4	@M271.9384T16.56|+(NH3)|+NH3|@M331.971T16.56|-(NHCO)|@M332.955T16.56|-(CO2)|@M356.9522T16.56|-(HCOONa)
M311.9311T16.56	hilic															M312T17	311.931071207343	993.740366600783		[2M-3H]3- 469.402	14	4	@M339.9259T16.56|-(CO)|@M353.9528T16.55|-(CH2N2)|@M354.9369T16.56|-(NHCO)|@M355.921T16.56|-(CO2)|@M356.9522T16.56|-(NH3CO)|@M371.9634T16.56|-(NH3)-(CONH)|@M379.9186T16.56|-(HCOONa)
M324.9207T16.56	hilic															M325T17	324.920734087977	993.639446290625		[2M-2H+K]- 143.988	14	4	@M500.8942T16.56|-2(HCOOH)-(HCOOK)|@M520.9338T16.56|-(C5H9O6P)
M331.971T16.56	hilic															M332T17	331.970974043927	993.734449138872			14	4	@M161.9764T16.56|+(C3H7O6P)|@M271.9384T16.56|+(NH3)+(CONH)|@M288.965T16.56|+(NHCO)|@M353.9528T16.55|-Na|@M419.8939T16.56|-4Na
M332.955T16.56	hilic															M333T17	332.954994932936	993.684296349231			14	4	@M271.9384T16.56|+(NH3)+(CO2)|@M288.965T16.56|+(CO2)|@M354.9369T16.56|-Na
M333.939T16.56	hilic															M334T17.1	333.939020226177	993.649723531854			14	4	@M355.921T16.56|-Na
M339.9259T16.56	hilic															M340T17.1	339.925894203135	993.629043358679		[M+Cl]- 304.956	14	4	@M271.9384T16.56|+(HCOONa)|@M311.9311T16.56|+(CO)|@M356.9522T16.56|-(NH3)|-NH3|@M419.8939T16.56|-(HPO3)
M344.9169T16.56	hilic															M345T17.3	344.916937045174	993.366625238536	[487][M]2-		14	4	@M460.9017T16.56|-(H3PO4)-(H2O)
M353.9528T16.55	hilic															M354T17.1	353.952766586357	993.269495163592			14	4	@M311.9311T16.56|+(CH2N2)|@M331.971T16.56|+Na|@M371.9634T16.56|-(H2O)
M354.9369T16.56	hilic															M355T17	354.936919661583	993.708349613207	[501][M]2-		14	4	@M311.9311T16.56|+(NHCO)|@M332.955T16.56|+Na|@M356.9522T16.56|-(H2)|@M371.9634T16.56|-(NH3)|-NH3|@M414.9696T16.57|-(NH3)-(CONH)|@M415.9535T16.56|-(NH3)-(CO2)|@M422.9247T16.56|-(HCOONa)
M355.921T16.56	hilic															M356T17.1	355.920983716683	993.740366600783	[504][M]2-		14	4	@M311.9311T16.56|+(CO2)|@M333.939T16.56|+Na|@M356.9244T16.56|-13C|@M377.903T16.56|-Na|@M407.9196T16.55|-(H2S)-(H2O)|@M415.9535T16.56|-(NH3)-(CONH)|@M416.9377T16.56|-(NH3)-(CO2)
M356.9244T16.56	hilic															M357T17.1	356.924429072643	993.754546678487	[504][M+2]2-		14	4	@M355.921T16.56|+13C
M356.9522T16.56	hilic															M357T17.2	356.952168044075	993.692086335363		[M+Cl+NH3]- 304.956	14	4	@M288.965T16.56|+(HCOONa)|@M311.9311T16.56|+(NH3CO)|@M339.9259T16.56|+(NH3)|+NH3|@M354.9369T16.56|+(H2)
M371.9634T16.56	hilic															M372T17	371.963448270527	993.654472327856		[M+Cl]- 336.99 [M+Cl]- 336.99	14	4	@M311.9311T16.56|+(NH3)+(CONH)|@M353.9528T16.55|+(H2O)|@M354.9369T16.56|+(NH3)|+NH3|@M414.9696T16.57|-(NHCO)
M377.903T16.56	hilic															M378T17	377.90295428712	993.629043358679	[527][M]2-		14	4	@M355.921T16.56|+Na|@M379.9186T16.56|-(H2)|@M394.9294T16.56|-(NH3)|-NH3|@M399.8847T16.57|-Na|@M422.9247T16.56|-(NH3CO)|@M437.9355T16.56|-(NH3)-(CONH)|@M438.9195T16.56|-(NH3)-(CO2)|@M439.9035T16.56|-(H2O)-(CO2)
M379.9186T16.56	hilic															M380T17.1	379.918571057623	993.437975620867			14	4	@M311.9311T16.56|+(HCOONa)|@M377.903T16.56|+(H2)|@M422.9247T16.56|-(NHCO)
M394.9294T16.56	hilic															M395T17.1	394.929407472301	993.708349613207			14	4	@M377.903T16.56|+(NH3)|+NH3|@M422.9247T16.56|-(CO)|@M437.9355T16.56|-(NHCO)|@M438.9195T16.56|-(CO2)|@M454.9621T16.56|-(NH3)-(CONH)
M399.8847T16.57	hilic															M400T17.1	399.884718431303	993.91142682262		[M+Cl+HCOOH]- 318.919	14	4	@M377.903T16.56|+Na|@M417.8957T16.56|-(H2O)|@M461.8857T16.56|-(H2O)-(CO2)
M407.9196T16.55	hilic															M408T17	407.919624235182	993.272966075471		[M+Cl+NaCOOH]- 304.956	14	4	@M355.921T16.56|+(H2S)+(H2O)
M408.9035T16.56	hilic															M409T17.1	408.903460767017	993.378198166511		[M-H+NaCOOH]- 341.922	14	4	@M430.8853T16.56|-Na|@M460.9017T16.56|-(H2S)-(H2O)|@M500.8942T16.56|-(CH2S)-(HCOOH)
M414.9696T16.57	hilic															M415T17.1	414.969616543899	993.96257640954		[M+Cl]- 379.997	14	4	@M354.9369T16.56|+(NH3)+(CONH)|@M371.9634T16.56|+(NHCO)
M415.9535T16.56	hilic															M416T17	415.953511359147	993.649723531854			14	4	@M354.9369T16.56|+(NH3)+(CO2)|@M355.921T16.56|+(NH3)+(CONH)
M416.9377T16.56	hilic															M417T17.2	416.937684805425	993.759195061012		[M-2H+K]- 379.997	14	4	@M355.921T16.56|+(NH3)+(CO2)|@M438.9195T16.56|-Na
M417.8957T16.56	hilic															M418T17	417.895674588641	993.884055541235	[560][M]-	[M-H+NH3]- 401.877	14	4	@M399.8847T16.57|+(H2O)|@M419.8939T16.56|-34S|-41K|-37Cl|@M460.9017T16.56|-(NHCO)|@M461.8857T16.56|-(CO2)|@M477.9281T16.56|-(NH3)-(CONH)
M419.8939T16.56	hilic															M420T17	419.893897154949	993.372411702523	[560][M+2]-		14	4	@M331.971T16.56|+4Na|@M339.9259T16.56|+(HPO3)|@M417.8957T16.56|+34S|+41K|+37Cl
M422.9247T16.56	hilic															M423T17.1	422.924747460405	993.629043358679			14	4	@M354.9369T16.56|+(HCOONa)|@M377.903T16.56|+(NH3CO)|@M379.9186T16.56|+(NHCO)|@M394.9294T16.56|+(CO)
M430.8853T16.56	hilic															M431T17.1	430.885347527591	993.398323466354			14	4	@M408.9035T16.56|+Na|@M606.8586T16.56|-2(HCOOH)-(HCOOK)
M437.9355T16.56	hilic															M438T17.1	437.935521273199	993.583219073193		[M-H+CF3COOH]- 304.956	14	4	@M377.903T16.56|+(NH3)+(CONH)|@M394.9294T16.56|+(NHCO)|@M454.9621T16.56|-(NH3)|-NH3
M438.9195T16.56	hilic															M439T17.1	438.919504979685	993.717545998828			14	4	@M377.903T16.56|+(NH3)+(CO2)|@M394.9294T16.56|+(CO2)|@M416.9377T16.56|+Na|@M460.9017T16.56|-Na
M439.9035T16.56	hilic															M440T17	439.903529290481	993.746284062693	[576][M]2-		14	4	@M377.903T16.56|+(H2O)+(CO2)|@M461.8857T16.56|-Na|@M483.8675T16.56|-2Na|@M505.8491T16.56|-3Na|@M523.8599T16.56|-(HCOOK)
M454.9621T16.56	hilic															M455T17	454.96205738191	993.667072785901			14	4	@M394.9294T16.56|+(NH3)+(CONH)|@M437.9355T16.56|+(NH3)|+NH3
M460.9017T16.56	hilic															M461T17.1	460.901727616172	993.708349613207	[582][M]2-		14	4	@M344.9169T16.56|+(H3PO4)+(H2O)|@M408.9035T16.56|+(H2S)+(H2O)|@M417.8957T16.56|+(NHCO)|@M438.9195T16.56|+Na|@M477.9281T16.56|-(NH3)|-NH3|@M520.9338T16.56|-(NH3)-(CONH)|@M521.9179T16.56|-(NH3)-(CO2)|@M522.9018T16.56|-(H2O)-(CO2)|@M528.889T16.56|-(HCOONa)
M461.8857T16.56	hilic															M462T17	461.885703629308	993.68829580351	[583][M]2-		14	4	@M399.8847T16.57|+(H2O)+(CO2)|@M417.8957T16.56|+(CO2)|@M439.9035T16.56|+Na|@M483.8675T16.56|-Na|@M505.8491T16.56|-2Na|@M521.9179T16.56|-(NH3)-(CONH)|@M522.9018T16.56|-(NH3)-(CO2)
M477.9281T16.56	hilic															M478T17	477.92809540565	993.679036572531			14	4	@M417.8957T16.56|+(NH3)+(CONH)|@M460.9017T16.56|+(NH3)|+NH3|@M520.9338T16.56|-(NHCO)|@M521.9179T16.56|-(CO2)
M483.8675T16.56	hilic															M484T17	483.867518316471	993.708349613207	[591][M]2-		14	4	@M439.9035T16.56|+2Na|@M461.8857T16.56|+Na|@M500.8942T16.56|-(NH3)|-NH3|@M505.8491T16.56|-Na|@M528.889T16.56|-(NH3CO)|@M543.8998T16.56|-(NH3)-(CONH)|@M544.8839T16.56|-(NH3)-(CO2)|@M545.8677T16.56|-(H2O)-(CO2)|@M551.855T16.56|-(HCOONa)
M500.8942T16.56	hilic															M501T17.2	500.894177388064	993.649723531854			14	4	@M324.9207T16.56|+2(HCOOH)+(HCOOK)|@M408.9035T16.56|+(CH2S)+(HCOOH)|@M483.8675T16.56|+(NH3)|+NH3|@M528.889T16.56|-(CO)|@M543.8998T16.56|-(NHCO)|@M544.8839T16.56|-(CO2)|@M560.9262T16.56|-(NH3)-(CONH)
M505.8491T16.56	hilic															M506T17	505.849092031965	993.861697757937	[603][M+1]-		14	4	@M439.9035T16.56|+3Na|@M461.8857T16.56|+2Na|@M483.8675T16.56|+Na
M520.9338T16.56	hilic															M521T17.1	520.933789208481	993.537394787707			14	4	@M324.9207T16.56|+(C5H9O6P)|@M460.9017T16.56|+(NH3)+(CONH)|@M477.9281T16.56|+(NHCO)
M521.9179T16.56	hilic															M522T17	521.917854645352	993.72674238445			14	4	@M460.9017T16.56|+(NH3)+(CO2)|@M461.8857T16.56|+(NH3)+(CONH)|@M477.9281T16.56|+(CO2)|@M543.8998T16.56|-Na
M522.9018T16.56	hilic															M523T17.2	522.901773416771	993.746284062693		[M-H+CF3COOH]- 389.92	14	4	@M460.9017T16.56|+(H2O)+(CO2)|@M461.8857T16.56|+(NH3)+(CO2)|@M544.8839T16.56|-Na
M523.8599T16.56	hilic															M524T17	523.859894140708	993.730595761661		[M-H+NH3]- 507.843	14	4	@M439.9035T16.56|+(HCOOK)|@M525.8578T16.55|-34S|-41K|-37Cl|@M551.855T16.56|-(CO)|@M566.8658T16.56|-(NHCO)|@M567.8497T16.56|-(CO2)|@M583.8923T16.56|-(NH3)-(CONH)
M525.8578T16.55	hilic															M526T17	525.857812795503	993.29978719936	[610][M+1]-		14	4	@M523.8599T16.56|+34S|+41K|+37Cl
M528.889T16.56	hilic															M529T17	528.888979194967	993.537394787707		[M+Cl]- 493.921	14	4	@M460.9017T16.56|+(HCOONa)|@M483.8675T16.56|+(NH3CO)|@M500.8942T16.56|+(CO)
M543.8998T16.56	hilic															M544T17	543.899842932133	993.64984922257		[3M-2H+K]- 168.976	14	4	@M483.8675T16.56|+(NH3)+(CONH)|@M500.8942T16.56|+(NHCO)|@M521.9179T16.56|+Na|@M560.9262T16.56|-(NH3)|-NH3
M544.8839T16.56	hilic															M545T17	544.883901919639	993.736650031455	[618][M]-	[M+Cl+HCOOH]- 463.919	14	4	@M483.8675T16.56|+(NH3)+(CO2)|@M500.8942T16.56|+(CO2)|@M522.9018T16.56|+Na|@M566.8658T16.56|-Na
M545.8677T16.56	hilic															M546T17	545.867737483174	993.800924191624	[618][M+1]-		14	4	@M483.8675T16.56|+(H2O)+(CO2)|@M567.8497T16.56|-Na
M551.855T16.56	hilic															M552T17.1	551.854952095041	993.466988239507		[M+Cl]- 516.882	14	4	@M483.8675T16.56|+(HCOONa)|@M523.8599T16.56|+(CO)
M560.9262T16.56	hilic															M561T17	560.926224684126	993.508493413165			14	4	@M500.8942T16.56|+(NH3)+(CONH)|@M543.8998T16.56|+(NH3)|+NH3
M566.8658T16.56	hilic															M567T17	566.865801434055	993.492094351209	[629][M]-	[M+Cl+NaCOOH]- 463.919	14	4	@M523.8599T16.56|+(NHCO)|@M544.8839T16.56|+Na
M567.8497T16.56	hilic															M568T17	567.84969811813	993.649723531854	[629][M+1]-		14	4	@M523.8599T16.56|+(CO2)|@M545.8677T16.56|+Na|@M589.8317T16.56|-Na
M583.8923T16.56	hilic															M584T17	583.892323368404	993.460304721639		[3M-2H]2- 389.92	14	4	@M523.8599T16.56|+(NH3)+(CONH)
M589.8317T16.56	hilic															M590T17	589.831709962472	993.514744569458		[M+Cl]- 554.865	14	4	@M567.8497T16.56|+Na|@M606.8586T16.56|-(NH3)|-NH3|@M649.8642T16.56|-(NH3)-(CONH)
M606.8586T16.56	hilic															M607T17	606.858566526555	993.489317340279		[M+Cl+HCOOH]- 525.878 [M+Cl+NH3]- 554.865	14	4	@M430.8853T16.56|+2(HCOOH)+(HCOOK)|@M589.8317T16.56|+(NH3)|+NH3|@M649.8642T16.56|-(NHCO)
M649.8642T16.56	hilic															M650T17	649.86416518798	993.366625238536		[M-H+CF3COOH]- 516.882	14	4	@M589.8317T16.56|+(NH3)+(CONH)|@M606.8586T16.56|+(NHCO)
M82.9543T3.11	hilic															M83T3	82.9543062485523	186.898607568742			813	5	@M84.9514T3.11|-34S|-41K|-37Cl
M84.0218T10.17	hilic															M84T10.1	84.0217719126357	610.390215970191			10	6	@M112.0123T10.19|-(CO)|@M128.0117T10.18|-(CO2)|@M146.0223T10.17|-(H2O)-(CO2)
M95.0064T10.17	hilic															M95T10	95.0063972512647	610.185869247952	[27][M]2-	[M-2H]2- 192.026	10	6	@M95.5081T10.17|-13Cdb|@M96.0085T10.17|-13C|@M112.0123T10.19|-(OH.)
M95.5081T10.17	hilic															M96T10	95.5080538894784	610.339850023314	[27][M+1]2-		10	6	@M95.0064T10.17|+13Cdb|@M96.0085T10.17|-13Cdb
M96.0085T10.17	hilic															M96T10.3	96.0085342001144	610.171554846553	[27][M+2]2-		10	6	@M95.0064T10.17|+13C|@M95.5081T10.17|+13Cdb
M112.0123T10.19	hilic															M112T10	112.012301627806	611.281770796534	[42][M+1]-		10	6	@M84.0218T10.17|+(CO)|@M95.0064T10.17|+(OH.)|@M111.0089T10.19|+13C|@M192.0234T10.18|-2(H2O)-(CO2)
M128.0117T10.18	hilic															M128T10	128.011726772449	610.933528171626		[M-H-H20]- 147.03	10	6	@M84.0218T10.17|+(CO2)|@M111.0089T10.19|+(OH.)|@M146.0223T10.17|-(H2O)
M146.0223T10.17	hilic															M146T10	146.022290733609	610.171147494403		[3M-H+Cl]2- 86.0345 [M-H]- 147.03	10	6	@M84.0218T10.17|+(H2O)+(CO2)|@M128.0117T10.18|+(H2O)|@M130.9987T10.17|+(CH3.)|@M192.0234T10.18|-(HCOOH)|-(H2O-CO)
M191T10_citric.acid	hilic	Citric acid|Isocitric acid	CHEBI:30769|CHEBI:30887	2	a,b	C00158|C00311	Amino acid metabolism|Carbohydrate metabolism	Alanine, Aspartate and Glutamate|Citrate Cycle|Glyoxylate and dicarboxylate metabolism	Glutamate|Krebs cycle|Citrate	HMDB00094|HMDB00193	CID311|CID1198	C6H8O7	192.027	KRKNYBCHXYNGOX-UHFFFAOYSA-N|ODBLHEXUDAPZAU-UHFFFAOYSA-N	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)|InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)	M191T10	191.020009497449	610.931248670165	[207][M]-	[M-H]- 192.026	10	6	@M111.0089T10.19|+2(H2O)+(CO2)|@M130.9987T10.17|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M192.0234T10.18|-13C|@M193.024T10.18|-18O|-13C2|@M194.0274T10.19|-13C3|-13C-18O
M85.0296T10.19	hilic															M85T10	85.0296242643131	611.193118216582	[4][M]-	[M-H]- 86.0345	10	7	@M129T10_Mesaconic.acid.Citraconi.|-(CO2)
M130.0228T10.19	hilic															M130T10	130.022816582936	611.39507022689	[78][M+1]-		10	7	@M129T10_Mesaconic.acid.Citraconi.|+13C|@M174.0128T10.19|-(CO2)
M173T10.1_cis.aconitic.acid	hilic	cis-Aconitic acid|Dehydroascorbic acid|trans-Aconitic acid	CHEBI:32805|CHEBI:17242|CHEBI:32806	2	a,b	C00417|C02341	Carbohydrate metabolism	Ascorbate and Aldarate metabolism|Citrate Cycle|Glyoxylate and dicarboxylate metabolism	Others|Krebs cycle|Citrate	HMDB00072|HMDB01264|HMDB00958	CID643757|CID835|CID444212	C6H6O6	174.0164	GTZCVFVGUGFEME-IWQZZHSRSA-N|SBJKKFFYIZUCET-UHFFFAOYSA-N|GTZCVFVGUGFEME-HNQUOIGGSA-N	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1-|InChI=1S/C6H6O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8H,1H2|InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1+	M173T10.1	173.009434403931	611.44138210297	[161][M]-	[M-H-H20]- 192.026	10	7	@M129T10_Mesaconic.acid.Citraconi.|+(CO2)|@M174.0128T10.19|-13C|@M175.0136T10.19|-18O|-13C2
M87.0089T2.99	hilic															M87T3	87.0088671570841	179.61452883344	[6][M]-		22	8	@M88.0122T2.99|-13C|@M89.0132T3|-18O|-13C2
M87.9727T7.28	hilic															M88T7	87.972745508922	437.038429342645			9	9	@M89.9698T7.28|-34S|-41K|-37Cl
M299.9861T7.28	hilic															M300T7	299.986124882143	436.990035067955			9	9	@M301.9831T7.28|-34S|-41K|-37Cl|@M303.9802T7.28|-44Ca
M301.9831T7.28	hilic															M302T7	301.983115578163	436.780851021038		[M+Cl+NH3]- 249.987 [M+Cl+NH3]- 249.987	9	9	@M89.9698T7.28|+(C5H9O7P)|@M299.9861T7.28|+34S|+41K|+37Cl|@M303.9802T7.28|-34S|-41K|-37Cl|@M305.9773T7.28|-44Ca
M303.9802T7.28	hilic															M304T7	303.980178402612	436.730845519256		[M-H]- 304.987 [M-H]- 304.987	9	9	@M299.9861T7.28|+44Ca|@M301.9831T7.28|+34S|+41K|+37Cl|@M305.9773T7.28|-34S|-41K|-37Cl
M305.9773T7.28	hilic															M306T7	305.977272071941	436.780629434152		[M+Cl+NH3]- 253.983 [M+Cl+NH3]- 253.983	9	9	@M301.9831T7.28|+44Ca|@M303.9802T7.28|+34S|+41K|+37Cl
M88.0123T8.78	hilic															M88T9.2	88.0122604380051	526.98156089255	[8][M+1]-		18	10	@M176.0284T8.78|-(C3H4O3)
M175T9_D.glucurono.6.3.lactone	hilic	D-(+)-Glucuronic acid γ-lactone;Glucuronolactone	CHEBI:18268	2	a,b		Carbohydrate metabolism	Ascorbate and Aldarate metabolism	Sucrose		CID439782	C6H8O6	176.03209	OGLCQHRZUSEXNB-SMAHDKISSA-N	InChI=1S/C6H8O6/c7-1-3-4(12-5(1)9)2(8)6(10)11-3/h1-5,7-9H/t1-,2-,3-,4-,5?/m1/s1	M175T9	175.025067679039	526.990080436443	[168][M]-	[M+Cl]- 140.053	18	10	@M176.0284T8.78|-13C|@M177.0292T8.78|-18O|-13C2|@M237.0257T8.78|-(H2O)-(CO2)|@M351.0576T8.78|-(C6H8O6)
M352.0609T8.78	hilic															M352T9	352.060868729482	526.865893082956	[495][M+1]-		18	10	@M176.0284T8.78|+(C6H8O6)|@M351.0576T8.78|+13C
M88T8.1_beta.alanine	hilic	β-Alanine|L-Alanine;Alanine|Sarcosine	CHEBI:16958|CHEBI:16977|CHEBI:15611	2	a,b	C00099|C00041|C00213	Amino acid metabolism|Carbohydrate metabolism|Metabolism of cofactors and vitamins|Metabolism of other amino acids|Nucleotide metabolism	Alanine, Aspartate and Glutamate|Glycine, Serine and Threonine|Propanoate metabolism|Pantothenate and CoA biosynthesis|beta-Alanine metabolism|Selenocoumpound metabolism|Pyrimidine metabolism	Alanine|Glycine|Propenoyl-CoA|beta-Alanine|Selenocysteine|Uracil	HMDB00056|HMDB00161|HMDB00271	CID239|CID5950|CID1088	C3H7NO2	89.04768	UCMIRNVEIXFBKS-UHFFFAOYSA-N|QNAYBMKLOCPYGJ-REOHCLBHSA-N|FSYKKLYZXJSNPZ-UHFFFAOYSA-N	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)|InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1|InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)	M88T8.1	88.0405161104027	456.372265012465		[M-H-C6H10O5]- 251.103	3	11	@M268.1043T7.64|-(C6H10O5)-(H2O)
M269.1076T7.64	hilic															M269T8.1	269.107643216013	458.497123921102	[356][M]-	[M+Cl]- 234.14	3	11	@M268.1043T7.64|+13C
