variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M127.039T0.91	c18acquity			4		-0.111168490566573	0.778511200457526	0	0.133059750090098	0.456483688841839	0	-0.0616386219643026	0.865339815644421	0	0.259302884872938	0.038714477713831	1	0.862387942980013	0.625671519328463	M127T1.5	127.038996854106	54.3527375423719	[169][M]+	[M+H-H20]+ 144.042	13	2	@M81.0334T0.91|+(HCOOH)|+(H2O-CO)|@M85.0283T0.91|+(C2H2O)|@M97.0284T0.91|+(CH2O)|@M109.0286T0.91|+(H2O)|@M145.0495T0.91|-(H2O)|@M163.0601T0.91_1|-2(H2O)|@M325.1131T0.91|-(C6H14O7)
M145.0495T0.91	c18acquity			4		-0.0875372705336943	0.823598251744401	0	0.137950170526786	0.421781812026826	0	-0.0462648282705018	0.889248532558521	0	0.281109413356109	0.0215015174843996	1	0.676216625123804	0.542659850716493	M145T1.4	145.049521905024	54.3070529988229	[202][M]+	[M+H]+ 144.042	13	2	@M85.0283T0.91|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M97.0284T0.91|+(CH2O)+(H2O)|@M109.0286T0.91|+2(H2O)|@M127.039T0.91|+(H2O)|@M163.0601T0.91_1|-(H2O)|@M325.1131T0.91|-(C6H10O5)-(H2O)
M163.0601T0.91_1	c18acquity			4		-0.168521693569208	0.699949830205498	0	0.145318234578784	0.514281728780092	0	-0.115193549048911	0.794022193247113	0	0.34209722624518	0.0314168018316429	1	1.05304639960298	0.840578175673131	M163T1.3	163.060058607908	54.3223513398605	[244][M]+	[M+H-H20]+ 180.064	13	2	@M85.0283T0.91|+(C2H6O3)|@M109.0286T0.91|+3(H2O)|@M127.039T0.91|+2(H2O)|@M145.0495T0.91|+(H2O)|@M325.1131T0.91|-(C6H10O5)
M203T1.7_Hexoses	c18acquity	Hexoses		3	a,d	-0.0435582245426573	0.893205067629468	0	0.0266241512627587	0.877354978056995	0	-0.0430538062467676	0.892501281339708	0	0.205615284347527	0.0637859885800339	0	0.405344131057575	0.563172781109276	M203T1.7	203.052610229272	53.469367906761	[344][M]+	[M+K]+ 164.087	7	2	@M85.0283T0.91|+(C4H6O4)|@M97.0284T0.91|+(C3H6O4)|@M204.0561T0.89_1|-13C|@M383.116T0.9_1|-(C6H10O5)-(H2O)
M289.092T0.91	c18acquity			4		-0.297743771196757	0.568732531152335	0	0.210336317552027	0.39786860273165	0	-0.119811148120267	0.818726070122199	0	0.467754889100771	0.0127642696175335	1	1.53656253630061	0.788467541319561	M289T1.6	289.091992769108	54.3527375423719	[651][M]+	[2M+H]+ 144.042	13	2	@M325.1131T0.91|-2(H2O)
M325.1131T0.91	c18acquity			4		-0.200357693434231	0.688685430933431	0	0.156600918012959	0.552816407731261	0	-0.11245684717187	0.815040793068639	0	0.386513709054341	0.0234531352342559	1	1.07931027689373	0.762361799887162	M325T1.3	325.113103959099	54.3412500692125	[808][M]+		13	2	@M109.0286T0.91|+(C6H16O8)|@M127.039T0.91|+(C6H14O7)|@M145.0495T0.91|+(C6H10O5)+(H2O)|@M163.0601T0.91_1|+(C6H10O5)|@M289.092T0.91|+2(H2O)|@M326.1166T0.9|-13C
M326.1166T0.9	c18acquity			4		-0.243592540618012	0.647856595620864	0	0.151926897756793	0.615039650075556	0	-0.150565487057493	0.782973008711837	0	0.372801517443898	0.0552421214805563	0	1.17159373361064	0.806665791077502	M326T1.2	326.116581967018	54.297165873723	[808][M+1]+		13	2	@M325.1131T0.91|+13C
M384.1198T0.91	c18acquity			4		-0.0984559085080541	0.814236024240383	0	0.137469181297735	0.467641723604159	0	-0.0438866120797918	0.922576781598286	0	0.332348858229317	0.0356265243165407	1	0.592226835216395	0.478076266864771	M384T1.2	384.119755750388	54.4016119221152	[1030][M+1]+		13	2	@M204.0561T0.89_1|+(C6H10O5)+(H2O)|@M383.116T0.9_1|+13C
M70.0124T0.72_3	c18acquity			4		0.115099933166057	0.704760631227279	0	-0.139576688712278	0.304520109132013	0	0.0282357216407512	0.941558367886818	0	-0.186726586730018	0.160316351155408	0	1.14722148750754	0.284582778214951	M70T1.3	70.0124277893366	43.1790911213774	[17][M]2+	[M+H+K]2+ 100.049	14	3	@M70.5138T0.72_1|-13Cdb|@M72.0089T0.72_4|-34S|-41K|-37Cl|@M88.0232T0.72_4|-(H2O)
M70.5138T0.72_1	c18acquity			4		0.114018210687718	0.711657917587631	0	-0.120628106778522	0.41185161828897	0	0.0126551000932018	0.974641035641247	0	-0.144172128557006	0.298988751894132	0	1.11544852506825	0.159816003931033	M71T1	70.5137906307791	43.1853361108618	[17][M+1]2+		14	3	@M70.0124T0.72_3|+13Cdb|@M88.5243T0.72_1|-(H2O)
M72.0089T0.72_4	c18acquity			4		0.05393508762943	0.882859659619439	0	-0.110533630303879	0.412479908452547	0	-0.0633665523516687	0.900048859936098	0	-0.204543203494168	0.121307475931493	0	0.571014808681754	0.39852692276948	M72T1.4	72.0088932760289	43.1764996346772	[17][M+4]2+		14	3	@M70.0124T0.72_3|+34S|+41K|+37Cl|@M143.9968T0.72_1|-(CO2)-(CO)
M84.9596T0.72_2	c18acquity			4		0.144642007923331	0.66350315999377	0	-0.144830094185817	0.365502856828922	0	0.0189312040077674	0.9624595110392	0	-0.20166810919326	0.189910389823176	0	1.28087190335256	0.158392919255848	M85T1.2	84.9595586066561	43.1751383730992	[47][M]+	[M+K]+ 45.9958 [M+K]+ 45.9958	14	3	@M85.963T0.72_3|-13C|@M88.9525T0.72_2|-44Ca|@M102.9706T0.72_3|-(H2O)|@M125.9862T0.72_1|-(CH3CN)|-(C2H3N)|@M126.9895T0.72_1|-(C2H4N.)
M85.963T0.72_3	c18acquity					0.149883391820831	0.650687444225057	0	-0.0901798099011284	0.635820179128275	0	-0.00179497682191432	0.993428615488081	0	-0.178544582126394	0.234171609045681	0	1.34066420384728	0.0847294828643639	M86T1.5	85.9630393690672	43.1790911213774	[47][M+1]+		14	3	@M84.9596T0.72_2|+13C|@M126.9895T0.72_1|-(CH3CN)|-(C2H3N)
M88.0232T0.72_4	c18acquity			4		0.155181445403294	0.632200918319919	0	-0.130714124083376	0.399899633830589	0	0.0337632840817115	0.937652421702868	0	-0.180713563416784	0.210426833775393	0	1.41798603942847	0.239204010093509	M88T1.4	88.0231742558696	43.1908022944057	[63][M]2+		14	3	@M70.0124T0.72_3|+(H2O)|@M88.5243T0.72_1|-13Cdb|@M90.0196T0.72_4|-34S|-41K|-37Cl|@M91.0272T0.72_4|-13C-37Cl|-13C-18O|-13C-34S
M88.5243T0.72_1	c18acquity			4		0.124096651143063	0.728663219128486	0	-0.146375895846372	0.370114077408509	0	0.0279040718102834	0.950955120489405	0	-0.175885563447409	0.288931677767488	0	0.993196539787869	0.146458072557767	M89T1.1	88.5242894472781	43.1880692026337	[63][M+1]2+		14	3	@M70.5138T0.72_1|+(H2O)|@M88.0232T0.72_4|+13Cdb|@M90.5258T0.72_1|-18O|-41K|-37Cl
M88.9525T0.72_2	c18acquity					0.19873737248197	0.564821818420608	0	-0.120228787707585	0.488266723644393	0	0.056095672846622	0.903289540438247	0	-0.224672606602391	0.146482172228799	0	1.69673006129799	0.421180933668738	M89T1.3	88.9524626796204	43.1593279608189	[47][M+4]+		14	3	@M84.9596T0.72_2|+44Ca
M90.0196T0.72_4	c18acquity			4		0.169908874670066	0.601617896324816	0	-0.156319253219706	0.276984381017414	0	0.09473754042107	0.814497080588386	0	-0.147337090423909	0.288931677767488	0	1.45837934757649	0.728448674537551	M90T1.7	90.0195672766382	43.1853361108618	[63][M+4]2+		14	3	@M88.0232T0.72_4|+34S|+41K|+37Cl|@M90.5258T0.72_1|-13Cdb|@M91.0272T0.72_4|-13C
M90.5258T0.72_1	c18acquity			4		0.136613890577465	0.67797180727527	0	-0.146067600382846	0.341145633511168	0	0.0138912067362078	0.972518997291804	0	-0.223171667860466	0.137814543015395	0	1.22474178662733	0.144545087812515	M91T1.2	90.5257934856995	43.1592590606903	[74][M]2+		14	3	@M88.5243T0.72_1|+18O|+41K|+37Cl|@M90.0196T0.72_4|+13Cdb|@M91.0272T0.72_4|-13Cdb|@M92.5223T0.72_1|-34S|-41K|-37Cl|@M108.5369T0.72_1|-(H2O)
M102.9706T0.72_3	c18acquity					0.167109592638411	0.647254475832936	0	-0.186737411774157	0.257441915279511	0	0.0454922842377634	0.919142301485338	0	-0.216773039429818	0.150088932440045	0	1.26270233051658	0.336373111358249	M103T1.4	102.970614972939	43.1940504210335	[113][M]+	[M+K]+ 64.009	14	3	@M84.9596T0.72_2|+(H2O)|@M143.9968T0.72_1|-(CH3CN)|-(C2H3N)
M125.9862T0.72_1	c18acquity					0.176548425985459	0.626894834039144	0	-0.159164162813177	0.349650869828683	0	0.0202166259495016	0.960657670606875	0	-0.24253179848025	0.135825760406357	0	1.45136258726292	0.19072731098008	M126T1.3	125.986210813523	43.1492157001229	[165][M]+		14	3	@M84.9596T0.72_2|+(CH3CN)|+(C2H3N)|@M126.9895T0.72_1|-13C|@M143.9968T0.72_1|-(H2O)|@M167.0127T0.72|-(CH3CN)|-(C2H3N)
M126.9895T0.72_1	c18acquity					0.182629603382372	0.617870282791301	0	-0.155740410883944	0.362188766011544	0	0.0305385413270081	0.945671589203274	0	-0.239540441715903	0.144673065333164	0	1.53929761268323	0.221416163200696	M127T1.2	126.989475658192	43.1591901605617	[165][M+1]+		14	3	@M84.9596T0.72_2|+(C2H4N.)|@M85.963T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+13C
M143.9968T0.72_1	c18acquity			4		0.187010520710214	0.614427093069335	0	-0.165361887364845	0.32424265316092	0	0.020263679591686	0.961071149302448	0	-0.222727979433397	0.170981893383685	0	1.49132090319301	0.13134252089834	M144T1.1	143.99683071454	43.1536459755301	[196][M]+		14	3	@M72.0089T0.72_4|+(CO2)+(CO)|@M102.9706T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+(H2O)
M167.0127T0.72	c18acquity			4		0.144739461736915	0.66350315999377	0	-0.174821434031273	0.240699475611045	0	0.0174063713242703	0.959539912923124	0	-0.253217139893604	0.0814305590036371	0	1.24551585853618	0.216449633424187	M167T1.1	167.012715984785	43.138203337595	[250][M]+		14	3	@M125.9862T0.72_1|+(CH3CN)|+(C2H3N)
M116T1.7_L.proline	c18acquity	L-proline	CHEBI:17203	1	a,b,c	0.0471659822073711	0.897767415029086	0	0.154474390288364	0.38574959956992	0	0.241667092432802	0.668798449621041	0	0.355263174617448	0.103175815092254	0	0.72680921585844	0.954323671794094	M116T1.7	116.070535624773	58.8564692515334	[148][M]+	[M+H]+ 115.063	10	4	@M70.065T0.99|+(HCOOH)|+(H2O-CO)|@M117.0739T0.98_2|-13C
M71.0289T0.72_4	c18acquity			4		0.0860827760660001	0.62388029617093	0	0.0758147181685516	0.330770099871312	0	-0.0424525279299601	0.878555740302118	0	0.0325489688066689	0.749591193608559	0	1.74696077713893	0.699623101420543	M71T1.6	71.0289375827346	43.1790911213774			14	5	@M71.5296T0.72_2|-13Cdb|@M72.0278T0.72_5|-13C|-15N|@M74.0324T0.72_4|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-2(H2O)-(CO2)
M71.5296T0.72_2	c18acquity			4		0.132151077595445	0.461880685067318	0	0.0400149406352988	0.607551045540828	0	-0.0132464599517839	0.972570926626308	0	0.00998317620101119	0.93201414877211	0	2.30441440639026	0.280004905374624	M72T1.1	71.5295513848713	43.1777953780273	[19][M]+		14	5	@M71.0289T0.72_4|+13Cdb|@M72.0278T0.72_5|-13Cdb|@M74.5305T0.72_2|-13C-37Cl|-13C-34S
M72.0278T0.72_5	c18acquity			4		0.106923858337822	0.567395831802724	0	0.0654292133560439	0.404454261491047	0	-0.0399470219468476	0.895773881479658	0	0.0312807899369361	0.770469916201144	0	1.97592461898949	0.629775258005823	M72T1.5	72.0278306915312	43.1751383730992		[M+Na]+ 49.0356	14	5	@M71.0289T0.72_4|+13C|+15N|@M71.5296T0.72_2|+13Cdb|@M74.0324T0.72_4|-18O|-13C2|@M152.0366T0.72_3|-2(H2O)-(CO2)
M73.5316T0.72_1	c18acquity			4		0.104332212555551	0.570128748510575	0	0.0471568054691289	0.547711628737928	0	-0.0677925471437746	0.810315808423596	0	-0.00183997187708584	0.995743947879643	0	2.05297189773486	0.869126050612764	M74T1	73.5316272343113	43.1591901605617			14	5	@M74.0324T0.72_4|-13Cdb|@M74.5305T0.72_2|-13C|-15N
M74.0324T0.72_4	c18acquity			4		0.0967132074895396	0.614130154358376	0	0.0522278403624981	0.528570481980809	0	-0.0572157077899149	0.852311187140137	0	0.00633788080383013	0.947403983047957	0	1.9034781214483	0.713228101704629	M74T1.6	74.0323875566939	43.1586332057495	[24][M]+		14	5	@M71.0289T0.72_4|+13C+37Cl|+13C+18O|+13C+34S|@M72.0278T0.72_5|+18O|+13C2|@M73.5316T0.72_1|+13Cdb|@M74.5305T0.72_2|-13Cdb
M74.5305T0.72_2	c18acquity			4		0.118475831485508	0.499553624706077	0	0.0689375134150296	0.358103370815575	0	-0.0361526028047905	0.908043414211062	0	0.0061131136163084	0.952422938686931	0	2.26290880438576	0.513794422303274	M75T1.1	74.5305071418344	43.1593279608189		[M+H-CH4]+ 89.5606	14	5	@M71.5296T0.72_2|+13C+37Cl|+13C+34S|@M73.5316T0.72_1|+13C|+15N|@M74.0324T0.72_4|+13Cdb|@M92.5413T0.72_2|-(H2O)
M80.0342T0.72_3	c18acquity			4		0.119273811546265	0.559069136139983	0	0.0341622599401639	0.689007540144411	0	-0.0562681445461024	0.855231109041828	0	0.00215859167430565	0.975154325868431	0	1.98667996307816	0.879788015934756	M80T1.3	80.0342372084438	43.1777953780273			14	5	@M80.5347T0.72_2|-13Cdb|@M81.0331T0.72_4|-13C|-15N|@M83.0377T0.72_7|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-(C2HNO2)|@M169.0458T0.72_2|-(C2H3NO3)
M80.5347T0.72_2	c18acquity			4		0.127476989917508	0.5450404867205	0	0.0554136409967931	0.53798353809049	0	-0.047824213284045	0.878499114363028	0	1.65584763607285e-05	0.991121655337993	0	1.91745730000821	0.742397584446661	M81T1.1	80.5347224294208	43.1777953780273			14	5	@M80.0342T0.72_3|+13Cdb|@M83.5359T0.72_2|-13C-37Cl|-13C-34S
M81.0331T0.72_4	c18acquity			4		0.12054709299446	0.559069136139983	0	0.051701519192342	0.55641388392373	0	-0.0380877225400731	0.910937497803482	0	0.028442835703089	0.808216763715798	0	1.95903115762585	0.573128030269757	M81T1.6	81.0331121624182	43.1924263577195			14	5	@M80.0342T0.72_3|+13C|+15N|@M83.0377T0.72_7|-18O|-13C2|@M169.0458T0.72_2|-(C3H4O3)
M82.0137T0.72_2	c18acquity			4		0.0885245957719683	0.633740734930764	0	0.0537460333337805	0.527159706066185	0	-0.0659716031752673	0.812283301617412	0	0.018068514922664	0.855872654419233	0	1.72661670693369	0.966330547019353	M82T1.6	82.0136852825858	43.1751383730992	[37][M]2+		14	5	@M128.0193T0.72_3|-(HCOOH)|-(H2O-CO)|@M146.0301T0.72_3|-(H2O)-(HCOOH)|@M169.0458T0.72_2|-(C3H5NO2)
M82.537T0.72_2	c18acquity			4		0.127810189170674	0.533332099075772	0	0.0683107906487876	0.436360859398171	0	-0.0519217297510721	0.875613458712903	0	0.00726403481246507	0.947479272061289	0	2.05026117973661	0.663839464021183	M83T1.1	82.5370076216949	43.1728859959694			14	5	@M83.0377T0.72_7|-13Cdb|@M83.5359T0.72_2|-13C|-15N
M84.0373T0.72_5	c18acquity			4		0.155133015236331	0.454104112361185	0	0.0275846314521218	0.741950155054208	0	-0.0726219495906371	0.814449810269534	0	-0.0235244842534357	0.867558474932221	0	2.28900497491201	0.919415768411161	M84T1.7	84.037308363529	43.1764996346772	[41][M+1]+		14	5	@M83.0377T0.72_7|+13C|+15N|@M83.5359T0.72_2|+13Cdb
M91.5423T0.72_2	c18acquity			4		0.155213371855925	0.426472464408713	0	0.0586341286292367	0.489691741221748	0	-0.0501834837936457	0.877487456002041	0	0.0118190008256498	0.918911454407447	0	2.31234779492252	0.699773763265625	M92T1.1	91.5423493414667	43.1790911213774		[M+H-H20]+ 108.548	14	5	@M92.0429T0.72_5|-13Cdb|@M92.5413T0.72_2|-13C|-15N
M92.0429T0.72_5	c18acquity			4		0.17201006325331	0.407250210465937	0	0.0403267584179936	0.646676758841616	0	-0.0428926206459792	0.912729324907007	0	-0.016803212602035	0.916508424594251	0	2.35494837689751	0.539061897043508	M92T1.8	92.0429000299248	43.1790911213774			14	5	@M91.5423T0.72_2|+13Cdb|@M92.5413T0.72_2|-13Cdb|@M94.0452T0.72_4|-18O|-41K|-13C2|@M128.0193T0.72_3|-(HCl)
M92.5413T0.72_2	c18acquity			4		0.164359724041027	0.374765341273368	0	0.0425255027585152	0.593129144532528	0	-0.0419236388569928	0.908043414211062	0	-0.00726681545853225	0.969952750915389	0	2.50289249352879	0.606516623630442	M93T1.2	92.5413080366651	43.1777953780273			14	5	@M74.5305T0.72_2|+(H2O)|@M91.5423T0.72_2|+13C|+15N|@M92.0429T0.72_5|+13Cdb
M94.0452T0.72_4	c18acquity					0.125540084141182	0.512933472768761	0	0.0447829764737868	0.585104613567567	0	-0.012110265752117	0.98071104691916	0	-0.0181548276848389	0.890890126928815	0	2.10154084784788	0.170292221029534	M94T1.5	94.0451527857279	43.1719948804177			14	5	@M92.0429T0.72_5|+18O|+41K|+13C2
M111.0098T0.72_3	c18acquity			4		0.128529491696227	0.582087352817098	0	0.0520609937019536	0.619868587414296	0	-0.0730463439578841	0.838071058318113	0	-0.0228781041006734	0.888537156165557	0	1.85013060859625	0.740420668230172	M111T1.4	111.00979522276	43.1592590606903		[M+2H-CO]2+ 247.991 [M+2H-CO]2+ 247.991	14	5	@M112.0061T0.72_2|-15N|@M129.0204T0.72_4|-(H2O)|@M152.0366T0.72_3|-(CH3CN)|-(C2H3N)|@M153.0329T0.72_2|-(CH2N2)
M112.0061T0.72_2	c18acquity			4		0.134965800982961	0.542624969428317	0	0.0534144459372641	0.57373702687669	0	-0.077387846866479	0.819577643000203	0	-0.0283420902814768	0.851948407893575	0	2.03189939666656	0.812929025113425	M112T1.4	112.006112639592	43.1591901605617	[131][M]+		14	5	@M111.0098T0.72_3|+15N|@M153.0329T0.72_2|-(CH3CN)|-(C2H3N)
M128.0193T0.72_3	c18acquity			4		0.142688576630317	0.555223466886853	0	0.0597164554886298	0.562216031996894	0	-0.0592984232374896	0.874465440538794	0	-0.00905651129374263	0.967342839685359	0	1.96915339808181	0.672331698324072	M128T1.4	128.019313654178	43.1940504210335			14	5	@M82.0137T0.72_2|+(HCOOH)|+(H2O-CO)|@M92.0429T0.72_5|+(HCl)|@M129.0204T0.72_4|-13C|-15N|@M146.0301T0.72_3|-(H2O)|@M169.0458T0.72_2|-(CH3CN)|-(C2H3N)
M129.0204T0.72_4	c18acquity			4		0.147217332239642	0.530646819282225	0	0.0429322310010001	0.66772883115566	0	-0.0535338785818524	0.887561400838453	0	0.00391126794152186	0.971457874504543	0	1.9838038332438	0.687709640531232	M129T1.9	129.020420702959	43.1640469715789		[2M+H]+ 64.009	14	5	@M111.0098T0.72_3|+(H2O)|@M128.0193T0.72_3|+13C|+15N|@M146.0191T0.72_2|-(OH.)
M146.0191T0.72_2	c18acquity			4		0.142168196313534	0.547227997132219	0	0.00596367203598547	0.902498144316859	0	-0.0899616987906384	0.793758382879821	0	-0.047535070917597	0.739046175739946	0	2.00950568157631	0.962345362282392	M146T1.4	146.019105831035	43.215083088862			1121	5	@M129.0204T0.72_4|+(OH.)
M146.0301T0.72_3	c18acquity			4		0.142168196313534	0.547227997132219	0	0.00596367203598547	0.902498144316859	0	-0.0899616987906384	0.793758382879821	0	-0.047535070917597	0.739046175739946	0	2.00950568157631	0.962345362282392	M146T1.6	146.030105063973	43.1728859959694			14	5	@M82.0137T0.72_2|+(H2O)+(HCOOH)|@M128.0193T0.72_3|+(H2O)|@M152.0366T0.72_3|-Li
M151.0352T0.72_3	c18acquity			4		0.142536278132805	0.499553624706077	0	0.0261887982994793	0.75445754876788	0	-0.0483978685628372	0.891558907635247	0	-0.0523471677768477	0.667023598721896	0	2.18618404319842	0.544408460578387	M151T1.4	151.035194013338	43.1447668679848			14	5	@M71.0289T0.72_4|+2(H2O)+(CO2)|@M80.0342T0.72_3|+(C2HNO2)|@M152.0366T0.72_3|-13C|-15N|@M153.0329T0.72_2|-34S|-41K|-37Cl|@M169.0458T0.72_2|-(H2O)
M152.0366T0.72_3	c18acquity			4		0.123814691148372	0.579451122294773	0	0.077812483307234	0.424670955317155	0	-0.0916243165716146	0.782973008711837	0	-0.0100397299691153	0.967342839685359	0	1.8558451673814	0.979031909992121	M152T1.7	152.036633157559	43.1536459755301		[M+H]+ 151.032	14	5	@M72.0278T0.72_5|+2(H2O)+(CO2)|@M111.0098T0.72_3|+(CH3CN)|+(C2H3N)|@M146.0301T0.72_3|+Li|@M151.0352T0.72_3|+13C|+15N|@M153.0329T0.72_2|-15N
M153.0329T0.72_2	c18acquity			4		0.157482885513875	0.482592806294477	0	0.0447370366976578	0.642863701649655	0	-0.0613395027730732	0.864386228461853	0	-0.00950885177576311	0.963182746500105	0	2.14889167261462	0.7483103426793	M153T1.5	153.032884057034	43.1536459755301	[228][M]+		14	5	@M111.0098T0.72_3|+(CH2N2)|@M112.0061T0.72_2|+(CH3CN)|+(C2H3N)|@M151.0352T0.72_3|+34S|+41K|+37Cl|@M152.0366T0.72_3|+15N
M169.0458T0.72_2	c18acquity			4		0.184815269634818	0.454104112361185	0	0.0449715781657716	0.671780920913152	0	-0.0362899776527765	0.938464626397075	0	0.010842402496408	0.944235964521406	0	2.15598208153124	0.446792777658531	M169T1.6	169.045826574727	43.1384518090237		[M+Na+HCOOH]+ 100.049	14	5	@M80.0342T0.72_3|+(C2H3NO3)|@M81.0331T0.72_4|+(C3H4O3)|@M82.0137T0.72_2|+(C3H5NO2)|@M128.0193T0.72_3|+(CH3CN)|+(C2H3N)|@M151.0352T0.72_3|+(H2O)
M72T1.7_L.valine.fragment	c18acquity	L-valine fragment	CHEBI:16414	1	a,b,c	0.0189287875665585	0.967763992348494	0	-0.0449504744777407	0.788666278751593	0	0.000210002498281625	0.997349071743662	0	-0.0160988033432545	0.924206151188952	0	0.183058983373905	0.0035094465733099	M72T1.7	72.0806376509194	70.8935157462396	[20][M]+		1	6	@M73.084T1.18|-13C
