variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	hmdb_id	id_comment	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M462.9675T8.6	c18acquity			4					M463T9	462.967451	518.22324162			1079	3	@M425.0117T8.6|+K
M89.0243T1.2	c18acquity			4					M89T1	89.02434913	71.30805108	[2][M]-		8	4	@M90.0277T1.2|-13C
M137T1.5_5.Aminopyridine.3.carbox.	c18acquity	5-Aminopyridine-3-carboxylic acid	CHEBI:68578	2	a,b				M137T1.5	137.0355783	71.2137696			8	5	@M93.0458T1.2|+(CO2)
M96.96T2.4	c18acquity			4					M97T2	96.95998092	143.29745628			142	6	@M98.9558T2.4|-34S|-41K|-37Cl
M115.9206T7.5_1	c18acquity			4					M116T8.1	115.920569	452.4384147		[M+Cl]- 80.9477	32	7	@M116.9285T7.5_1|-13C|@M117.9285T7.5|-18O|-13C2
M116.9285T7.5_1	c18acquity			4					M117T8.1	116.9284544	452.44907586			32	7	@M99.9257T7.5|+(OH.)|@M115.9206T7.5_1|+13C|@M117.9285T7.5|-13C|-15N
M115.9207T8.6	c18acquity			4					M116T9	115.9206511	518.58323976			60	8	@M116.9285T8.6|-13C|@M117.9285T8.6|-18O|-13C2
M116.9285T8.6	c18acquity			4					M117T9	116.9284698	518.86895838			60	8	@M99.9257T8.7|+(OH.)|@M115.9207T8.6|+13C|@M117.9285T8.6|-13C|-15N
M102.0279T1.2	c18acquity			4					M102T1.1	102.0278776	71.30645076	[7][M+1]-		8	9	@M101.0243T1.2|+13C
M145.0142T1.2_1	c18acquity			4					M145T1.3	145.0142061	71.22745692			8	9	@M101.0243T1.2|+(CO2)
M146T1.3_L.glutamic.acid	c18acquity	L-glutamic acid	CHEBI:16015	1	a,b,c	C00025	HMDB0000148		M146T1.3	146.0458358	54.41253714	[42][M]-	[M-H-C3H2O3]- 233.055 [M-H-C6H10O5]- 309.106	105	10	@M102.056T0.9|+(CO2)
M102.9567T0.8	c18acquity			4					M103T1	102.9567304	50.36832048			44	11	@M104.9538T0.8|-34S|-41K|-37Cl
M108.0536T9.4	c18acquity			4					M108T9	108.0535734	563.74076172	[9][M+1]-		96	12	@M107.0502T9.4|+13C
M187.007T9.4	c18acquity			4					M187T9	187.0070318	563.67829212	[69][M]-	[M+Cl]- 152.041	96	12	@M107.0502T9.4|+(SO3)|@M189.0032T9.4|-34S|-41K|-37Cl
M188.9863T7.5	c18acquity								M189T8.1	188.9862967	452.13570102	[72][M]-	[M-H]- 189.988	32	13	@M109.0294T7.5|+(SO3)|@M189.9894T7.5|-13C
M111.0087T1.2_2	c18acquity								M111T1.3	111.0087019	71.53690752	[11][M]-	[M-H]- 112.018 [M-H-H20]- 130.026	8	14	@M112.0121T1.2_1|-13C|@M129.0193T1.2_1|-(H2O)
M173.0819T9.1	c18acquity								M173T9	173.081871	548.34083046	[56][M]-		129	15	@M111.0815T9.1|+(H2O)+(CO2)|@M174.0854T9.1|-13C
M114.934T8.4	c18acquity								M115T8.1	114.9340423	502.1142312			1806	16	@M116.9284T8.4|-34S|-41K|-37Cl
M115.9206T8.4	c18acquity								M116T8.2	115.9206101	502.3107699			136	16	@M116.9284T8.4|-13C|@M117.9286T8.4|-18O|-13C2
M116.9284T8.4	c18acquity								M117T8.2	116.92844	502.46037096		[M-H-CO]- 145.931	136	16	@M114.934T8.4|+34S|+41K|+37Cl|@M115.9206T8.4|+13C|@M117.9286T8.4|-13C|-15N
M133.0142T1.2	c18acquity								M133T1.4	133.0142228	70.76079006		[M-H+HCOOH]- 88.0176	8	17	@M115.0036T1.2|+(H2O)|@M135.0186T1.2|-18O|-13C2
M115.9206T7.9	c18acquity								M116T8	115.9205935	476.02909572			201	18	@M116.9284T7.9|-13C
M116.9284T7.9	c18acquity								M117T8	116.9284402	476.24919684			2087	18	@M115.9206T7.9|+13C
M115.9206T9	c18acquity								M116T9.4	115.920616	538.26505098			1830	19	@M116.9284T9|-13C
M116.9284T9	c18acquity								M117T9.3	116.928439	537.64295652			1831	19	@M115.9206T9|+13C
M115.9206T9.4	c18acquity								M116T9.2	115.9206376	564.4706181			1434	20	@M116.9284T9.4|-13C
M116.9284T9.4	c18acquity								M117T9.2	116.9284444	564.12089646			96	20	@M115.9206T9.4|+13C
M203T8_L.Tryptophan	c18acquity	L-Tryptophan	CHEBI:27897	1	a,b,c	C00806	HMDB0030396		M203T8	203.0825962	452.39203296	[83][M]-	[M-H]- 204.091	32	21	@M116.0505T7.5_2|+(C3H5NO2)|@M159.0927T7.5|+(CO2)|@M204.0858T7.5|-13C
M121T9_4.Hydroxybenzaldehyde	c18acquity	4-Hydroxybenzaldehyde	CHEBI:17597	2	a,b	C00633	HMDB0011718		M121T9	121.0294856	531.4796007	[23][M]-		182	22	@M122.0328T8.9|-13C
M124T1.2_L.taurine	c18acquity	L-taurine	CHEBI:15729	2	a,b	C00077	HMDB0000214		M124T1.2	124.0073365	52.6476573	[24][M]-	[M-H]- 125.017	33	23	@M181.966T0.9|-(NaCl)
M183.9629T0.9	c18acquity			4					M184T1	183.9628663	52.34437554		[M-H]- 184.969	33	23	@M181.966T0.9|+34S|+41K|+37Cl
M130.0622T1	c18acquity			4					M130T1.3	130.0621542	58.14517794		[M-H]- 131.071	105	24	@M166.0389T1|-(HCl)
M130.0661T10.3	c18acquity								M130T10	130.0660988	616.9803144			1705	25	@M174.056T10.3|-(CO2)
M158.9785T0.7	c18acquity								M159T1.1	158.9784957	43.42685706			90	26	@M130.9836T0.7_2|+(CO)|@M159.9798T0.7|-13C|-15N
M131T1.6_L.Ornithine	c18acquity	L-Ornithine	CHEBI:15729	2	a,b	C00077	HMDB0000214		M131T1.6	131.0825543	54.64441542	[32][M]-		105	27	@M174.0884T0.9|-(NHCO)
M178.0509T8.4	c18acquity								M178T8	178.0509328	502.3107699	[59][M]-	[M-H]- 179.058	136	28	@M134.061T8.4|+(CO2)
M139.1128T15.9	c18acquity								M139T16	139.1127651	951.6885762			41	29	@M207.1026T15.9|-(HCOONa)
M163.1128T15.9	c18acquity								M163T16	163.1128498	951.680679			41	29	@M180.1112T15.9|-(OH.)|@M207.1026T15.9|-(CO2)
M179.1077T15.9	c18acquity								M179T16	179.1077315	951.6797916	[61][M]-		41	29	@M180.1112T15.9|-13C|@M207.1026T15.9|-(CO)
M208.1093T15.9	c18acquity								M208T16	208.1092785	951.6485556			41	29	@M180.1112T15.9|+(CO)|@M207.1026T15.9|+13C
M145T1.7_L.Lysine	c18acquity	L-Lysine	CHEBI:18019	2	a,b	C00047	HMDB0000182		M145T1.7	145.0981992	46.16530374	[41][M]-	[M+Cl]- 110.13	139	30	@M281.0731T0.8|-2(HCOONa)
M213.0857T0.8	c18acquity			4					M213T1.3	213.0856636	46.30018068	[91][M]-	[M+Cl+NaCOOH]- 110.13	139	30	@M281.0731T0.8|-(HCOONa)|@M349.0606T0.8|-2(HCOONa)
M349.0606T0.8	c18acquity								M349T1.1	349.0605582	47.07903828	[221][M]-	[M-H+NaCOOH]- 282.08 [M-H]- 350.068	18	30	@M213.0857T0.8|+2(HCOONa)|@M281.0731T0.8|+(HCOONa)|@M417.048T0.8|-(HCOONa)|@M485.0354T0.8|-2(HCOONa)
M417.048T0.8	c18acquity			4					M417T1	417.0480487	47.2290522	[256][M]-	[M-H+NaCOOH]- 350.068	18	30	@M281.0731T0.8|+2(HCOONa)|@M349.0606T0.8|+(HCOONa)|@M485.0354T0.8|-(HCOONa)|@M553.0227T0.8|-2(HCOONa)
M485.0354T0.8	c18acquity			4					M485T1.1	485.035417	47.12815062	[288][M]-		18	30	@M349.0606T0.8|+2(HCOONa)|@M417.048T0.8|+(HCOONa)|@M553.0227T0.8|-(HCOONa)|@M621.0103T0.8|-2(HCOONa)
M553.0227T0.8	c18acquity			4					M553T1.1	553.0227285	47.2036275	[350][M]-		18	30	@M417.048T0.8|+2(HCOONa)|@M485.0354T0.8|+(HCOONa)|@M621.0103T0.8|-(HCOONa)|@M688.9976T0.8|-2(HCOONa)
M621.0103T0.8	c18acquity			4					M621T1.1	621.0102872	47.18810262	[421][M]-		18	30	@M485.0354T0.8|+2(HCOONa)|@M553.0227T0.8|+(HCOONa)|@M688.9976T0.8|-(HCOONa)|@M756.9852T0.8|-2(HCOONa)
M688.9976T0.8	c18acquity			4					M689T1.1	688.9975687	47.1656715	[476][M]-	[M+Cl]- 654.02	18	30	@M553.0227T0.8|+2(HCOONa)|@M621.0103T0.8|+(HCOONa)|@M690.0007T0.8|-13C|@M756.9852T0.8|-(HCOONa)|@M824.9726T0.8|-2(HCOONa)
M690.0007T0.8	c18acquity			4					M690T1	690.0007377	47.2585335	[476][M+1]-		18	30	@M688.9976T0.8|+13C
M756.9852T0.8	c18acquity			4					M757T1.1	756.985187	47.13498564	[510][M]-	[M+Cl+NaCOOH]- 654.02	18	30	@M621.0103T0.8|+2(HCOONa)|@M688.9976T0.8|+(HCOONa)|@M824.9726T0.8|-(HCOONa)|@M892.9605T0.8|-2(HCOONa)
M824.9726T0.8	c18acquity			4					M825T1.1	824.9725756	47.18418648	[548][M]-		18	30	@M688.9976T0.8|+2(HCOONa)|@M756.9852T0.8|+(HCOONa)|@M825.9759T0.8|-13C|@M892.9605T0.8|-(HCOONa)|@M960.9476T0.8|-2(HCOONa)
M825.9759T0.8	c18acquity			4					M826T1	825.9759316	47.25684876	[548][M+1]-		18	30	@M824.9726T0.8|+13C
M892.9605T0.8	c18acquity			4					M893T1.1	892.9604658	47.18418648	[598][M]-	[M-H]- 893.968	18	30	@M756.9852T0.8|+2(HCOONa)|@M824.9726T0.8|+(HCOONa)|@M960.9476T0.8|-(HCOONa)
M960.9476T0.8	c18acquity			4					M961T1.2	960.9475559	47.22908598	[631][M]-	[M-H+NaCOOH]- 893.968	18	30	@M824.9726T0.8|+2(HCOONa)|@M892.9605T0.8|+(HCOONa)
M174.9561T0.7_1	c18acquity								M175T1.2	174.9560646	43.13297982	[58][M]-		90	31	@M146.9611T0.7_2|+(CO)
M189.0081T0.7	c18acquity								M189T1.1	189.0081393	43.14233328		[M-H]- 190.015	90	31	@M146.9611T0.7_2|+(C3H6)
M150.8865T0.9	c18acquity								M151T1	150.8865412	53.41834314			33	32	@M152.8836T0.9|-34S|-41K|-37Cl
M157.0367T1	c18acquity								M157T1.5	157.0366744	58.32684456			105	33	@M193.0134T1_2|-(HCl)
M204.0666T9.9	c18acquity								M204T10.1	204.0666312	593.06231106			1539	34	@M160.0767T9.9|+(CO2)
M161.1334T15.7	c18acquity								M161T16	161.133402	943.4856354		[M-H-CO2]- 206.131	135	35	@M205.1234T15.7|-(CO2)|@M233.1185T15.7|-(CO2)-(CO)
M205.1234T15.7	c18acquity								M205T16	205.123396	943.4779758	[85][M]-	[M-H]- 206.131 [M-H-CO]- 234.126	135	35	@M161.1334T15.7|+(CO2)|@M206.1269T15.7|-13C|@M233.1185T15.7|-(CO)
M206.1269T15.7	c18acquity								M206T16	206.1269232	943.4277156	[85][M+1]-		135	35	@M205.1234T15.7|+13C|@M234.1259T15.7|-(CO)|@M325.2174T15.7|-(NC3H9)-(CH3COOH)
M233.1185T15.7	c18acquity								M233T16	233.1184663	943.2066054		[M-H]- 234.126	135	35	@M161.1334T15.7|+(CO2)+(CO)|@M205.1234T15.7|+(CO)|@M234.1259T15.7|-13C
M234.1259T15.7	c18acquity								M234T16	234.1259499	943.1661006			135	35	@M206.1269T15.7|+(CO)|@M233.1185T15.7|+13C
M343.2278T15.7	c18acquity								M343T16	343.2278217	943.0859274	[218][M]-	[M-H]- 344.236	135	35	@M281.2275T15.7|+(H2O)+(CO2)|@M325.2174T15.7|+(H2O)|@M344.2313T15.7|-13C|@M345.2343T15.7|-18O|-13C2|@M411.2153T15.7|-(HCOONa)
M173.9944T8	c18acquity								M174T8	173.9944363	477.8515818	[55][M+1]-		94	36	@M174.9874T8|-15N
M190.9284T8.4	c18acquity								M191T8.1	190.9283706	502.24972506		[M-H+HCOOH]- 145.931	136	37	@M233.9467T8.4|-(C2H3O.)
M191.0197T1.2	c18acquity								M191T1.4	191.0197349	71.25958506	[74][M]-		8	38	@M192.0232T1.2|-13C
M209.1547T12.9	c18acquity								M209T13	209.154692	771.0699228			1921	39	@M253.1446T12.8|-(CO2)
M215.0328T0.9	c18acquity			4					M215T1.2	215.0327861	53.40821622	[93][M]-	[M+Cl]- 180.063	33	40	@M216.0362T0.9|-13C|@M217.0299T0.9|-34S|-41K|-37Cl|@M272.9914T0.9|-(NaCl)
M274.9885T0.9	c18acquity								M275T1.2	274.9885418	53.4373617	[131][M+2]-		33	40	@M217.0299T0.9|+(NaCl)|@M272.9914T0.9|+34S|+41K|+37Cl|@M332.9471T0.9_2|-(NaCl)
M330.95T0.9_2	c18acquity								M331T1.2	330.9499913	53.38992714	[206][M]-	[M-H]- 331.953	33	40	@M332.9471T0.9_2|-34S|-41K|-37Cl|@M334.9442T0.9|-44Ca|@M388.9088T0.9|-(NaCl)
M332.9471T0.9_2	c18acquity			4					M333T1.2	332.9471475	53.4373617	[206][M+2]-		33	40	@M274.9885T0.9|+(NaCl)|@M330.95T0.9_2|+34S|+41K|+37Cl|@M334.9442T0.9|-34S|-41K|-37Cl
M334.9442T0.9	c18acquity								M335T1.1	334.9441791	53.35550964	[206][M+4]-		33	40	@M330.95T0.9_2|+44Ca|@M332.9471T0.9_2|+34S|+41K|+37Cl
M388.9088T0.9	c18acquity								M389T1	388.9088408	53.6691093		[M-H+HCOOH]- 343.919	33	40	@M330.95T0.9_2|+(NaCl)
M227T18_Myristic.acid	c18acquity	Myristic acid	CHEBI:28875	1	a,b,c'	C06424	HMDB0000806		M227T18	227.2016676	1061.0427354	[97][M]-		28	41	@M228.2051T17.7|-13C
M284.2465T17.8	c18acquity								M284T18	284.2465405	1065.8650698	[137][M+1]-		14	42	@M283.2432T17.8|+13C|@M328.2363T17.8|-(CO2)
M327.233T17.8	c18acquity			4					M327T18.1	327.2329945	1065.9718524	[203][M]-	[M-H]- 328.24	14	42	@M229.1962T17.8|+(C5H6O2)|@M283.2432T17.8|+(CO2)|@M328.2363T17.8|-13C|@M329.2395T17.8|-18O|-13C2
M241.1809T15	c18acquity								M241T15	241.1809283	899.167416	[108][M]-	[M-H-CH2]- 256.195	1946	43	@M242.1842T15|-13C
M242.0799T0.9	c18acquity								M242T1.3	242.0799222	53.21767368	[109][M]-	[M-H-CH2]- 257.103	33	44	@M243.0833T0.9|-13C
M253.2174T17.9	c18acquity			4					M253T18	253.2173688	1074.663564	[118][M]-	[M-H]- 254.225	534	45	@M254.2208T17.9|-13C|@M255.2238T17.9|-18O|-13C2|@M321.2048T17.9|-(HCOONa)
M255T19_Palmitic.acid	c18acquity	Palmitic acid	CHEBI:15756	2	a,b	C00249	HMDB0000220		M255T19	255.2329724	1132.207608	[120][M]-		404	46	@M256.2364T18.9|-13C
M319T16_8.S..Hydroxy..5Z.9E.11Z..	c18acquity	8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid	CHEBI:34486	2	a,b	C14776	HMDB0004679		M319T16	319.2278752	951.5873076	[190][M]-	[M-H]- 320.236	41	47	@M257.2275T15.9_2|+(H2O)+(CO2)|@M301.2173T15.9|+(H2O)|@M302.2207T15.9|+(OH.)|@M320.2313T15.9|-13C|@M321.2342T15.9|-18O|-13C2|@M387.2152T15.9|-(HCOONa)
M388.2186T15.9	c18acquity								M388T16	388.2185684	951.5873076	[241][M+1]-		41	47	@M320.2313T15.9|+(HCOONa)|@M387.2152T15.9|+13C
M431.2414T15.9	c18acquity								M431T16	431.2413663	951.6184872			41	47	@M387.2152T15.9|+(C2H4O)
M303.233T18	c18acquity			4					M303T18.1	303.2329503	1079.0520822		[M-H]- 304.239	534	48	@M259.2432T18|+(CO2)|@M304.2364T18|-13C|@M305.2395T18|-18O|-13C2
M273.9602T0.7	c18acquity								M274T1	273.9602038	43.13531208			90	49	@M274.9571T0.7|-15N
M279.233T18.2	c18acquity								M279T18	279.2329773	1090.3618356	[135][M]-		622	50	@M280.2364T18.2|-13C|@M281.2393T18.2|-18O|-13C2
M281T19_Elaidic.acid	c18acquity	Elaidic acid	CHEBI:27997	2	a,b	C01712	HMDB0000573		M281T19	281.2486539	1141.489275	[136][M]-		93	51	@M282.2521T19|-13C
M283.2643T20.2	c18acquity			4					M283T20	283.2642605	1213.5288792	[139][M]-	[M+Cl]- 248.295 [M-H]- 284.272	114	52	@M284.2676T20.2|-13C
M288.9365T0.7	c18acquity								M289T1.1	288.9364833	43.09356876	[140][M]-		90	53	@M289.9383T0.7|-13C|-15N|@M290.9347T0.7|-34S|-41K|-37Cl
M292.0723T0.9	c18acquity								M292T1.1	292.0722835	53.23965282	[141][M]-	[M+Cl]- 257.103	33	54	@M294.0694T0.9|-34S|-41K|-37Cl
M295.2279T15.4	c18acquity								M295T15	295.227863	925.0312758	[144][M]-		1259	55	@M296.2313T15.4|-13C|@M297.234T15.4|-18O|-13C2|@M363.2154T15.4|-(HCOONa)
M297.2435T15.9	c18acquity								M297T16.1	297.2435192	951.6665136	[155][M]-		41	56	@M298.2469T15.9|-13C
M297.2435T15.7	c18acquity								M297T16	297.2435443	941.8508484	[154][M]-		1800	57	@M298.2469T15.7|-13C|@M365.231T15.7|-(HCOONa)
M301.2173T17.3	c18acquity								M301T17	301.2172724	1040.1373842	[157][M]-	[M+Cl]- 266.248 [M-H]- 302.225	168	58	@M302.2207T17.3|-13C
M303.921T0.9	c18acquity								M304T1	303.9209629	53.42454678		[M+Cl]- 268.952	33	59	@M305.918T0.9|-34S|-41K|-37Cl
M305.2487T18.7	c18acquity			4					M305T19	305.248684	1122.1508994	[165][M]-		1110	60	@M306.2522T18.7|-13C
M309.2799T20.3	c18acquity			4					M309T20.4	309.2799425	1217.889909	[172][M]-		216	61	@M310.2833T20.3|-13C
M311.2228T15.2	c18acquity								M311T15	311.2227881	911.6691564	[183][M]-		70	62	@M312.2261T15.2|-13C
M317.2122T15.2	c18acquity								M317T15	317.2122389	910.5855234	[189][M]-		1213	63	@M318.2158T15.2|-13C
M321.2436T16.2	c18acquity								M321T16.1	321.2435541	969.8663886	[193][M]-		1283	64	@M322.2472T16.2|-13C
M329.2486T18.1	c18acquity								M329T18.1	329.2485937	1088.2669818	[204][M]-		630	65	@M330.252T18.1|-13C
M329.2487T18.4	c18acquity			4					M329T18.2	329.2486563	1102.4284752	[205][M]-	[M+Cl]- 294.279 [M-H]- 330.256	57	66	@M330.252T18.4|-13C
M353.1425T17.9	c18acquity			4					M353T18	353.1425141	1074.3342888	[222][M]-		534	67	@M354.1449T17.9|-13C|@M355.1452T17.9|-18O|-41K|-13C2
M359.0483T1.2	c18acquity			4					M359T1	359.0482879	70.80257754			8	68	@M381.0301T1.2|-Na
M379.1582T18.2	c18acquity								M379T18	379.1582328	1090.2839766	[230][M]-		635	69	@M380.1605T18.2|-13C
M400.9091T0.8	c18acquity			4					M401T1	400.9091468	48.31730316	[248][M]-		18	70	@M468.8967T0.8|-(HCOONa)
M604.8716T0.8	c18acquity			4					M605T1	604.871611	48.23959494	[400][M]-		18	70	@M468.8967T0.8|+2(HCOONa)|@M536.8842T0.8|+(HCOONa)|@M672.859T0.8|-(HCOONa)
M740.8464T0.8	c18acquity			4					M741T1	740.8464229	48.24255186	[503][M]-	[M+Cl+NaCOOH]- 637.891	18	70	@M672.859T0.8|+(HCOONa)|@M808.834T0.8|-(HCOONa)|@M876.8217T0.8_1|-2(HCOONa)
M808.834T0.8	c18acquity			4					M809T1	808.8339568	48.29433504	[541][M]-		18	70	@M672.859T0.8|+2(HCOONa)|@M740.8464T0.8|+(HCOONa)|@M876.8217T0.8_1|-(HCOONa)|@M944.8091T0.8_1|-2(HCOONa)
M876.8217T0.8_1	c18acquity			4					M877T1	876.821668	48.25157964	[589][M]-		18	70	@M740.8464T0.8|+2(HCOONa)|@M808.834T0.8|+(HCOONa)|@M944.8091T0.8_1|-(HCOONa)
M944.8091T0.8_1	c18acquity			4					M945T1	944.8090959	48.24493824		[M+Cl+CF3COOH]- 775.846	18	70	@M808.834T0.8|+2(HCOONa)|@M876.8217T0.8_1|+(HCOONa)
M407.1724T7.5	c18acquity			4					M407T8	407.1723563	452.05319046		[2M-H]- 204.091	32	71	@M429.1544T7.5|-Na
M419.1531T15.9	c18acquity								M419T16	419.1531237	951.5145426	[258][M]-		41	72	@M421.1531T15.9|-18O|-34S|-41K|-37Cl
M450.2626T14.2	c18acquity			4					M450T14	450.2626326	849.2967636	[264][M]-		2264	73	@M451.266T14.2|-13C
M452.2783T15.1	c18acquity			4					M452T15	452.2783041	906.4561032	[266][M]-		1186	74	@M453.2815T15.1|-13C
M476.2783T14.6	c18acquity			4					M476T15	476.2782734	876.640437	[277][M]-	[M-H]- 477.286	52	75	@M477.2817T14.6|-13C|@M478.2846T14.6|-18O|-13C2|@M544.2656T14.6|-(HCOONa)
M476.2783T14.4	c18acquity			4					M476T14	476.2783069	864.1313286	[278][M]-		1904	76	@M477.2819T14.4|-13C
M538.315T14.2	c18acquity			4					M538T14	538.3150258	854.5103814	[333][M]-		1167	77	@M478.2939T14.2|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M479.2973T14.2|+(CH3COO.)|@M539.3184T14.2|-13C|@M540.3212T14.2|-18O|-13C2|@M541.3243T14.2|-13C3|-13C-18O|@M582.3414T14.2|-(C2H4O)|@M606.3025T14.2|-(HCOONa)
M610.2453T14.2	c18acquity			4					M610T14	610.245276	854.5237368	[405][M]-		1173	77	@M611.2477T14.2|-13C|@M678.2335T14.2|-(HCOONa)
M611.2477T14.2	c18acquity			4					M611T14	611.2477256	854.5289226	[405][M+1]-		1174	77	@M610.2453T14.2|+13C|@M683.2373T14.2|-(CO2)-(CO)
M678.2335T14.2	c18acquity			4					M678T14	678.2335219	854.6694564			1175	77	@M610.2453T14.2|+(HCOONa)
M683.2373T14.2	c18acquity			4					M683T14	683.2373146	854.518551			1176	77	@M611.2477T14.2|+(CO2)+(CO)|@M686.2461T14.2|-13C3|-13C-18O
M686.2461T14.2	c18acquity			4					M686T14	686.2460711	854.531178			1177	77	@M606.3025T14.2|+2(NaCl)|@M683.2373T14.2|+13C3|+13C+18O
M478.2939T15.5	c18acquity			4					M478T15	478.2939427	929.1429624	[280][M]-		1266	78	@M479.2973T15.5|-13C
M538.3151T14	c18acquity			4					M538T14.1	538.3150505	841.7615406	[335][M]-		1138	79	@M478.2941T14|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M539.3182T14|-13C
M481.3129T15	c18acquity								M481T15.2	481.312918	897.4676028	[285][M+1]-		26	80	@M480.3096T15|+13C|@M541.3341T15|-(CH3COOH)|-(C2H4O2)|-CH3COOH
M540.3307T15	c18acquity								M540T15.2	540.3307363	897.5132472	[337][M]-	[M-H+HCOOH]- 495.333	26	80	@M480.3096T15|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M541.3341T15|-13C|@M542.3367T15|-18O|-13C2
M481.313T15.2_2	c18acquity								M481T15.1	481.3129695	913.6291194	[284][M+1]-		9	81	@M480.3096T15.2|+13C|@M541.3341T15.2_16|-(CH3COOH)|-(C2H4O2)|-CH3COOH
M540.3309T15.2_2	c18acquity								M540T15.1	540.3308507	913.6328628	[336][M]-	[M-H+HCOOH]- 495.333	9	81	@M480.3096T15.2|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M541.3341T15.2_16|-13C|@M542.3366T15.2_10|-18O|-13C2
M500.2782T14.5	c18acquity			4					M500T14	500.2782414	867.8653662	[297][M]-		905	82	@M501.2817T14.5|-13C
M500.2783T14.6	c18acquity			4					M500T15	500.2782549	878.1842262	[296][M]-	[M+Cl]- 465.309 [M-H]- 501.286	51	83	@M501.2816T14.6|-13C|@M502.2843T14.6|-18O|-13C2
M502.294T15.1	c18acquity			4					M502T15.1	502.2939596	906.437151	[298][M]-		1189	84	@M503.2972T15.1|-13C
M505.3129T14.5	c18acquity			4					M505T14	505.3128579	869.417025	[299][M+1]-		36	85	@M504.3095T14.5|+13C|@M565.3341T14.5|-(CH3COOH)|-(C2H4O2)|-CH3COOH
M564.3307T14.5	c18acquity			4					M564T14	564.3306729	869.4835998	[357][M]-	[M-H+HCOOH]- 519.333	36	85	@M504.3095T14.5|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M565.3341T14.5|-13C|@M566.3368T14.5|-18O|-13C2|@M632.3182T14.5|-(HCOONa)
M505.313T14.7_2	c18acquity			4					M505T15.1	505.3129716	881.883999	[300][M+1]-		11	86	@M504.3096T14.7|+13C|@M565.3341T14.7_8|-(CH3COOH)|-(C2H4O2)|-CH3COOH
M564.3308T14.7_1	c18acquity			4					M564T15	564.3308045	881.920233	[358][M]-	[M-H+HCOOH]- 519.333	11	86	@M504.3096T14.7|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M565.3341T14.7_8|-13C|@M566.3368T14.7_6|-18O|-13C2
M566.3463T15.6_1	c18acquity			4					M566T16	566.3463221	936.3505626	[364][M]-	[M-H+HCOOH]- 521.348	17	87	@M506.3252T15.6|+(CH3COOH)|+(C2H4O2)|+CH3COOH|@M507.3286T15.6_2|+(CH3COO.)|@M567.3497T15.6_12|-13C|@M568.3523T15.6_7|-18O|-13C2|@M569.3551T15.6_3|-13C3|-13C-18O
M509.3442T16.5	c18acquity			4					M509T17.2	509.3442095	990.5404572	[306][M+1]-		97	88	@M508.3408T16.5|+13C|@M569.3654T16.5|-(CH3COOH)|-(C2H4O2)|-CH3COOH
