variableMetadata	accession	description	uniprot_id
Q91YI0_Argininosuccinate lyase	sp|Q91YI0|ARLY_MOUSE	Argininosuccinate lyase  OS=Mus musculus (Mouse) GN=Asl PE=1 SV=1	Q91YI0
P06801_NADP-dependent malic enz.	sp|P06801|MAOX_MOUSE	NADP-dependent malic enzyme  OS=Mus musculus (Mouse) GN=Me1 PE=1 SV=2	P06801
Q8BMS1_Trifunctional enzyme sub.	sp|Q8BMS1|ECHA_MOUSE	Trifunctional enzyme subunit alpha, mitochondrial  OS=Mus musculus (Mouse) GN=Hadha PE=1 SV=1	Q8BMS1
Q03265_ATP synthase subunit alp.	sp|Q03265|ATPA_MOUSE	ATP synthase subunit alpha, mitochondrial  OS=Mus musculus (Mouse) GN=Atp5f1a PE=1 SV=1	Q03265
Q99LB7_Sarcosine dehydrogenase,.	sp|Q99LB7|SARDH_MOUSE	Sarcosine dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Sardh PE=1 SV=1	Q99LB7
P41216_Long-chain-fatty-acid--C.	sp|P41216|ACSL1_MOUSE	Long-chain-fatty-acid--CoA ligase 1  OS=Mus musculus (Mouse) GN=Acsl1 PE=1 SV=2	P41216
Q91XD4_Formimidoyltransferase-c.	sp|Q91XD4|FTCD_MOUSE	Formimidoyltransferase-cyclodeaminase  OS=Mus musculus (Mouse) GN=Ftcd PE=1 SV=1	Q91XD4
P05784_Keratin, type I cytoskel.	sp|P05784|K1C18_MOUSE	Keratin, type I cytoskeletal 18  OS=Mus musculus (Mouse) GN=Krt18 PE=1 SV=5	P05784
P11499_Heat shock protein HSP 9.	sp|P11499|HS90B_MOUSE	Heat shock protein HSP 90-beta  OS=Mus musculus (Mouse) GN=Hsp90ab1 PE=1 SV=3	P11499
Q9QXX4_Calcium-binding mitochon.	sp|Q9QXX4|CMC2_MOUSE	Calcium-binding mitochondrial carrier protein Aralar2  OS=Mus musculus (Mouse) GN=Slc25a13 PE=1 SV=1	Q9QXX4
P24270_Catalase	sp|P24270|CATA_MOUSE	Catalase  OS=Mus musculus (Mouse) GN=Cat PE=1 SV=4	P24270
P26443_Glutamate dehydrogenase .	sp|P26443|DHE3_MOUSE	Glutamate dehydrogenase 1, mitochondrial  OS=Mus musculus (Mouse) GN=Glud1 PE=1 SV=1	P26443
P63017_Heat shock cognate 71 kD.	sp|P63017|HSP7C_MOUSE	Heat shock cognate 71 kDa protein  OS=Mus musculus (Mouse) GN=Hspa8 PE=1 SV=1	P63017
Q921I1_Serotransferrin	sp|Q921I1|TRFE_MOUSE	Serotransferrin  OS=Mus musculus (Mouse) GN=Tf PE=1 SV=1	Q921I1
P16858_Glyceraldehyde-3-phospha.	sp|P16858|G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase  OS=Mus musculus (Mouse) GN=Gapdh PE=1 SV=2	P16858
P08113_Endoplasmin	sp|P08113|ENPL_MOUSE	Endoplasmin  OS=Mus musculus (Mouse) GN=Hsp90b1 PE=1 SV=2	P08113
P16460_Argininosuccinate syntha.	sp|P16460|ASSY_MOUSE	Argininosuccinate synthase  OS=Mus musculus (Mouse) GN=Ass1 PE=1 SV=1	P16460
P50544_Very long-chain specific.	sp|P50544|ACADV_MOUSE	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Acadvl PE=1 SV=3	P50544
P38647_Stress-70 protein, mitoc.	sp|P38647|GRP75_MOUSE	Stress-70 protein, mitochondrial  OS=Mus musculus (Mouse) GN=Hspa9 PE=1 SV=3	P38647
Q91WU0_Carboxylesterase 1F	sp|Q91WU0|CES1F_MOUSE	Carboxylesterase 1F  OS=Mus musculus (Mouse) GN=Ces1f PE=1 SV=1	Q91WU0
P20029_Endoplasmic reticulum ch.	sp|P20029|BIP_MOUSE	Endoplasmic reticulum chaperone BiP  OS=Mus musculus (Mouse) GN=Hspa5 PE=1 SV=3	P20029
Q9EQ20_Methylmalonate-semialdeh.	sp|Q9EQ20|MMSA_MOUSE	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial  OS=Mus musculus (Mouse) GN=Aldh6a1 PE=1 SV=1	Q9EQ20
P11725_Ornithine carbamoyltrans.	sp|P11725|OTC_MOUSE	Ornithine carbamoyltransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Otc PE=1 SV=1	P11725
Q99K67_Alpha-aminoadipic semial.	sp|Q99K67|AASS_MOUSE	Alpha-aminoadipic semialdehyde synthase, mitochondrial  OS=Mus musculus (Mouse) GN=Aass PE=1 SV=1	Q99K67
Q3UQ44_Ras GTPase-activating-li.	sp|Q3UQ44|IQGA2_MOUSE	Ras GTPase-activating-like protein IQGAP2  OS=Mus musculus (Mouse) GN=Iqgap2 PE=1 SV=2	Q3UQ44
P47738_Aldehyde dehydrogenase, .	sp|P47738|ALDH2_MOUSE	Aldehyde dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Aldh2 PE=1 SV=1	P47738
O35490_Betaine--homocysteine S-.	sp|O35490|BHMT1_MOUSE	Betaine--homocysteine S-methyltransferase 1  OS=Mus musculus (Mouse) GN=Bhmt PE=1 SV=1	O35490
P24549_Retinal dehydrogenase 1	sp|P24549|AL1A1_MOUSE	Retinal dehydrogenase 1  OS=Mus musculus (Mouse) GN=Aldh1a1 PE=1 SV=5	P24549
Q9CPY7_Cytosol aminopeptidase	sp|Q9CPY7|AMPL_MOUSE	Cytosol aminopeptidase  OS=Mus musculus (Mouse) GN=Lap3 PE=1 SV=3	Q9CPY7
Q8VC12_Urocanate hydratase	sp|Q8VC12|HUTU_MOUSE	Urocanate hydratase  OS=Mus musculus (Mouse) GN=Uroc1 PE=1 SV=2	Q8VC12
P07901_Heat shock protein HSP 9.	sp|P07901|HS90A_MOUSE	Heat shock protein HSP 90-alpha  OS=Mus musculus (Mouse) GN=Hsp90aa1 PE=1 SV=4	P07901
O08601_Microsomal triglyceride .	sp|O08601|MTP_MOUSE	Microsomal triglyceride transfer protein large subunit  OS=Mus musculus (Mouse) GN=Mttp PE=1 SV=2	O08601
Q78PY7_Staphylococcal nuclease .	sp|Q78PY7|SND1_MOUSE	Staphylococcal nuclease domain-containing protein 1  OS=Mus musculus (Mouse) GN=Snd1 PE=1 SV=1	Q78PY7
Q01853_Transitional endoplasmic.	sp|Q01853|TERA_MOUSE	Transitional endoplasmic reticulum ATPase  OS=Mus musculus (Mouse) GN=Vcp PE=1 SV=4	Q01853
P54869_Hydroxymethylglutaryl-Co.	sp|P54869|HMCS2_MOUSE	Hydroxymethylglutaryl-CoA synthase, mitochondrial  OS=Mus musculus (Mouse) GN=Hmgcs2 PE=1 SV=2	P54869
Q99KI0_Aconitate hydratase, mit.	sp|Q99KI0|ACON_MOUSE	Aconitate hydratase, mitochondrial  OS=Mus musculus (Mouse) GN=Aco2 PE=1 SV=1	Q99KI0
P01027_Complement C3	sp|P01027|CO3_MOUSE	Complement C3  OS=Mus musculus (Mouse) GN=C3 PE=1 SV=3	P01027
Q9QXD6_Fructose-1,6-bisphosphat.	sp|Q9QXD6|F16P1_MOUSE	Fructose-1,6-bisphosphatase 1  OS=Mus musculus (Mouse) GN=Fbp1 PE=1 SV=3	Q9QXD6
Q922D8_C-1-tetrahydrofolate syn.	sp|Q922D8|C1TC_MOUSE	C-1-tetrahydrofolate synthase, cytoplasmic  OS=Mus musculus (Mouse) GN=Mthfd1 PE=1 SV=4	Q922D8
O88844_Isocitrate dehydrogenase.	sp|O88844|IDHC_MOUSE	Isocitrate dehydrogenase [NADP] cytoplasmic  OS=Mus musculus (Mouse) GN=Idh1 PE=1 SV=2	O88844
Q91VA0_Acyl-coenzyme A syntheta.	sp|Q91VA0|ACSM1_MOUSE	Acyl-coenzyme A synthetase ACSM1, mitochondrial  OS=Mus musculus (Mouse) GN=Acsm1 PE=1 SV=1	Q91VA0
P17182_Alpha-enolase	sp|P17182|ENOA_MOUSE	Alpha-enolase  OS=Mus musculus (Mouse) GN=Eno1 PE=1 SV=3	P17182
P35492_Histidine ammonia-lyase	sp|P35492|HUTH_MOUSE	Histidine ammonia-lyase  OS=Mus musculus (Mouse) GN=Hal PE=1 SV=1	P35492
Q8VCW8_Acyl-CoA synthetase fami.	sp|Q8VCW8|ACSF2_MOUSE	Acyl-CoA synthetase family member 2, mitochondrial  OS=Mus musculus (Mouse) GN=Acsf2 PE=1 SV=1	Q8VCW8
P35505_Fumarylacetoacetase	sp|P35505|FAAA_MOUSE	Fumarylacetoacetase  OS=Mus musculus (Mouse) GN=Fah PE=1 SV=2	P35505
P09103_Protein disulfide-isomer.	sp|P09103|PDIA1_MOUSE	Protein disulfide-isomerase  OS=Mus musculus (Mouse) GN=P4hb PE=1 SV=2	P09103
P63260_Actin, cytoplasmic 2	sp|P63260|ACTG_MOUSE	Actin, cytoplasmic 2  OS=Mus musculus (Mouse) GN=Actg1 PE=1 SV=1	P63260
P28271_Cytoplasmic aconitate hy.	sp|P28271|ACOC_MOUSE	Cytoplasmic aconitate hydratase  OS=Mus musculus (Mouse) GN=Aco1 PE=1 SV=3	P28271
Q64442_Sorbitol dehydrogenase	sp|Q64442|DHSO_MOUSE	Sorbitol dehydrogenase  OS=Mus musculus (Mouse) GN=Sord PE=1 SV=3	Q64442
P51660_Peroxisomal multifunctio.	sp|P51660|DHB4_MOUSE	Peroxisomal multifunctional enzyme type 2  OS=Mus musculus (Mouse) GN=Hsd17b4 PE=1 SV=3	P51660
P70694_Estradiol 17 beta-dehydr.	sp|P70694|DHB5_MOUSE	Estradiol 17 beta-dehydrogenase 5  OS=Mus musculus (Mouse) GN=Akr1c6 PE=1 SV=1	P70694
P60710_Actin, cytoplasmic 1	sp|P60710|ACTB_MOUSE	Actin, cytoplasmic 1  OS=Mus musculus (Mouse) GN=Actb PE=1 SV=1	P60710
O35488_Very long-chain acyl-CoA.	sp|O35488|S27A2_MOUSE	Very long-chain acyl-CoA synthetase  OS=Mus musculus (Mouse) GN=Slc27a2 PE=1 SV=2	O35488
P99024_Tubulin beta-5 chain	sp|P99024|TBB5_MOUSE	Tubulin beta-5 chain  OS=Mus musculus (Mouse) GN=Tubb5 PE=1 SV=1	P99024
P49429_4-hydroxyphenylpyruvate .	sp|P49429|HPPD_MOUSE	4-hydroxyphenylpyruvate dioxygenase  OS=Mus musculus (Mouse) GN=Hpd PE=1 SV=3	P49429
Q9QXE0_2-hydroxyacyl-CoA lyase 1	sp|Q9QXE0|HACL1_MOUSE	2-hydroxyacyl-CoA lyase 1  OS=Mus musculus (Mouse) GN=Hacl1 PE=1 SV=2	Q9QXE0
Q8VCH0_3-ketoacyl-CoA thiolase .	sp|Q8VCH0|THIKB_MOUSE	3-ketoacyl-CoA thiolase B, peroxisomal  OS=Mus musculus (Mouse) GN=Acaa1b PE=1 SV=1	Q8VCH0
Q8VCT4_Carboxylesterase 1D	sp|Q8VCT4|CES1D_MOUSE	Carboxylesterase 1D  OS=Mus musculus (Mouse) GN=Ces1d PE=1 SV=1	Q8VCT4
P68372_Tubulin beta-4B chain	sp|P68372|TBB4B_MOUSE	Tubulin beta-4B chain  OS=Mus musculus (Mouse) GN=Tubb4b PE=1 SV=1	P68372
Q921H8_3-ketoacyl-CoA thiolase .	sp|Q921H8|THIKA_MOUSE	3-ketoacyl-CoA thiolase A, peroxisomal  OS=Mus musculus (Mouse) GN=Acaa1a PE=1 SV=1	Q921H8
Q64458_Cytochrome P450 2C29	sp|Q64458|CP2CT_MOUSE	Cytochrome P450 2C29  OS=Mus musculus (Mouse) GN=Cyp2c29 PE=1 SV=2	Q64458
Q91X83_S-adenosylmethionine syn.	sp|Q91X83|METK1_MOUSE	S-adenosylmethionine synthase isoform type-1  OS=Mus musculus (Mouse) GN=Mat1a PE=1 SV=1	Q91X83
P55096_ATP-binding cassette sub.	sp|P55096|ABCD3_MOUSE	ATP-binding cassette sub-family D member 3  OS=Mus musculus (Mouse) GN=Abcd3 PE=1 SV=2	P55096
Q91ZJ5_UTP--glucose-1-phosphate.	sp|Q91ZJ5|UGPA_MOUSE	UTP--glucose-1-phosphate uridylyltransferase  OS=Mus musculus (Mouse) GN=Ugp2 PE=1 SV=3	Q91ZJ5
P61922_4-aminobutyrate aminotra.	sp|P61922|GABT_MOUSE	4-aminobutyrate aminotransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Abat PE=1 SV=1	P61922
O35945_Aldehyde dehydrogenase, .	sp|O35945|AL1A7_MOUSE	Aldehyde dehydrogenase, cytosolic 1  OS=Mus musculus (Mouse) GN=Aldh1a7 PE=1 SV=1	O35945
P53657_Pyruvate kinase PKLR	sp|P53657|KPYR_MOUSE	Pyruvate kinase PKLR  OS=Mus musculus (Mouse) GN=Pklr PE=1 SV=1	P53657
P16331_Phenylalanine-4-hydroxyl.	sp|P16331|PH4H_MOUSE	Phenylalanine-4-hydroxylase  OS=Mus musculus (Mouse) GN=Pah PE=1 SV=4	P16331
Q8K2B3_Succinate dehydrogenase .	sp|Q8K2B3|SDHA_MOUSE	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial  OS=Mus musculus (Mouse) GN=Sdha PE=1 SV=1	Q8K2B3
Q91ZA3_Propionyl-CoA carboxylas.	sp|Q91ZA3|PCCA_MOUSE	Propionyl-CoA carboxylase alpha chain, mitochondrial  OS=Mus musculus (Mouse) GN=Pcca PE=1 SV=2	Q91ZA3
Q9D0F9_Phosphoglucomutase-1	sp|Q9D0F9|PGM1_MOUSE	Phosphoglucomutase-1  OS=Mus musculus (Mouse) GN=Pgm1 PE=1 SV=4	Q9D0F9
P10126_Elongation factor 1-alph.	sp|P10126|EF1A1_MOUSE	Elongation factor 1-alpha 1  OS=Mus musculus (Mouse) GN=Eef1a1 PE=1 SV=3	P10126
Q64374_Regucalcin	sp|Q64374|RGN_MOUSE	Regucalcin  OS=Mus musculus (Mouse) GN=Rgn PE=1 SV=1	Q64374
P05202_Aspartate aminotransfera.	sp|P05202|AATM_MOUSE	Aspartate aminotransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Got2 PE=1 SV=1	P05202
P40142_Transketolase	sp|P40142|TKT_MOUSE	Transketolase  OS=Mus musculus (Mouse) GN=Tkt PE=1 SV=1	P40142
P09411_Phosphoglycerate kinase 1	sp|P09411|PGK1_MOUSE	Phosphoglycerate kinase 1  OS=Mus musculus (Mouse) GN=Pgk1 PE=1 SV=4	P09411
P08003_Protein disulfide-isomer.	sp|P08003|PDIA4_MOUSE	Protein disulfide-isomerase A4  OS=Mus musculus (Mouse) GN=Pdia4 PE=1 SV=3	P08003
O09173_Homogentisate 1,2-dioxyg.	sp|O09173|HGD_MOUSE	Homogentisate 1,2-dioxygenase  OS=Mus musculus (Mouse) GN=Hgd PE=1 SV=2	O09173
P97807_Fumarate hydratase, mito.	sp|P97807|FUMH_MOUSE	Fumarate hydratase, mitochondrial  OS=Mus musculus (Mouse) GN=Fh PE=1 SV=3	P97807
Q8BH00_Aldehyde dehydrogenase f.	sp|Q8BH00|AL8A1_MOUSE	Aldehyde dehydrogenase family 8 member A1  OS=Mus musculus (Mouse) GN=Aldh8a1 PE=1 SV=1	Q8BH00
Q91X77_Cytochrome P450 2C50	sp|Q91X77|CY250_MOUSE	Cytochrome P450 2C50  OS=Mus musculus (Mouse) GN=Cyp2c50 PE=1 SV=2	Q91X77
P00186_Cytochrome P450 1A2	sp|P00186|CP1A2_MOUSE	Cytochrome P450 1A2  OS=Mus musculus (Mouse) GN=Cyp1a2 PE=1 SV=1	P00186
Q61176_Arginase-1	sp|Q61176|ARGI1_MOUSE	Arginase-1  OS=Mus musculus (Mouse) GN=Arg1 PE=1 SV=1	Q61176
P10649_Glutathione S-transferas.	sp|P10649|GSTM1_MOUSE	Glutathione S-transferase Mu 1  OS=Mus musculus (Mouse) GN=Gstm1 PE=1 SV=2	P10649
P33267_Cytochrome P450 2F2	sp|P33267|CP2F2_MOUSE	Cytochrome P450 2F2  OS=Mus musculus (Mouse) GN=Cyp2f2 PE=1 SV=1	P33267
P14824_Annexin A6	sp|P14824|ANXA6_MOUSE	Annexin A6  OS=Mus musculus (Mouse) GN=Anxa6 PE=1 SV=3	P14824
Q02053_Ubiquitin-like modifier-.	sp|Q02053|UBA1_MOUSE	Ubiquitin-like modifier-activating enzyme 1  OS=Mus musculus (Mouse) GN=Uba1 PE=1 SV=1	Q02053
Q91Y97_Fructose-bisphosphate al.	sp|Q91Y97|ALDOB_MOUSE	Fructose-bisphosphate aldolase B  OS=Mus musculus (Mouse) GN=Aldob PE=1 SV=3	Q91Y97
Q8VDJ3_Vigilin	sp|Q8VDJ3|VIGLN_MOUSE	Vigilin  OS=Mus musculus (Mouse) GN=Hdlbp PE=1 SV=1	Q8VDJ3
P56593_Cytochrome P450 2A12	sp|P56593|CP2AC_MOUSE	Cytochrome P450 2A12  OS=Mus musculus (Mouse) GN=Cyp2a12 PE=1 SV=2	P56593
P37040_NADPH--cytochrome P450 r.	sp|P37040|NCPR_MOUSE	NADPH--cytochrome P450 reductase  OS=Mus musculus (Mouse) GN=Por PE=1 SV=2	P37040
P06151_L-lactate dehydrogenase .	sp|P06151|LDHA_MOUSE	L-lactate dehydrogenase A chain  OS=Mus musculus (Mouse) GN=Ldha PE=1 SV=3	P06151
Q9JLJ2_4-trimethylaminobutyrald.	sp|Q9JLJ2|AL9A1_MOUSE	4-trimethylaminobutyraldehyde dehydrogenase  OS=Mus musculus (Mouse) GN=Aldh9a1 PE=1 SV=1	Q9JLJ2
Q99J08_SEC14-like protein 2	sp|Q99J08|S14L2_MOUSE	SEC14-like protein 2  OS=Mus musculus (Mouse) GN=Sec14l2 PE=1 SV=1	Q99J08
Q4LDG0_Bile acyl-CoA synthetase	sp|Q4LDG0|S27A5_MOUSE	Bile acyl-CoA synthetase  OS=Mus musculus (Mouse) GN=Slc27a5 PE=1 SV=2	Q4LDG0
Q8VCN5_Cystathionine gamma-lyase	sp|Q8VCN5|CGL_MOUSE	Cystathionine gamma-lyase  OS=Mus musculus (Mouse) GN=Cth PE=1 SV=1	Q8VCN5
P52825_Carnitine O-palmitoyltra.	sp|P52825|CPT2_MOUSE	Carnitine O-palmitoyltransferase 2, mitochondrial  OS=Mus musculus (Mouse) GN=Cpt2 PE=1 SV=2	P52825
Q7TMM9_Tubulin beta-2A chain	sp|Q7TMM9|TBB2A_MOUSE	Tubulin beta-2A chain  OS=Mus musculus (Mouse) GN=Tubb2a PE=1 SV=1	Q7TMM9
Q91VI7_Ribonuclease inhibitor	sp|Q91VI7|RINI_MOUSE	Ribonuclease inhibitor  OS=Mus musculus (Mouse) GN=Rnh1 PE=1 SV=1	Q91VI7
P68369_Tubulin alpha-1A chain	sp|P68369|TBA1A_MOUSE	Tubulin alpha-1A chain  OS=Mus musculus (Mouse) GN=Tuba1a PE=1 SV=1	P68369
P27773_Protein disulfide-isomer.	sp|P27773|PDIA3_MOUSE	Protein disulfide-isomerase A3  OS=Mus musculus (Mouse) GN=Pdia3 PE=1 SV=2	P27773
P55264_Adenosine kinase	sp|P55264|ADK_MOUSE	Adenosine kinase  OS=Mus musculus (Mouse) GN=Adk PE=1 SV=2	P55264
Q99PL5_Ribosome-binding protein.	sp|Q99PL5|RRBP1_MOUSE	Ribosome-binding protein 1  OS=Mus musculus (Mouse) GN=Rrbp1 PE=1 SV=2	Q99PL5
P50431_Serine hydroxymethyltran.	sp|P50431|GLYC_MOUSE	Serine hydroxymethyltransferase, cytosolic  OS=Mus musculus (Mouse) GN=Shmt1 PE=1 SV=3	P50431
Q8CHT0_Delta-1-pyrroline-5-carb.	sp|Q8CHT0|AL4A1_MOUSE	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial  OS=Mus musculus (Mouse) GN=Aldh4a1 PE=1 SV=3	Q8CHT0
Q9DBF1_Alpha-aminoadipic semial.	sp|Q9DBF1|AL7A1_MOUSE	Alpha-aminoadipic semialdehyde dehydrogenase  OS=Mus musculus (Mouse) GN=Aldh7a1 PE=1 SV=4	Q9DBF1
P13707_Glycerol-3-phosphate deh.	sp|P13707|GPDA_MOUSE	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic  OS=Mus musculus (Mouse) GN=Gpd1 PE=1 SV=3	P13707
Q91VS7_Microsomal glutathione S.	sp|Q91VS7|MGST1_MOUSE	Microsomal glutathione S-transferase 1  OS=Mus musculus (Mouse) GN=Mgst1 PE=1 SV=3	Q91VS7
P19157_Glutathione S-transferas.	sp|P19157|GSTP1_MOUSE	Glutathione S-transferase P 1  OS=Mus musculus (Mouse) GN=Gstp1 PE=1 SV=2	P19157
Q9CZN7_Serine hydroxymethyltran.	sp|Q9CZN7|GLYM_MOUSE	Serine hydroxymethyltransferase, mitochondrial  OS=Mus musculus (Mouse) GN=Shmt2 PE=1 SV=1	Q9CZN7
P68368_Tubulin alpha-4A chain	sp|P68368|TBA4A_MOUSE	Tubulin alpha-4A chain  OS=Mus musculus (Mouse) GN=Tuba4a PE=1 SV=1	P68368
Q63886_UDP-glucuronosyltransfer.	sp|Q63886|UD11_MOUSE	UDP-glucuronosyltransferase 1-1  OS=Mus musculus (Mouse) GN=Ugt1a1 PE=1 SV=2	Q63886
Q9D6F9_Tubulin beta-4A chain	sp|Q9D6F9|TBB4A_MOUSE	Tubulin beta-4A chain  OS=Mus musculus (Mouse) GN=Tubb4a PE=1 SV=3	Q9D6F9
Q63880_Carboxylesterase 3A	sp|Q63880|EST3A_MOUSE	Carboxylesterase 3A  OS=Mus musculus (Mouse) GN=Ces3a PE=1 SV=2	Q63880
Q61233_Plastin-2	sp|Q61233|PLSL_MOUSE	Plastin-2  OS=Mus musculus (Mouse) GN=Lcp1 PE=1 SV=4	Q61233
Q9CQN1_Heat shock protein 75 kD.	sp|Q9CQN1|TRAP1_MOUSE	Heat shock protein 75 kDa, mitochondrial  OS=Mus musculus (Mouse) GN=Trap1 PE=1 SV=1	Q9CQN1
P58710_L-gulonolactone oxidase	sp|P58710|GGLO_MOUSE	L-gulonolactone oxidase  OS=Mus musculus (Mouse) GN=Gulo PE=1 SV=3	P58710
Q9DBE0_Cysteine sulfinic acid d.	sp|Q9DBE0|CSAD_MOUSE	Cysteine sulfinic acid decarboxylase  OS=Mus musculus (Mouse) GN=Csad PE=1 SV=1	Q9DBE0
Q9DCN2_NADH-cytochrome b5 reduc.	sp|Q9DCN2|NB5R3_MOUSE	NADH-cytochrome b5 reductase 3  OS=Mus musculus (Mouse) GN=Cyb5r3 PE=1 SV=3	Q9DCN2
P68373_Tubulin alpha-1C chain	sp|P68373|TBA1C_MOUSE	Tubulin alpha-1C chain  OS=Mus musculus (Mouse) GN=Tuba1c PE=1 SV=1	P68373
P56654_Cytochrome P450 2C37	sp|P56654|CP237_MOUSE	Cytochrome P450 2C37  OS=Mus musculus (Mouse) GN=Cyp2c37 PE=1 SV=2	P56654
Q61598_Rab GDP dissociation inh.	sp|Q61598|GDIB_MOUSE	Rab GDP dissociation inhibitor beta  OS=Mus musculus (Mouse) GN=Gdi2 PE=1 SV=1	Q61598
P14211_Calreticulin	sp|P14211|CALR_MOUSE	Calreticulin  OS=Mus musculus (Mouse) GN=Calr PE=1 SV=1	P14211
O70475_UDP-glucose 6-dehydrogen.	sp|O70475|UGDH_MOUSE	UDP-glucose 6-dehydrogenase  OS=Mus musculus (Mouse) GN=Ugdh PE=1 SV=1	O70475
