variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M112.0068T0.66	c18hypersil					0.186823463107455	0.626724944815185	0	-0.219772222843327	0.305610381032083	0	-0.123267695650553	0.859801092186842	0	-0.277713212635428	0.304211209317599	0	1.43983930613179	0.739190862159155											M112T1.1	112.006814909238	39.4346919968211	[33][M+2]+		388	5	@M110.0093T0.66|+34S|+41K|+37Cl|@M111.0101T0.66|+15N|@M153.0334T0.66|-(CH3CN)|-(C2H3N)
M128.0199T0.66	c18hypersil					0.140623992843643	0.746378185807704	0	-0.20811586933922	0.366388199833377	0	-0.156979961004726	0.819096513080164	0	-0.312130153362659	0.270819178756343	0	1.14548798258772	0.788852953354879											M128T1.27	128.01985158062	39.4480858941267	[58][M]+	[M+Na+NH3]+ 88.0022	14	5	@M95.0444T0.65|+(HS.)|@M110.0093T0.66|+(H2O)|@M129.0206T0.66|-13C|-15N|@M156.0148T0.66|-(CO)
M129.0206T0.66	c18hypersil					0.140761151681268	0.706147610736085	0	-0.17857867450433	0.391087244724677	0	-0.0608933087309182	0.946974932990836	0	-0.291486783328077	0.247916237655518	0	1.22643074882274	0.462467109539059											M129T1.29	129.020634893756	39.4347623097043	[58][M+1]+		14	5	@M111.0101T0.66|+(H2O)|@M128.0199T0.66|+13C|+15N
M151.0359T0.66	c18hypersil					0.0996439267029707	0.807674318326131	0	-0.186646742455171	0.372491193860419	0	-0.183644424272657	0.770567943850058	0	-0.293228288770912	0.236208359295632	0	0.903248078908793	1.17301062829838											M151T1.3	151.035896825239	39.4468715859703	[97][M]+	[M+Na]+ 128.051	14	5	@M110.0093T0.66|+(CH3CN)|+(C2H3N)|@M152.0367T0.66|-13C|-15N|@M153.0334T0.66|-34S|-41K|-37Cl|@M154.0369T0.66|-13C-37Cl|-13C-34S
M152.0367T0.66	c18hypersil					0.121095404099645	0.773573110116509	0	-0.170830096309601	0.452454264830114	0	-0.217795557416594	0.734992238877262	0	-0.282664734332741	0.299806152067965	0	1.00087154113411	1.25496931656428											M152T1.1	152.036701016122	39.4626656817499	[97][M+1]+		14	5	@M111.0101T0.66|+(CH3CN)|+(C2H3N)|@M151.0359T0.66|+13C|+15N|@M153.0334T0.66|-15N|@M154.0369T0.66|-18O|-34S|-41K|-37Cl
M153.0334T0.66	c18hypersil					0.11992535879703	0.776586690828929	0	-0.20177652048622	0.348286662346438	0	-0.196570696290721	0.771874499882674	0	-0.29836151639228	0.274489234831259	0	0.992956014434757	1.12315922914847											M153T1	153.033395529539	39.4468715859703	[97][M+2]+		14	5	@M111.0101T0.66|+(CH2N2)|@M112.0068T0.66|+(CH3CN)|+(C2H3N)|@M151.0359T0.66|+34S|+41K|+37Cl|@M152.0367T0.66|+15N|@M154.0369T0.66|-13C
M154.0369T0.66	c18hypersil					0.205292897751676	0.794103188185393	0	-0.114935171220642	0.847321913567698	0	-0.375875909743451	0.753380120347811	0	-0.0587071406439339	0.946500736352644	0	0.703816864759173	1.1671463789561											M154T1.2	154.036858991177	39.3796982738824	[97][M+3]+		393	5	@M151.0359T0.66|+13C+37Cl|+13C+34S|@M152.0367T0.66|+18O|+34S|+41K|+37Cl|@M153.0334T0.66|+13C
M156.0148T0.66	c18hypersil					0.160893925549455	0.756483464866576	0	-0.256307070922736	0.331942567378589	0	-0.067644038587277	0.952645509781275	0	-0.315523921952842	0.317317019656069	0	1.14506581746922	0.376005903638063											M156T1	156.014761695644	39.4289037836463			394	5	@M128.0199T0.66|+(CO)
M177.9968T0.71	c18hypersil					0.118617734651899	0.75805242353769	0	-0.188182376208498	0.336833652972261	0	-0.165848707237441	0.770567943850058	0	-0.259805836348988	0.249536034481705	0	1.05345379672739	1.16023637781607											M178T1.1	177.996762849075	42.4303313433678		[M+2H-COCH2]2+ 395.984 [M+2H-COCH2]2+ 395.984	49	5	@M110.0093T0.66|+(HCOONa)
M96.9223T0.79	c18hypersil					0.0471174224553188	0.922417893448633	0	-0.257991398668015	0.0620872259438746	0	0.0255002509303175	0.921016462035441	0	-0.326924218808877	0.00981154241660466	1	0.931422963567068	0.00840320130655589											M97T1	96.9223448902847	47.628105888243			1185	6	@M98.9194T0.79|-34S|-41K|-37Cl|@M164.9099T0.78|-(HCOONa)|@M232.8976T0.77|-2(HCOONa)
M154.881T0.79	c18hypersil					0.0778951822367979	0.842359918452784	0	-0.243275379763737	0.137129207873886	0	0.0597449221557724	0.857407137763778	0	-0.395784076340856	0.00853087202713231	1	1.09721279053041	0.196919246442622											M155T1	154.880964345413	47.669514464941			1234	6	@M156.878T0.8|-34S|-41K|-37Cl|@M212.8399T0.8|-(NaCl)|@M222.8687T0.78|-(HCOONa)
M156.878T0.8	c18hypersil					0.104696576984139	0.789516080195796	0	-0.284206674814556	0.0938975164068884	0	0.0855088137707938	0.788543170156266	0	-0.404654422513014	0.00567224532307244	1	1.18857341065892	0.357999369585281											M157T1	156.878042122085	47.7446485840866			1236	6	@M154.881T0.79|+34S|+41K|+37Cl|@M214.8369T0.8|-(NaCl)
M166.9069T0.77	c18hypersil					0.134199415228094	0.682079319225731	0	-0.373116538248722	0.00904788472130357	1	0.0773109821961917	0.776265629188687	0	-0.448758030995112	0.000277527795319074	1	1.47830392486307	0.373429836251031											M167T1	166.906888146068	46.4872515366017		[M+2H-C4H8]2+ 387.869	49	6	@M164.9099T0.78|+34S|+41K|+37Cl
M212.8399T0.8	c18hypersil					0.0464832844742631	0.92100768704486	0	-0.227717782978658	0.119897161325945	0	-0.00243739486130679	0.979934410364938	0	-0.332949526073996	0.0156279255213302	1	0.824914734735756	0.271541801069791											M213T1	212.839862927011	48.1853700182687			1289	6	@M154.881T0.79|+(NaCl)|@M214.8369T0.8|-34S|-41K|-37Cl|@M270.7987T0.81|-(NaCl)
M214.8369T0.8	c18hypersil					0.0736515052991074	0.826846710364289	0	-0.208030631017724	0.166593549812394	0	0.0411226380351444	0.894115222315553	0	-0.328195812265587	0.0180209978183273	1	1.05741874346065	0.0197906254076934											M215T1	214.836864432281	48.1695408278407			1291	6	@M156.878T0.8|+(NaCl)|@M212.8399T0.8|+34S|+41K|+37Cl|@M272.7957T0.81|-(NaCl)
M216.8341T0.81	c18hypersil					0.0129012532724726	0.997725409408857	0	-0.216980190190622	0.315523163544162	0	-0.0115994205571415	0.999233120528378	0	-0.280873366346563	0.166913015956998	0	0.338207376119285	0.365358932011992											M217T1	216.834104737827	48.7139641404671			1292	6	@M274.7928T0.81|-(NaCl)
M222.8687T0.78	c18hypersil					0.0674433981699671	0.89595082106642	0	-0.357546109021403	0.0248250994282145	1	0.0388049469849392	0.890933686928958	0	-0.389401280892237	0.00363328695437466	1	1.00900887175878	0.070343900863621											M223T1	222.868702862218	46.9963222402786			1304	6	@M154.881T0.79|+(HCOONa)|@M164.9099T0.78|+(NaCl)|@M224.8658T0.78|-34S|-41K|-37Cl|@M290.8564T0.77|-(HCOONa)
M224.8658T0.78	c18hypersil					0.0437255551114966	0.959372994624617	0	-0.319120790610008	0.0653356295973384	0	-0.0229964108744163	0.982048443431631	0	-0.388245321547792	0.00644700985988684	1	0.840153510482277	0.434698345232505											M225T1	224.865784555309	46.9695725503576		[M+H-H20]+ 241.865	90	6	@M222.8687T0.78|+34S|+41K|+37Cl|@M292.8535T0.77|-(HCOONa)
M234.8947T0.77	c18hypersil					0.0595776827608283	0.895632628674704	0	-0.348017571285165	0.00777782677169814	1	0.0386452204235539	0.889252025601962	0	-0.408053614893589	0.00228577577647247	1	1.07423317978252	0.125492462116645											M235T1	234.89470876713	46.1342896380282			49	6	@M98.9194T0.79|+2(HCOONa)|@M232.8976T0.77|+34S|+41K|+37Cl
M270.7987T0.81	c18hypersil					0.0121586722576801	0.99931809285141	0	-0.172244916621835	0.251441152786512	0	-0.0112794286440732	0.997009003030871	0	-0.258700991063211	0.0585171439658619	0	0.614526890606519	0.367122894540434											M271T1.1	270.798702295831	48.3343780205705			1355	6	@M212.8399T0.8|+(NaCl)|@M272.7957T0.81|-34S|-41K|-37Cl
M272.7957T0.81	c18hypersil					0.0144895893692016	0.992515864352074	0	-0.157670765815542	0.294087846575917	0	-0.0227516680653856	0.974833347404988	0	-0.2525352971332	0.0770880718978988	0	0.594671161570975	0.522629665940439											M273T1	272.795694148907	48.3446875889551			1357	6	@M214.8369T0.8|+(NaCl)|@M270.7987T0.81|+34S|+41K|+37Cl|@M274.7928T0.81|-34S|-41K|-37Cl
M274.7928T0.81	c18hypersil					-0.00909991592505932	0.949662477044204	0	-0.169719552817806	0.26094084431818	0	-0.0149977447706444	0.99127216009559	0	-0.288958886781849	0.056940281575856	0	0.316288313845548	0.520515265187766											M275T1.1	274.792812540934	48.3465923112193			1360	6	@M216.8341T0.81|+(NaCl)|@M272.7957T0.81|+34S|+41K|+37Cl
M290.8564T0.77	c18hypersil					0.0279608517824919	0.997832831987702	0	-0.414764927284093	0.00913169893709607	1	0.0188742575543159	0.930169412522851	0	-0.410413135521949	0.00088273956167591	1	0.736785697538788	0.0718675332712966											M291T1	290.8563768371	46.3839655393042			49	6	@M222.8687T0.78|+(HCOONa)|@M232.8976T0.77|+(NaCl)|@M292.8535T0.77|-34S|-41K|-37Cl
M292.8535T0.77	c18hypersil					0.0778296504021991	0.881236210410515	0	-0.457051309832964	0.0029763550564113	1	0.0171130240112465	0.937790391020978	0	-0.407693317456614	0.00197393588766739	1	1.0907733636527	0.0119543106341137											M293T1.2	292.853478162327	46.4770294578529			49	6	@M224.8658T0.78|+(HCOONa)|@M290.8564T0.77|+34S|+41K|+37Cl
M300.8852T0.76	c18hypersil					0.0411603610919684	0.954325148528394	0	-0.339028835347985	0.00664095440250134	1	0.0325362098766426	0.889252025601962	0	-0.348924211976726	0.00203932214438744	1	0.894229178561642	0.0755792956680053											M301T1.1	300.885240704301	45.8192523544491			49	6	@M232.8976T0.77|+(HCOONa)|@M368.873T0.76|-(HCOONa)
M368.873T0.76	c18hypersil					0.0422491390273407	0.938807626430169	0	-0.285306930012164	0.0264679380326208	1	-0.0136143473598516	0.999930188841627	0	-0.356046011788212	0.0070293077609176	1	0.92123776490648	0.221413408201175											M369T1	368.873049795558	45.6790544656196			49	6	@M300.8852T0.76|+(HCOONa)
M98.9848T9.06	c18hypersil					-0.201295839107839	0.838132614145855	0	1.8686751448269	1.88973322330728e-12	1	0.00850015995637321	0.873103112235065	0	2.02312849977416	1.84907686263161e-14	1	0.816438264071795	0.222474415758891											M99T9	98.9847745983649	543.68678352234			1609	7	@M140.0113T9.06|-(CH3CN)|-(C2H3N)
M99.0427T0.64	c18hypersil					0.0432972279731594	0.918119042159597	0	-0.126222906983415	0.48827697176668	0	-0.0538809155963129	0.930169412522851	0	-0.145663831570296	0.483689191436796	0	0.700111571698711	0.388970738618636											M99T1.6	99.0427496791452	38.6347134896653	[23][M]2+		14	8	@M99.5432T0.65|-13Cdb
M105.0567T1.03	c18hypersil					0.0769863698624977	0.805025021679532	0	0.169475132010549	0.399618482564634	0	0.0971693926773352	0.876206100125323	0	0.187238602111066	0.455098500582965	0	0.729148159405914	0.91235947670695											M105T1.6	105.056690640427	61.5411129437117	[28][M+1]+		26	9	@M104.0533T1.03|+13C|@M151.0621T1.03|-(HCOOH)|-(H2O-CO)
M150T1.5_L.methionine	c18hypersil	L-Methionine;Methionine|S-Ethyl-L-cysteine|D-Penicillamine	CHEBI:16643|CHEBI:50868	2	a,b	0.148153053254394	0.622855308842211	0	0.0366679766519447	0.828069096971032	0	0.134509273177304	0.784485582429273	0	0.143308364643712	0.522614813395972	0	1.45238372198409	1.17451671520428	C00073|C07418	Amino acid metabolism|Metabolism of other amino acids|Miscellaneous	Cysteine and Methionine|Glutathione metabolism|Miscellaneous	Methionine|Others|R-S-Glutathione|Miscellaneous	HMDB00696|HMDB14997	CID6137|CID92185|CID5852	C5H11NO2S	149.0511	FFEARJCKVFRZRR-BYPYZUCNSA-N|ULXKXLZEOGLCRJ-BYPYZUCNSA-N|VVNCNSJFMMFHPL-VKHMYHEASA-N	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1|InChI=1S/C5H11NO2S/c1-2-9-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1|InChI=1S/C5H11NO2S/c1-5(2,9)3(6)4(7)8/h3,9H,6H2,1-2H3,(H,7,8)/t3-/m0/s1	M150T1.5	150.058911198217	61.5411129437117	[96][M]+	[M+H-NH3]+ 166.07	26	9	@M104.0533T1.03|+(HCOOH)|+(H2O-CO)|@M133.0323T1.03|+(NH3)|+NH3|@M151.0621T1.03|-13C|@M152.0545T1.03|-34S|-41K|-37Cl|@M153.0579T1.03|-13C-37Cl|-13C-34S
M104.1076T0.8	c18hypersil					0.00757420870641923	0.95116275676393	0	-0.363370453782707	0.00453490168831906	1	-0.0979285990557734	0.806222871962798	0	-0.399275836139591	0.00210473537071434	1	0.56883612850527	1.0483242743516											M104T1.5	104.10756966333	48.1999800693508	[29][M]+		1190	10	@M105.1109T0.8|-13C
M106.0376T4.88	c18hypersil					0.502002002196747	0.895632628674704	0	-0.310685711874259	0.914712123688248	0	-0.998544440775909	0.853504799234998	0	0.52750800740006	0.841091033153865	0	0.150504752286031	0.897017818285127											M106T5	106.037588895406	293.005275601872	[30][M+1]+		84	11	@M181.0698T4.89|-(C2H5NO2)
M180T5.1_N.benzoylglycine	c18hypersil	Hippuric acid;N-benzoylglycine	CHEBI:18089	2	a,b	0.29322357461778	0.872900046966714	0	-0.070800631466021	0.971888990339389	0	0.0567052818084655	0.977720002090472	0	-0.134271714482818	0.895917904108947	0	0.10918667884221	0.262853798967544	C01586	Amino acid metabolism	Phenylalanine metabolism	Other	HMDB00714	CID464	C9H9NO3	179.05824	QIAFMBKCNZACKA-UHFFFAOYSA-N	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)	M180T5.1	180.066509177349	293.155023932837	[143][M]+	[M+H]+ 179.059	84	11	@M181.0698T4.89|-13C|@M182.0708T4.88|-18O|-13C2|@M202.0485T4.88|-Na|@M224.0305T4.88|-2Na
M291.057T4.88	c18hypersil					0.851414878342192	0.838132614145855	0	-0.734498235931186	0.798759560741325	0	0.301639349598409	0.961558940249289	0	-0.429779480597402	0.873533715742953	0	0.232962996265836	0.178939762374049											M291T5.4	291.057047763413	293.013200629958		[3M+2Na-H]+ 82.0396	84	11	@M202.0485T4.88|+(C2H3NO3)
M296.0725T4.89	c18hypersil					0.704738105222399	0.870971951646577	0	-0.668821697905294	0.821685999401677	0	-0.323564134858003	0.96631229066758	0	0.322735768320113	0.915703397502898	0	0.159335597813035	0.512091084449061											M296T5.1	296.072499066287	293.130399937138		[M+Na]+ 273.082	84	11	@M181.0698T4.89|+(H3PO4)+(NH3)|@M342.0783T4.88|-(HCOOH)|-(H2O-CO)
M342.0783T4.88	c18hypersil					0.665666036598388	0.880042784831546	0	-0.624998243454614	0.834377300333574	0	-0.396880765222134	0.955926680596222	0	0.291319812491238	0.924349479136424	0	0.129546612927939	0.576385821345704											M342T5	342.07832337921	293.093267660105		[M+Na+HCOOH]+ 273.082	84	11	@M296.0725T4.89|+(HCOOH)|+(H2O-CO)
M190.0178T1.51	c18hypersil					0.136042019885625	0.826946155184383	0	0.154289321734456	0.710913109366872	0	-0.17884818449231	0.892068806838355	0	0.102956453763653	0.868313661210635	0	0.254094155947767	0.382788042253917											M190T2	190.01776467894	90.4782310521333	[166][M]+		2791	12	@M110T2.1_2.Aminophenol.o.Aminophe.|+(SO3)|@M191.0211T1.5|-13C|@M192.0135T1.5|-34S|-41K|-37Cl|@M211.9999T1.51|-Na
M146T1.5_spermidine	c18hypersil	Spermidine	CHEBI:16610	2	a,b	0.397325666188653	0.599168099383722	0	-0.588471171164187	0.119897161325945	0	0.614478307492753	0.205616244633128	0	-0.785338132406068	0.0116824969517438	1	1.66680349320706	1.82768280794244	C00315	Amino acid metabolism|Metabolism of other amino acids	Aginine and Proline metabolism|beta-Alanine metabolism|Glutathione metabolism	Pustrescine|beta-Alanine|Spermidine	HMDB01257	CID1102	C7H19N3	145.1579	ATHGHQPFGPMSJY-UHFFFAOYSA-N	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	M146T1.5	146.165736391266	41.218761006438			103	13	@M112.1127T0.63|+2(NH3)
M160.134T5.16	c18hypersil					0.011835572479292	0.954538891018996	0	-0.57603835702454	0.00851551971836919	1	0.129493723931908	0.784485582429273	0	-0.626200680991566	0.00310809386135182	1	0.507231139633656	0.291444005816187											M160T5.3	160.134036377963	309.557110681261	[116][M]+		80	14	@M114.1285T5.16|+(HCOOH)|+(H2O-CO)|@M161.1374T5.16|-13C
M118T1.4_isoamyl.nitrite	c18hypersil	Isopentyl nitrite;Isoamyl nitrite|L-Valine;Valine|5-Aminopentanoic acid;5-Aminovaleric acid	CHEBI:2691|CHEBI:16414|CHEBI:15887	2	a,b	0.0198348545451275	0.908270476340985	0	0.143969768844194	0.270168210758981	0	0.0108049431611263	0.982464256424593	0	0.0877600856969991	0.583255495949938	0	0.348831688839192	0.338551092508392	C07457|C00183|C00431	Amino acid metabolism	Aginine and Proline metabolism|Lysine degradation|Valine, Leucine and Isoleucine biosynthesis|Valine, Leucine and Isoleucine degradation	D-Proline|Others|Valine	HMDB01382|HMDB00883|HMDB03355	CID8053|CID6287|CID138	C5H11NO2	117.079	OWFXIOWLTKNBAP-UHFFFAOYSA-N|KZSNJWFQEVHDMF-BYPYZUCNSA-N|JJMDCOVWQOJGCB-UHFFFAOYSA-N	InChI=1S/C5H11NO2/c1-5(2)3-4-8-6-7/h5H,3-4H2,1-2H3|InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1|InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	M118T1.4	118.086890366058	54.6208955410706	[50][M]+	[M+H-CO]+ 145.082 [M+H-C6H10O5]+ 279.133	33	15	@M119.0902T0.91|-13C|@M120.091T0.91|-18O|-13C2
M138T5_salicylamide	c18hypersil	Salicylamide	CHEBI:32114	2	a,b	-0.19766617562394	0.637922885712741	0	0.0529889229641824	0.904437528528227	0	-0.237558698031652	0.723952309566228	0	0.182402633407275	0.503857273877569	0	0.651292770416274	0.648671708466043					HMDB15687	CID5147	C7H7NO2	137.04768	SKZKKFZAGNVIMN-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c8-7(10)5-3-1-2-4-6(5)9/h1-4,9H,(H2,8,10)	M138T5	138.055605746199	327.482226327692	[77][M]+	[M+2Na-H]+ 93.0858	28	16	@M120.0451T5.46|+(H2O)|@M139.059T5.46|-13C
M166.0507T2.27	c18hypersil					0.207863675142422	0.883628791193682	0	-0.479632438693178	0.496955233858497	0	-0.454070491612159	0.734992238877262	0	-0.989484222297071	0.0350808393886665	1	0.793410543829056	1.04228522105115											M166T2.7	166.050686796998	136.284592923578		[M+K+HCOOH]+ 81.082 [M+Na+HCOOH]+ 97.0559 [M+H+HCOOH]+ 119.038	3193	17	@M120.0451T2.27|+(HCOOH)|+(H2O-CO)
M120.0816T5.97	c18hypersil					0.334026042871518	0.536832458663897	0	0.778456942165151	0.00651561835631451	1	-0.414265176288334	0.873103112235065	0	1.60992934184388	0.167721296140953	0	0.916871445190239	0.443165431530354											M120T6	120.081555956543	358.053278760545			107	18	@M162T6_Tryptophol..3..2.Hydroxy.|-(C2H2O)
M190.0873T5.97	c18hypersil					0.210737585318157	0.570155118757717	0	0.646055245281508	0.00374759036650447	1	0.276470147910413	0.605892131825147	0	0.707217477246791	0.000322032616671599	1	0.737908179422552	1.39260313852822											M190T6.2	190.087254170249	358.208196084268		[M+H-H20]+ 207.091	107	18	@M162T6_Tryptophol..3..2.Hydroxy.|+(CO)
M121.0845T1.9	c18hypersil					0.0274510235443586	0.926039010983584	0	0.0376350907288625	0.846446902334686	0	0.0186653653932822	0.966315316803243	0	0.0201584902317791	0.915307079717671	0	0.608905148317785	0.223460008750246											M121T2.1	121.084460304734	114.031621725783	[53][M+1]+		6	19	@M120.0811T1.9|+13C|@M167.0898T1.9|-(HCOOH)|-(H2O-CO)
