variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	kegg_id	kegg_pathway_family	kegg_pathways	kegg_subpathways	hmdb_id	pubchem_id	formula	monoisotopic_mass	inchikey	inchi	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M112.0069T0.66	c18hypersil					0.0550477789371051	0.782873682108565	0	-0.167936038954771	0.345673648434709	0	-0.0204124211293646	0.96285563112329	0	-0.175903286052655	0.320055557042836	0	0.398452965258863	0.188469583808179	E	E	E	E	E	E											M112T1	112.006897914429	39.5192101193626	[31][M+2]+		10	6	@M110.0094T0.66|+34S|+41K|+37Cl|@M111.0101T0.66|+15N|@M130.0175T0.66|-(H2O)|@M153.0335T0.66|-(CH3CN)|-(C2H3N)|@M154.0368T0.66|-(C2H4N.)
M128.02T0.66	c18hypersil					0.00920205836891341	0.999307818526997	0	-0.126787987421629	0.438880148272239	0	-0.00658517398890268	0.998831534895848	0	-0.160571539566494	0.326230546858196	0	0.18295246858549	0.264383898892584	E	E	E	E	E	E											M128T1.33	128.019978021773	39.5572739358533	[60][M]+	[M+Na+NH3]+ 88.0028	10	6	@M95.0444T0.65|+(HS.)|@M110.0094T0.66|+(H2O)|@M129.0207T0.66|-13C|-15N|@M130.0175T0.66|-34S|-41K|-37Cl|@M156.0148T0.66|-(CO)|@M225.9873T0.66|-(H2SO4)
M129.0207T0.66	c18hypersil					-0.00770770709533153	0.911884522403279	0	-0.142214440778442	0.402743837901278	0	-0.00751250402325354	0.994124803259332	0	-0.139019868803238	0.420575228121683	0	0.0711847512514204	0.304456062806999	E	E	E	E	E	E											M129T1.30	129.020734290089	39.5380225549761	[60][M+1]+		10	6	@M111.0101T0.66|+(H2O)|@M128.02T0.66|+13C|+15N|@M130.0175T0.66|-15N
M151.036T0.66	c18hypersil					0.0546989716401285	0.768568360953567	0	-0.151464455593626	0.380699260573723	0	0.00309822097095491	0.972259058415918	0	-0.157130576523475	0.322930712339574	0	0.450750748745596	0.40913396254307	E	E	E	E	E	E											M151T1.1	151.035995546113	39.5180766656712	[98][M]+		10	6	@M110.0094T0.66|+(CH3CN)|+(C2H3N)|@M152.0369T0.66|-13C|-15N|@M153.0335T0.66|-34S|-41K|-37Cl|@M154.0368T0.66|-13C-37Cl|-13C-34S
M152.0369T0.66	c18hypersil					0.0473327441358116	0.815876688121846	0	-0.152705343864532	0.388650712029542	0	-0.00762169392204015	0.997496885922541	0	-0.172550690384256	0.284838386003852	0	0.36870483030425	0.275564082069151	E	E	E	E	E	E											M152T1.3	152.036905684395	39.5220323101418	[98][M+1]+		10	6	@M111.0101T0.66|+(CH3CN)|+(C2H3N)|@M151.036T0.66|+13C|+15N|@M153.0335T0.66|-15N|@M154.0368T0.66|-18O|-34S|-41K|-37Cl
M153.0335T0.66	c18hypersil					0.0472135900428974	0.813760164108504	0	-0.145412724589466	0.418764429138068	0	-0.0017508626888656	0.988344919058681	0	-0.165033988186771	0.301412228707458	0	0.389672408894187	0.350016573342877	E	E	E	E	E	E											M153T1.2	153.033508571085	39.5180766656712	[98][M+2]+		10	6	@M111.0101T0.66|+(CH2N2)|@M112.0069T0.66|+(CH3CN)|+(C2H3N)|@M151.036T0.66|+34S|+41K|+37Cl|@M152.0369T0.66|+15N|@M154.0368T0.66|-13C
M154.0368T0.66	c18hypersil					0.0618029047596487	0.737692625690501	0	-0.14653695280408	0.423426130608128	0	0.0215173370565047	0.891586142779932	0	-0.170474077173136	0.22135496483451	0	0.414718990894996	0.517438723897324	E	E	E	E	E	E											M154T1.2	154.036824600582	39.525425718354	[98][M+3]+		10	6	@M110.0094T0.66|+(C2H4O)|@M112.0069T0.66|+(C2H4N.)|@M151.036T0.66|+13C+37Cl|+13C+34S|@M152.0369T0.66|+18O|+34S|+41K|+37Cl|@M153.0335T0.66|+13C
M156.0148T0.66	c18hypersil					-0.074211519497478	0.537914194350213	0	-0.135486823533235	0.409783632987474	0	-0.0554899285018884	0.847014926505427	0	-0.188765641623863	0.296509004939279	0	0.320163992669511	0.0341147176501467	E	E	E	E	E	E											M156T1.1	156.014823626112	39.5098859253364	[101][M]+	[M+Na+HCOOH]+ 87.0249	10	6	@M128.02T0.66|+(CO)
M200.9739T0.66	c18hypersil					0.088078577353901	0.751159052738401	0	-0.241257133250393	0.348457439576671	0	0.0286527807140438	0.928835677436682	0	-0.248263577490194	0.397320627104388	0	0.457253452981512	0.53535568489002	E	E	E	E	E	E											M201T1.1	200.973933698617	39.5874338982224			490	6	@M218.9846T0.66|-(H2O)|@M242.0007T0.66|-(CH3CN)|-(C2H3N)
M218.9846T0.66	c18hypersil					0.0462822716449605	0.909593272366851	0	-0.272590410510407	0.259975117265252	0	0.0026852222092284	0.975705784447628	0	-0.293428759618722	0.268464158537431	0	0.341747030080024	0.452126029360509	E	E	E	E	E	E											M219T1	218.984582132416	39.6624008672404			494	6	@M200.9739T0.66|+(H2O)|@M224.9906T0.66|-Li|@M266.0172T0.66|-(CH5NO)
M223.99T0.66	c18hypersil					0.110646063884811	0.714700758553424	0	-0.306011881844437	0.275561937292532	0	0.0500925295085999	0.866487820486388	0	-0.280238166493319	0.276639902326815	0	0.450580942358448	0.662628223495078	E	E	E	E	E	E											M224T1	223.989996196551	39.6099873936402	[253][M]+	[M+Na]+ 201.002	10	6	@M224.9906T0.66|-13C|-15N|@M225.9873T0.66|-34S|-41K|-37Cl|@M242.0007T0.66|-(H2O)|@M265.0168T0.66|-(CH3CN)|-(C2H3N)
M224.9906T0.66	c18hypersil					0.148460686562494	0.530622848604542	0	-0.266125236101445	0.307792325960036	0	0.0661272863066991	0.817622240294888	0	-0.298070072616369	0.212696535032682	0	0.640743652987768	0.766447426981509	E	E	E	E	E	E											M225T1.1	224.990581425433	39.608722643799	[253][M+1]+		495	6	@M218.9846T0.66|+Li|@M223.99T0.66|+13C|+15N|@M225.9873T0.66|-15N|@M243.0012T0.66|-(H2O)|@M266.0172T0.66|-(CH3CN)|-(C2H3N)|@M267.0143T0.66|-(CH2N2)
M225.9873T0.66	c18hypersil					0.110975876067858	0.683304287682632	0	-0.288701770027963	0.264766116401509	0	0.076998418926717	0.794938234035972	0	-0.286667360358571	0.239600713799592	0	0.479449793204667	0.725543471854155	E	E	E	E	E	E											M226T1	225.987309891618	39.5561399668096	[253][M+2]+		496	6	@M128.02T0.66|+(H2SO4)|@M223.99T0.66|+34S|+41K|+37Cl|@M224.9906T0.66|+15N|@M243.9982T0.66|-(H2O)|@M267.0143T0.66|-(CH3CN)|-(C2H3N)
M242.0007T0.66	c18hypersil					0.10029766410435	0.73154501685197	0	-0.277161445958214	0.302967090477207	0	0.0409295022063247	0.883584181384178	0	-0.290748392230306	0.232278903532092	0	0.458260112240887	0.624376093870024	E	E	E	E	E	E											M242T1	242.000691162612	39.8322796255715	[306][M]+	[M+Na]+ 219.006	10	6	@M200.9739T0.66|+(CH3CN)|+(C2H3N)|@M223.99T0.66|+(H2O)|@M243.0012T0.66|-13C|-15N|@M243.9982T0.66|-34S|-41K|-37Cl
M243.0012T0.66	c18hypersil					0.0967976267076764	0.73068829477634	0	-0.302165355764092	0.219803661613524	0	-0.0139854785354103	0.999210256236529	0	-0.374094199193273	0.0958181982362514	0	0.445435616758169	0.342896989732283	E	E	E	E	E	E											M243T1.1	243.001234909862	39.8261411256858	[306][M+1]+		497	6	@M224.9906T0.66|+(H2O)|@M242.0007T0.66|+13C|+15N|@M243.9982T0.66|-15N
M243.9982T0.66	c18hypersil					0.113041085237686	0.68939934765221	0	-0.284636486858005	0.296059096339395	0	0.0818186246367887	0.772265348154936	0	-0.296925093137411	0.20445029671154	0	0.466486910676651	0.828120376793725	E	E	E	E	E	E											M244T1	243.998237583142	39.7198817188393	[306][M+2]+		10	6	@M225.9873T0.66|+(H2O)|@M242.0007T0.66|+34S|+41K|+37Cl|@M243.0012T0.66|+15N
M265.0168T0.66	c18hypersil					0.154477691287418	0.577812589185756	0	-0.301562213712224	0.308282915591702	0	0.0843765265301464	0.782591289388424	0	-0.322873017079768	0.202374151181634	0	0.561721064897653	0.752577045005178	E	E	E	E	E	E											M265T1.4	265.016817727134	39.6825123478677	[369][M]+	[3M+H]+ 88.0028	10	6	@M223.99T0.66|+(CH3CN)|+(C2H3N)|@M266.0172T0.66|-13C|-15N|@M267.0143T0.66|-34S|-41K|-37Cl
M266.0172T0.66	c18hypersil					0.152907672124652	0.533833870977385	0	-0.291458248991287	0.27296545491755	0	0.0825513849275303	0.768730661419892	0	-0.289675147589904	0.206880858779816	0	0.594001520882621	0.739076423020711	E	E	E	E	E	E											M266T1.2	266.01720505135	39.6570092462135	[369][M+1]+		10	6	@M218.9846T0.66|+(CH5NO)|@M224.9906T0.66|+(CH3CN)|+(C2H3N)|@M265.0168T0.66|+13C|+15N|@M267.0143T0.66|-15N
M267.0143T0.66	c18hypersil					0.13269691081803	0.62088766332193	0	-0.272319207494334	0.332570634681058	0	0.072916256920184	0.809280916461636	0	-0.28566650730178	0.252316750107123	0	0.53492238848865	0.703461921271144	E	E	E	E	E	E											M267T1.2	267.014314851767	39.6145916635373	[369][M+2]+		10	6	@M224.9906T0.66|+(CH2N2)|@M225.9873T0.66|+(CH3CN)|+(C2H3N)|@M265.0168T0.66|+34S|+41K|+37Cl|@M266.0172T0.66|+15N
M97.0291T0.85	c18hypersil					-0.0758520692346316	0.716088664866284	0	-0.238199316177941	0.417488967522453	0	0.00452183237730708	0.971254154700553	0	-0.268520170686731	0.256043404092855	0	0.33674072042593	0.420824760661391	E	E	E	E	E	E											M97T1.1	97.0290655272779	50.9585419075674			4	7	@M127.0396T0.85|-(CH2O)
M145.0502T0.85	c18hypersil					-0.0976640600971166	0.510532658047011	0	-0.300802844888423	0.145391165565253	0	0.0153516101291444	0.930027623047003	0	-0.26811705133872	0.139168102592846	0	0.454794000685915	0.547173966743679	E	E	E	E	E	E											M145T1.2	145.050230310747	51.0654457445448	[85][M]+		4	7	@M127.0396T0.85|+(H2O)|@M163.0608T0.85|-(H2O)
M164.0642T0.85	c18hypersil					0.151315738526684	0.768568360953567	0	-0.413604408939529	0.388845586677554	0	0.0978059821797466	0.847448787005132	0	-0.357758885543499	0.401803613942314	0	0.271539035602567	0.846434715208538	E	E	E	E	E	E											M164T1.3	164.064164943599	51.2457922697345	[118][M+1]+		4	7	@M163.0608T0.85|+13C
M101.0604T2.25	c18hypersil					-0.177670508326532	0.616486173815797	0	0.154190115457251	0.767842016774418	0	-0.273884424565313	0.519486385286558	0	0.376419862779457	0.29405488275652	0	0.224781826043897	0.57916222693764	E	E	E	E	E	E											M101T2	101.060436200998	135.209741235207			75	8	@M119T2_3.Hydroxypentanoic.acid..|-(H2O)
M102.092T1.67	c18hypersil					0.525415041043836	0.00481066411104798	1	-0.157859244942046	0.649194734469835	0	0.0985000031552303	0.714342508324911	0	-0.183687401600615	0.418334872780651	0	1.65512466036127	0.381555978703754	E	E	E	E	E	E											M102T2.1	102.091975698806	100.097622252888	[24][M]+		45	9	@M103.0953T1.67|-13C
M120.1026T0.76	c18hypersil					-0.819692383962195	0.129990269436666	0	0.270438003932881	0.805797395898693	0	0.302301585801885	0.720237109298321	0	0.114997906680969	0.904342350865918	0	1.09491821908972	0.0328857523710231	E	E	E	E	E	E											M120T1.3	120.102613845132	45.8301762580923	[49][M]+	[M+H-C2H4]+ 147.121	4	10	@M102.092T0.76|+(H2O)|@M121.1059T0.76|-13C
M150T1.5_L.Methionine.Methionine..	c18hypersil	L-Methionine;Methionine|D-Penicillamine	CHEBI:16643|CHEBI:50868	2	a,b	-0.501481407788031	0.000693403904881184	1	0.100081366453939	0.766922656697508	0	-0.230180261364197	0.23896311527547	0	-0.0430743096016144	0.873370321833055	0	1.8875818608581	2.2881180259503	E	E	E	E	E	E	C00073|C07418	Amino acid metabolism|Miscellaneous	Cysteine and Methionine|Miscellaneous	Methionine|Miscellaneous	HMDB00696|HMDB14997	CID6137|CID5852	C5H11NO2S	149.0511	FFEARJCKVFRZRR-BYPYZUCNSA-N|VVNCNSJFMMFHPL-VKHMYHEASA-N	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1|InChI=1S/C5H11NO2S/c1-5(2,9)3(6)4(7)8/h3,9H,6H2,1-2H3,(H,7,8)/t3-/m0/s1	M150T1.5	150.059027580508	61.2991141872277	[97][M]+		3	11	@M104.0535T1.02|+(HCOOH)|+(H2O-CO)|@M133.0325T1.02|+(NH3)|+NH3|@M151.0623T1.02|-13C|@M152.0551T1.03|-34S|-41K|-37Cl
M192T4_N.Acetyl.L.methionine.N..	c18hypersil	N-Acetyl-L-methionine|N-Acetyl-D-penicillamine;N-Acetylpenicillamine	CHEBI:165927	2	a,b	1.63836580569061	9.41254340177979e-05	1	-0.844574045450887	0.092431714542968	0	0.153995191619661	0.756701600494891	0	-0.687219178757662	0.083924497865936	0	1.9408173295834	0.645188690999211	E	E	E	E	E	E	C02712	Amino acid metabolism	Cysteine and Methionine	Others	HMDB11745	CID448580|CID65532	C7H13NO3S	191.0616	XUYPXLNMDZIRQH-LURJTMIESA-N|MNNBCKASUFBXCO-YFKPBYRVSA-N	InChI=1S/C7H13NO3S/c1-5(9)8-6(7(10)11)3-4-12-2/h6H,3-4H2,1-2H3,(H,8,9)(H,10,11)/t6-/m0/s1|InChI=1S/C7H13NO3S/c1-4(9)8-5(6(10)11)7(2,3)12/h5,12H,1-3H3,(H,8,9)(H,10,11)/t5-/m0/s1	M192T4	192.070128167873	250.540902481779	[174][M]+		1738	12	@M104.0536T4.17|+(C3H4O3)|@M174.0594T4.17|+(H2O)|@M193.0735T4.18|-13C|@M194.0659T4.17|-34S|-41K|-37Cl|@M214.0522T4.18|-Na
M104T1.5_L.�..Aminobutyric.acid.L.	c18hypersil	L-α-Aminobutyric acid;L-2-Aminobutyric acid|DL-3-Aminoisobutyric acid;3-Aminoisobutyric acid|2-Aminoisobutyric acid;2-Methylalanine|N,N-Dimethylglycine|γ-aminobutyric acid;GABA;Gamma-Aminobutyric Acid	CHEBI:35619|CHEBI:27389|CHEBI:27971|CHEBI:17724|CHEBI:16865	2	a,b	-0.365695103127141	0.122900623144945	0	0.0818007291582994	0.888919772232916	0	-0.0683084410975994	0.855270517117249	0	-0.0639075931017921	0.849638764433293	0	1.11431488372857	0.815547892246056	E	E	E	E	E	E	C02356|C05145|C03665|C01026|C00334	Amino acid metabolism|Carbohydrate metabolism	Aginine and Proline metabolism|Alanine, Aspartate and Glutamate|Cysteine and Methionine|Glycine, Serine and Threonine|Butanoate metabolism	Pustrescine|Glutamate|Cysteine|Glycine|L-Glutamate	HMDB00452|HMDB03911|HMDB01906|HMDB00092|HMDB00112	CID80283|CID64956|CID6119|CID673|CID119	C4H9NO2	103.0633	QWCKQJZIFLGMSD-VKHMYHEASA-N|QCHPKSFMDHPSNR-UHFFFAOYSA-N|FUOOLUPWFVMBKG-UHFFFAOYSA-N|FFDGPVCHZBVARC-UHFFFAOYSA-N|BTCSSZJGUNDROE-UHFFFAOYSA-N	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1|InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)|InChI=1S/C4H9NO2/c1-4(2,5)3(6)7/h5H2,1-2H3,(H,6,7)|InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)|InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	M104T1.5	104.071278773891	48.2370818735754	[25][M]+	[M+H-CO2]+ 147.057	4	13	@M105.0746T0.8|-13C
M104.1076T0.78	c18hypersil					-0.364691385335338	0.0404815629543649	1	-0.046596487719814	0.805039063476783	0	-0.0381081770634353	0.911014070592136	0	-0.123719260624949	0.58357842747827	0	1.29451131202996	0.893776126917708	E	E	E	E	E	E											M104T1.7	104.107634326812	46.631981817552	[26][M]+		4	14	@M105.1109T0.78|-13C|@M106.1118T0.77|-18O|-13C2
M180T5.1_Hippuric.acid.N.benzoylg.	c18hypersil	Hippuric acid;N-benzoylglycine	CHEBI:18089	2	a,b	0.232895025201419	0.82199763389837	0	-0.213949067423201	0.886713456383477	0	-0.480760179809227	0.72700076603328	0	-0.460699970929348	0.713212224455799	0	0.209686352278965	0.996638116274406	E	E	E	E	E	E	C01586	Amino acid metabolism	Phenylalanine metabolism	Other	HMDB00714	CID464	C9H9NO3	179.05824	QIAFMBKCNZACKA-UHFFFAOYSA-N	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)	M180T5.1	180.066708829414	291.346073375167	[150][M]+		33	15	@M105.0343T4.85|+(C2H5NO2)|@M181.07T4.85|-13C|@M202.0487T4.85|-Na
M129.0555T3.36	c18hypersil					0.136535835856805	0.568398221683676	0	-0.426607178970187	0.0405632308979857	1	0.119496494190393	0.712818955194801	0	-0.363552121969224	0.16856697246373	0	0.491006567127088	0.319503351065266	E	E	E	E	E	E											M129T3	129.055464824302	201.336131669739	[61][M]+	[M+H-H20]+ 146.059	100	16	@M111.0449T3.35|+(H2O)|@M130.0588T3.36|-13C|@M147T3_Adipic.acid|-(H2O)
M148.0693T3.35	c18hypersil					0.35737938346201	0.240729357233166	0	-0.563416114239365	0.0914253914305936	0	0.250853089858394	0.600452554044273	0	-0.567069355584694	0.136622109307221	0	0.844802740210443	0.553348643768653	E	E	E	E	E	E											M148T3.1	148.069337335218	201.267254827845	[91][M+1]+		100	16	@M147T3_Adipic.acid|+13C
M244T1.2_Cytidine	c18hypersil	Cytidine	CHEBI:17562	2	a,b	0.0401852378836054	0.964308482914519	0	-0.249708664676863	0.659072671196146	0	0.5551910311368	0.171041178133426	0	-0.694235235520445	0.0237779837419182	1	0.0701131619267664	1.39309610711119	E	E	E	E	E	E	C00475	Nucleotide metabolism	Pyrimidine metabolism	Cytidine	HMDB00089	CID6175	C9H13N3O5	243.08552	UHDGCWIWMRVCDJ-XVFCMESISA-N	InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1	M244T1.2	244.093880886413	49.1733483126949			4	17	@M112T1.3_Cytosine|+(C5H8O4)|@M245.0973T0.83|-13C
M112.1127T0.62	c18hypersil					0.00927102171905503	0.968270941446475	0	0.0102698100106302	0.975659522423915	0	-0.191482484455481	0.634718329353576	0	-0.297456322362002	0.343803366550193	0	0.291413204593602	0.904572173035129	E	E	E	E	E	E											M112T1.5	112.112726732005	37.2272267247842	[35][M]+		10	18	@M113.1161T0.62|-13C|@M129.1393T0.62|-(NH3)|-NH3
M114.0385T1.06	c18hypersil					-0.111849990869636	0.52664171608526	0	-0.000257756570590573	0.979997497966532	0	0.0858462317551307	0.770869368516606	0	-0.195738774642884	0.429138769094529	0	0.42180911264615	0.191662399035714	E	E	E	E	E	E											M114T1	114.038546045132	63.870637356276	[36][M+1]+		39	19	@M113T1.1_Uracil|+13C|@M246.0812T1.07|-(C5H8O4)
