variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_MX2	biosign_plsda_LAT	biosign_forest_LAT	biosign_svm_LAT	biosign_plsda_MX2	biosign_forest_MX2	biosign_svm_MX2	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M115.9207T8.6	c18acquity			4		0.121473526589057	0.620378796366418	0	0.344111536262222	0.00542624607799154	1	-0.150892462292877	0.77718768220781	0	0.408915397923609	0.0307741898695331	1	1.34327696327278	E	E	E	E	E	E	M116T9	115.920651108811	518.583239779087			60	8	@M116.9285T8.6|-13C|@M117.9285T8.6|-18O|-13C2
M116.9285T8.6	c18acquity			4		0.155205885199974	0.513583322078456	0	0.339458393657221	0.00615379663767391	1	-0.0962137386293307	0.872649246079086	0	0.395315778566845	0.0478716554923297	1	1.11485902129126	E	E	E	E	E	E	M117T9	116.928469821716	518.868958363584			60	8	@M99.9257T8.7|+(OH.)|@M115.9207T8.6|+13C|@M117.9285T8.6|-13C|-15N
M102.0279T1.2	c18acquity			4		0.492742884834602	0.478244215320689	0	-0.497220427697522	0.0921648708873047	0	0.119398937785236	0.801005451933155	0	-0.583288209448186	0.00178891514916314	1	0.761386692297785	E	E	E	E	E	E	M102T1.1	102.0278775672	71.3064507701262	[7][M+1]-		8	9	@M101.0243T1.2|+13C
M145.0142T1.2_1	c18acquity			4		0.488747173430472	0.403780366937687	0	-0.493353433401328	0.058100596456671	0	0.243870687228748	0.538899603052879	0	-0.735395636968194	0.000170595405300092	1	1.1972670174131	E	E	E	E	E	E	M145T1.3	145.01420607273	71.2274569312638			8	9	@M101.0243T1.2|+(CO2)
M146T1.3_L.glutamic.acid	c18acquity	L-glutamic acid	CHEBI:16015	1	a,b,c	0.247023288432599	0.527884163750596	0	-0.0951786291672203	0.710547051434695	0	0.0829551663461245	0.81717264911575	0	-0.466489790672227	0.00135033212775151	1	0.566069971937046	E	E	E	E	E	E	M146T1.3	146.045835760397	54.412537134361	[42][M]-	[M-H-C3H2O3]- 233.055 [M-H-C6H10O5]- 309.106	105	10	@M102.056T0.9|+(CO2)
M102.9567T0.8	c18acquity			4		0.0478437976412209	0.839784475374162	0	0.072926911318973	0.41793650536985	0	-0.0788627708079694	0.77718768220781	0	0.00987337142131395	0.918905640729233	0	1.45566873894727	E	E	E	E	E	E	M103T1	102.956730394485	50.3683204829722			44	11	@M104.9538T0.8|-34S|-41K|-37Cl
M108.0536T9.4	c18acquity			4		0.423473008702421	0.81438944488711	0	-0.0124468061660927	0.988274365866143	0	-0.379260851065846	0.77897065901894	0	1.41132354707039	0.006288299075627	1	0.743163577373173	E	E	B	E	E	E	M108T9	108.053573443776	563.740761694054	[9][M+1]-		96	12	@M107.0502T9.4|+13C
M187.007T9.4	c18acquity			4		0.601289722015807	0.747173396413372	0	0.0413723370853418	0.941891735171106	0	-0.663434255134698	0.680340858812062	0	1.86955214320797	0.0045755492730222	1	0.952073887838242	E	E	A	E	E	A	M187T9	187.007031802144	563.678292095001	[69][M]-	[M+Cl]- 152.041	96	12	@M107.0502T9.4|+(SO3)|@M189.0032T9.4|-34S|-41K|-37Cl
M188.9863T7.5	c18acquity					0.0830559278250558	0.939964658706629	0	0.208924391990029	0.549393257047021	0	-0.588709394939096	0.480562224946938	0	0.0277980337070041	0.921247322295123	0	2.11189743923324	E	E	E	E	E	E	M189T8.1	188.98629673665	452.135701036013	[72][M]-	[M-H]- 189.988	32	13	@M109.0294T7.5|+(SO3)|@M189.9894T7.5|-13C
M111.0087T1.2_2	c18acquity					0.28047733308464	0.198317415807086	0	0.162648997134895	0.122732720379695	0	0.0393744302838144	0.923111562090951	0	0.0255990389863925	0.885065823390406	0	0.294489165007994	E	E	E	E	E	E	M111T1.3	111.008701881015	71.5369075251912	[11][M]-	[M-H]- 112.018 [M-H-H20]- 130.026	8	14	@M112.0121T1.2_1|-13C|@M129.0193T1.2_1|-(H2O)
M173.0819T9.1	c18acquity					0.0526477961970553	0.935664990862925	0	0.0153170862498655	0.939151517879405	0	0.183145160220343	0.777324397408156	0	-0.0981024208266863	0.668694583239368	0	1.51143287001735	E	E	E	E	E	E	M173T9	173.081871034696	548.340830466104	[56][M]-		129	15	@M111.0815T9.1|+(H2O)+(CO2)|@M174.0854T9.1|-13C
M114.934T8.4	c18acquity					0.243417525342172	0.707174020279703	0	-0.0876738707627442	0.827752908320809	0	0.062173662143211	0.943653706178134	0	-0.141273904420283	0.660284235731437	0	0.193147739320526	E	E	E	E	E	E	M115T8.1	114.934042286944	502.114231227306			1806	16	@M116.9284T8.4|-34S|-41K|-37Cl
M115.9206T8.4	c18acquity					0.255608768502844	0.606533023327339	0	0.0638082967295279	0.771595304895857	0	0.145352979788234	0.881000244096902	0	-0.0763165031948247	0.825265661902377	0	0.00662306573069168	E	E	E	E	E	E	M116T8.2	115.920610060723	502.310769924515			136	16	@M116.9284T8.4|-13C|@M117.9286T8.4|-18O|-13C2
M116.9284T8.4	c18acquity					0.325837366452134	0.543861032497723	0	-0.0302197779015501	0.988274365866143	0	0.202041359797423	0.814391099040676	0	-0.151296545707416	0.611605341498871	0	0.30856525154407	E	E	E	E	E	E	M117T8.2	116.928439959678	502.460370984149		[M-H-CO]- 145.931	136	16	@M114.934T8.4|+34S|+41K|+37Cl|@M115.9206T8.4|+13C|@M117.9286T8.4|-13C|-15N
M133.0142T1.2	c18acquity					0.49820287587778	0.11668170134905	0	0.207186046448566	0.183663609446977	0	0.0934080600537364	0.889688301345821	0	0.0648672888052957	0.797245003448157	0	0.692796533936036	A	E	E	E	E	E	M133T1.4	133.014222797696	70.7607900457254		[M-H+HCOOH]- 88.0176	8	17	@M115.0036T1.2|+(H2O)|@M135.0186T1.2|-18O|-13C2
M115.9206T7.9	c18acquity					0.289016614817831	0.65128544559132	0	0.254357067683122	0.345935953923253	0	0.310237586665268	0.77152008244067	0	0.450713704347875	0.188449375444362	0	0.501046783887033	E	E	E	E	E	E	M116T8	115.920593543884	476.029095748172			201	18	@M116.9284T7.9|-13C
M116.9284T7.9	c18acquity					0.327556691356703	0.59604013205282	0	0.290804926598099	0.291072777919879	0	0.385445600431298	0.689761365662497	0	0.449863681893659	0.203811973860133	0	0.703347536304129	E	E	E	E	E	E	M117T8	116.928440213309	476.249196843817			2087	18	@M115.9206T7.9|+13C
M115.9206T9.4	c18acquity					0.0705572012075599	0.828778353204425	0	-0.0522009936754788	0.701449716183624	0	-0.073392756038702	0.807364112118376	0	0.111620327966241	0.295849566496991	0	0.810323795469948	E	E	E	E	E	E	M116T9.2	115.920637606379	564.47061808701			1434	19	@M116.9284T9.4|-13C
M116.9284T9.4	c18acquity					0.110953808737252	0.722579891693731	0	-0.0646138894989434	0.677121580587107	0	-0.0218261864266474	0.943546200182782	0	0.0995614340094786	0.380839004009105	0	0.0912437004459381	E	E	E	E	E	E	M117T9.2	116.92844442669	564.120896469118			96	19	@M115.9206T9.4|+13C
M115.9206T9	c18acquity					0.0402296823606214	0.913431382771301	0	-0.0782657817659924	0.379447611771199	0	-0.0997282981561991	0.842028958744456	0	-0.0685592484795681	0.694136786043048	0	1.26181415171313	E	E	E	E	E	E	M116T9.4	115.920616032899	538.265050993291			1830	20	@M116.9284T9|-13C
M116.9284T9	c18acquity					0.0649863325716939	0.791447604470842	0	-0.0622112358838631	0.498012412095397	0	-0.100045766622911	0.826813661670665	0	-0.0969389866398629	0.535590353945631	0	1.19953540504028	E	E	E	E	E	E	M117T9.3	116.928439018344	537.642956508352			1831	20	@M115.9206T9|+13C
M203T8_L.Tryptophan	c18acquity	L-Tryptophan	CHEBI:27897	1	a,b,c	0.0355013301047009	0.918402882353964	0	0.526373041081957	0.00330469821646658	1	-0.0262990882497398	0.933595035876661	0	0.486964979647961	0.00578790025520559	1	0.299879088682565	E	E	E	E	E	E	M203T8	203.082596203659	452.39203297335	[83][M]-	[M-H]- 204.091	32	21	@M116.0505T7.5_2|+(C3H5NO2)|@M159.0927T7.5|+(CO2)|@M204.0858T7.5|-13C
M121T9_4.Hydroxybenzaldehyde	c18acquity	4-Hydroxybenzaldehyde	CHEBI:17597	2	a,b	0.480410063011895	0.451943141895547	0	0.421218492431294	0.118129675705628	0	0.501401853542662	0.501664589019355	0	0.629844465574855	0.046687315348152	1	1.62451780966794	E	E	E	E	E	E	M121T9	121.029485644015	531.479600710349	[23][M]-		182	22	@M122.0328T8.9|-13C
M124T1.2_L.taurine	c18acquity	L-taurine	CHEBI:15729	2	a,b	0.126501976591662	0.676563666215736	0	-0.0144520395497771	0.981670021346659	0	0.242235027365332	0.253661832927855	0	-0.237142296519526	0.0200054423301851	1	2.23349153293489	E	E	E	E	E	E	M124T1.2	124.007336473433	52.6476572738028	[24][M]-	[M-H]- 125.017	33	23	@M181.966T0.9|-(NaCl)
M183.9629T0.9	c18acquity			4		0.152679669427311	0.532372719128794	0	-0.0739014637997641	0.628130692659592	0	0.246123176253583	0.253661832927855	0	-0.254393558875256	0.017852100201947	1	2.02252109155953	E	E	E	E	E	E	M184T1	183.9628663174	52.3443755290355		[M-H]- 184.969	33	23	@M181.966T0.9|+34S|+41K|+37Cl
M130.0622T1	c18acquity			4		0.186260460764123	0.532372719128794	0	-0.253255314068364	0.0554797825176674	0	0.304322439446196	0.253661832927855	0	-0.263545482072045	0.0397788995402498	1	1.90456237421022	E	E	E	E	E	E	M130T1.3	130.06215420357	58.1451779251806		[M-H]- 131.071	105	24	@M166.0389T1|-(HCl)
M130.0661T10.3	c18acquity					1.37335868967401	0.030412366908279	1	0.164615341804222	0.559234153294763	0	0.643659426335219	0.480562224946938	0	0.0357250150287864	0.982085487878001	0	1.2517509180212	S	S	A	E	E	A	M130T10	130.066098800329	616.98031454028			1705	25	@M174.056T10.3|-(CO2)
M158.9785T0.7	c18acquity					0.130435316831665	0.489225004097384	0	0.0820793446854751	0.362132715108934	0	-0.0452663010751273	0.889688301345821	0	0.0357447877264434	0.759667622383346	0	0.488510221347043	E	E	E	E	E	E	M159T1.1	158.978495667859	43.4268570318642			90	26	@M130.9836T0.7_2|+(CO)|@M159.9798T0.7|-13C|-15N
M131T1.6_L.Ornithine	c18acquity	L-Ornithine	CHEBI:15729	2	a,b	0.201830114902959	0.478244215320689	0	0.204517051785428	0.0956993084579577	0	0.145945367388359	0.66630674953977	0	0.181613245491759	0.124959403560032	0	1.48545041826192	E	E	E	E	E	E	M131T1.6	131.082554295268	54.6444154280761	[32][M]-		105	27	@M174.0884T0.9|-(NHCO)
M178.0509T8.4	c18acquity					0.79507653863052	0.707174020279703	0	-0.263618839299761	0.842787057903542	0	0.445984050323954	0.783653177392557	0	-0.490059946804397	0.395230040088748	0	0.973850056708972	E	E	A	E	E	E	M178T8	178.050932788848	502.310769924515	[59][M]-	[M-H]- 179.058	136	28	@M134.061T8.4|+(CO2)
M139.1128T15.9	c18acquity					0.449263027507117	0.707174020279703	0	0.322882976274787	0.516252496945711	0	0.663562050002028	0.423580148670713	0	-0.0591484091136252	0.83697177232169	0	2.00425623116673	E	E	B	E	E	E	M139T16	139.112765059232	951.688575941322			41	29	@M207.1026T15.9|-(HCOONa)
M163.1128T15.9	c18acquity					0.397246202549709	0.793845576765165	0	0.0801525306289399	0.877543657468249	0	0.589945959936898	0.501664589019355	0	-0.238700036384131	0.532411573615483	0	1.67199479650932	E	E	B	E	E	E	M163T16	163.112849808759	951.680678826546			41	29	@M180.1112T15.9|-(OH.)|@M207.1026T15.9|-(CO2)
M179.1077T15.9	c18acquity					0.372402982081544	0.81438944488711	0	-0.00630881014193641	0.987119148511791	0	0.691379844888392	0.43491992325022	0	-0.23876203622288	0.512644717566907	0	1.95126416335716	E	E	E	E	E	E	M179T16	179.107731474753	951.679791769128	[61][M]-		41	29	@M180.1112T15.9|-13C|@M207.1026T15.9|-(CO)
M208.1093T15.9	c18acquity					0.329256067620022	0.81438944488711	0	0.261002602803208	0.620350117656344	0	0.585778674458327	0.480562224946938	0	0.00323014542376932	0.969902804065381	0	1.76802800568192	E	E	B	E	E	E	M208T16	208.109278527418	951.648555784794			41	29	@M180.1112T15.9|+(CO)|@M207.1026T15.9|+13C
M145T1.7_L.Lysine	c18acquity	L-Lysine	CHEBI:18019	2	a,b	-0.221193974917867	0.489225004097384	0	0.528980181029935	0.000124693286628454	1	-0.074199840489662	0.801005451933155	0	0.590946460603275	2.61336647672364e-05	1	0.579675835549475	E	E	E	E	E	E	M145T1.7	145.098199189998	46.1653037114036	[41][M]-	[M+Cl]- 110.13	139	30	@M281.0731T0.8|-2(HCOONa)
M213.0857T0.8	c18acquity			4		-0.165243311566719	0.679486200427055	0	0.352858954471635	0.01087421533152	1	0.0837406387940902	0.87699099764484	0	0.528582072221296	0.000106455946794816	1	0.32887194229914	E	E	E	E	E	E	M213T1.3	213.085663586343	46.30018068445	[91][M]-	[M+Cl+NaCOOH]- 110.13	139	30	@M281.0731T0.8|-(HCOONa)|@M349.0606T0.8|-2(HCOONa)
M349.0606T0.8	c18acquity					-0.17795543212895	0.606533023327339	0	0.426622378462293	0.00104716761656052	1	-0.00564851605434491	0.953497256748374	0	0.53008912003668	0.000110750652598264	1	0.106060994164624	E	E	E	E	E	E	M349T1.1	349.060558184489	47.0790383046635	[221][M]-	[M-H+NaCOOH]- 282.08 [M-H]- 350.068	18	30	@M213.0857T0.8|+2(HCOONa)|@M281.0731T0.8|+(HCOONa)|@M417.048T0.8|-(HCOONa)|@M485.0354T0.8|-2(HCOONa)
M417.048T0.8	c18acquity			4		-0.13230999227873	0.755355196658358	0	0.48929718349385	7.47373325626823e-05	1	0.00593535303690018	0.965413576387071	0	0.595020643511907	1.09065597111763e-05	1	0.0465498226941474	E	E	E	E	E	E	M417T1	417.048048657936	47.2290521741912	[256][M]-	[M-H+NaCOOH]- 350.068	18	30	@M281.0731T0.8|+2(HCOONa)|@M349.0606T0.8|+(HCOONa)|@M485.0354T0.8|-(HCOONa)|@M553.0227T0.8|-2(HCOONa)
M485.0354T0.8	c18acquity			4		-0.225893523468431	0.478244215320689	0	0.439751536744822	0.000342686420438234	1	-0.0114344961201471	0.923111562090951	0	0.573439226848651	1.61020771417908e-05	1	0.0988229732981303	E	E	E	E	E	E	M485T1.1	485.035416956192	47.1281506047621	[288][M]-		18	30	@M349.0606T0.8|+2(HCOONa)|@M417.048T0.8|+(HCOONa)|@M553.0227T0.8|-(HCOONa)|@M621.0103T0.8|-2(HCOONa)
M553.0227T0.8	c18acquity			4		-0.113631874375542	0.803053007111503	0	0.42616134783858	0.00032598180076702	1	0.0434493107222167	0.95927153626296	0	0.570839812909364	2.39975932732958e-05	1	0.0962521278581135	E	E	E	E	E	E	M553T1.1	553.022728466703	47.2036274899055	[350][M]-		18	30	@M417.048T0.8|+2(HCOONa)|@M485.0354T0.8|+(HCOONa)|@M621.0103T0.8|-(HCOONa)|@M688.9976T0.8|-2(HCOONa)
M621.0103T0.8	c18acquity			4		-0.200438511948263	0.480232947750222	0	0.490774840540951	5.09849241545458e-05	1	-0.0337278029298336	0.88454374358549	0	0.594973838226247	1.48954029272988e-05	1	0.317691797400498	E	E	E	E	E	E	M621T1.1	621.010287178245	47.1881026410738	[421][M]-		18	30	@M485.0354T0.8|+2(HCOONa)|@M553.0227T0.8|+(HCOONa)|@M688.9976T0.8|-(HCOONa)|@M756.9852T0.8|-2(HCOONa)
M688.9976T0.8	c18acquity			4		-0.178237107932318	0.527884163750596	0	0.438963206896572	0.000172102820300827	1	0.000206146856395861	0.95001140264852	0	0.631996592061881	2.01260215261934e-06	1	0.0277454237265656	E	E	E	E	E	E	M689T1.1	688.997568668853	47.1656715207964	[476][M]-	[M+Cl]- 654.02	18	30	@M553.0227T0.8|+2(HCOONa)|@M621.0103T0.8|+(HCOONa)|@M690.0007T0.8|-13C|@M756.9852T0.8|-(HCOONa)|@M824.9726T0.8|-2(HCOONa)
M690.0007T0.8	c18acquity			4		-0.20532613193881	0.527884163750596	0	0.496639455769172	0.000209338009040971	1	0.019439140172496	0.988652220958936	0	0.606111036608329	1.04084989933904e-05	1	0.0754011123189589	E	E	E	E	E	E	M690T1	690.000737654441	47.2585334914418	[476][M+1]-		18	30	@M688.9976T0.8|+13C
M756.9852T0.8	c18acquity			4		-0.170958065177786	0.606533023327339	0	0.497484327048408	8.07713935605046e-05	1	-0.0310414646346047	0.890922369931398	0	0.577759550387389	2.1097481140365e-05	1	0.29825473181881	E	E	E	E	E	E	M757T1.1	756.985187048206	47.134985661814	[510][M]-	[M+Cl+NaCOOH]- 654.02	18	30	@M621.0103T0.8|+2(HCOONa)|@M688.9976T0.8|+(HCOONa)|@M824.9726T0.8|-(HCOONa)|@M892.9605T0.8|-2(HCOONa)
M824.9726T0.8	c18acquity			4		-0.117924312290461	0.755355196658358	0	0.468142270332708	2.08458253805561e-05	1	-0.0436955474040186	0.859641433110958	0	0.61767549509778	2.01260215261934e-06	1	0.524803194913917	E	E	E	E	E	E	M825T1.1	824.97257563131	47.184186502803	[548][M]-		18	30	@M688.9976T0.8|+2(HCOONa)|@M756.9852T0.8|+(HCOONa)|@M825.9759T0.8|-13C|@M892.9605T0.8|-(HCOONa)|@M960.9476T0.8|-2(HCOONa)
M825.9759T0.8	c18acquity			4		-0.187744344489447	0.536369758504188	0	0.496298706002982	9.82328951034276e-05	1	-0.0360858262854453	0.890922369931398	0	0.591027629548911	5.46094984932148e-05	1	0.196990652147734	E	E	E	E	E	E	M826T1	825.975931579004	47.2568487851554	[548][M+1]-		18	30	@M824.9726T0.8|+13C
M892.9605T0.8	c18acquity			4		-0.151400697023973	0.687493861580341	0	0.459688028034607	0.000230281886576046	1	-0.0232972702057772	0.914689838815984	0	0.6001781468928	1.46895176953849e-05	1	0.231086661279902	E	E	E	E	E	E	M893T1.1	892.960465768313	47.184186502803	[598][M]-	[M-H]- 893.968	18	30	@M756.9852T0.8|+2(HCOONa)|@M824.9726T0.8|+(HCOONa)|@M960.9476T0.8|-(HCOONa)
M960.9476T0.8	c18acquity			4		-0.179115164438624	0.652224686589467	0	0.478038652613792	0.000544523255376483	1	-0.0333295169652441	0.907729667845992	0	0.615211591651661	7.44482334050312e-05	1	0.323884970321344	E	E	E	E	E	E	M961T1.2	960.947555850388	47.2290859709867	[631][M]-	[M-H+NaCOOH]- 893.968	18	30	@M824.9726T0.8|+2(HCOONa)|@M892.9605T0.8|+(HCOONa)
M174.9561T0.7_1	c18acquity					0.154709124889752	0.704804615460212	0	-0.153226775845408	0.35901764651333	0	0.0369098254637876	0.923111562090951	0	-0.20165752909319	0.160322559711118	0	0.380418519652373	E	E	E	E	E	E	M175T1.2	174.956064601078	43.1329798232198	[58][M]-		90	31	@M146.9611T0.7_2|+(CO)
M189.0081T0.7	c18acquity					0.116248329149705	0.791447604470842	0	-0.167693571087064	0.236010527327685	0	0.00777721531122388	0.975003588742522	0	-0.204738583826016	0.135178362226147	0	0.0330103662902222	E	E	E	E	E	E	M189T1.1	189.008139348729	43.1423333026378		[M-H]- 190.015	90	31	@M146.9611T0.7_2|+(C3H6)
M150.8865T0.9	c18acquity					-0.000469967478618827	0.983167343948308	0	-0.0702581145114216	0.196257302562965	0	-0.00240227122684189	0.985264791595007	0	0.0179028115016244	0.794277037782453	0	0.410118638006339	E	E	E	E	E	E	M151T1	150.886541183071	53.4183431407341			33	32	@M152.8836T0.9|-34S|-41K|-37Cl
M157.0367T1	c18acquity					0.339632162009536	0.198317415807086	0	-0.130492553108128	0.468882803084591	0	0.41166857113982	0.0643774822715843	0	-0.0347437800835557	0.734264243611187	0	3.07925498312677	A	E	E	A	E	E	M157T1.5	157.036674398529	58.3268445715955			105	33	@M193.0134T1_2|-(HCl)
M204.0666T9.9	c18acquity					0.437301649335449	0.918402882353964	0	-1.09366935344772	0.235841080140206	0	-0.31103615259055	0.919458232741019	0	-0.943884059455696	0.240884988329997	0	0.159033220433192	E	E	A	E	E	A	M204T10.1	204.066631170941	593.062311040761			1539	34	@M160.0767T9.9|+(CO2)
M161.1334T15.7	c18acquity					0.141568641903296	0.949063419988798	0	0.0767375563442538	0.921679159681444	0	0.389625837929762	0.713605707178803	0	-0.280040660467314	0.488984672414215	0	1.03225600616605	E	E	E	E	E	E	M161T16	161.133402038634	943.485635252172		[M-H-CO2]- 206.131	135	35	@M205.1234T15.7|-(CO2)|@M233.1185T15.7|-(CO2)-(CO)
