variableMetadata	MT	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	SPLE	BLK	isotopes	adduct	pcgroup	fold	tstat	pvalue	BiH_Pool_Compounds_QToff_CF_Neg.txt_(MzDelta_Query-Bank(0.005Da)#MzBank#RtQuery#RtDelta_Query-Bank(0.2min.)#RtBank#G#N#compound#composition#exact mass#[(M+H)]+#[(M-H)]-#Masse#Neg Delta ppm#TR)	BiH_AcideAmine_Frag_QTof_CF_Neg.txt_(MzDelta_Query-Bank(0.005Da)#MzBank#RtQuery#RtDelta_Query-Bank(0.2min.)#RtBank#names#M#composition M-H#Masse [M-H]- Th##Masse exp#Tr#Delta Neg ppm)	name	chebi_id	hmdb_id	kegg_id	id_comment	annot_level	annot_confidence
M61.9883T19.6	M62T20.1	61.98828154	61.98807343	61.98850174	19.56569326	19.44914009	19.74579939	50	33	0			369	1.817057018	-19.96308962	0									
M61.9883T19.3	M62T19.1	61.9882833	61.98802138	61.98848756	19.28367241	19.19868433	19.42124712	53	40	2			748	1.478237452	-11.91593672	2.51E-11									
M68.9956T20.2	M69T20	68.9956467	68.9954707	68.9958815	20.18456442	19.98914289	20.52467505	75	47	3			375	1.172141158	4.953356928	0.017276673									
M68.9957T19.5	M69T20.1	68.99565088	68.99547446	68.99591751	19.51980258	19.40004983	19.66937727	36	27	3			352	1.111623219	4.742346461	0.016032258									
M68.9957T19.9	M69T20.2	68.99565655	68.99546558	68.99594063	19.85492643	19.7267291	19.94007496	25	21	2			341	1.076153427	2.367564718	0.118922488									
M68.9957T19.2	M69T19.1	68.99566516	68.99538347	68.9958997	19.16199903	19.06652638	19.36130973	64	51	3			753	1.199318785	4.475373979	0.025324725									
M68.9957T18.9	M69T19	68.99567453	68.99537457	68.99597517	18.88867673	18.47557303	18.96678646	82	45	3		[M-H-CO2]- 113.993	6	1.326625766	8.160331593	0.000240336									
M75.0087T18.7	M75T19	75.00869429	75.00842736	75.00897762	18.74850454	18.72932532	18.75352467	6	6	0			931	1.114893318	-0.771827506	0.488995892									
M76.9541T0.9	M77T1	76.95408063	76.95390551	76.95418252	0.868933377	0.86036438	0.877883624	9	9	0		[M-H-C6H8O6]- 253.995 [M-H-C6H8O6]- 253.995	33	25.29257448	-23.5045263	0									
M78.9187T0.9	M79T1	78.91874629	78.91857272	78.91896122	0.926152596	0.915570045	0.941970108	52	52	0			105	128.1405983	-50.64826707	0									
M78.959T1.2	M79T1.2	78.95897102	78.95867741	78.95916195	1.197015477	1.184456378	1.389456963	35	34	0		[M-H-C6H8O6]- 255.991	8	14.45212241	-19.18635468	0									
M78.959T0.9	M79T1.1	78.95897258	78.95871529	78.95927042	0.944969972	0.894685727	1.081294866	63	51	0			105	15.74012921	-16.76117366	0									
M78.9591T1.6	M79T2	78.9590742	78.95868125	78.959231	1.595149608	1.538200363	1.696895066	7	6	0			246	4.304350962	-19.16016506	0									
M79.9573T8.6	M80T9	79.95726168	79.9569278	79.95753804	8.645300236	8.56415934	8.696276343	54	50	0		[M-H+Cl]2- 125.961	60	46.08687466	-16.52332767	0									
M79.9573T8	M80T8	79.95726792	79.95697837	79.95752386	7.98203786	7.848379377	8.044443171	18	13	0			94	6.502872889	-10.15825152	1.99E-07									
M79.9573T0.9	M80T1	79.95727433	79.95703622	79.95745846	0.873337612	0.864465152	1.033131734	46	45	0			33	101.965937	-35.41111466	0									
M79.9573T9.4	M80T9.1	79.95727678	79.95686934	79.95759659	9.394881047	9.316096513	9.452140137	29	29	0			96	19.27358491	-10.40915219	1.39E-13								4	
M80.9167T0.9	M81T1	80.91669015	80.91643959	80.91692977	0.927466588	0.916793949	0.942635095	52	52	0		[M+Cl]- 45.9534	105	98.92657343	-54.35718579	0									
M80.9651T8.6	M81T9	80.96512294	80.96475513	80.96537736	8.643431108	8.564754581	8.69574738	45	43	0		[M-H-CO2]- 125.961	60	22.36932692	-14.92121741	2.22E-16								4	
M83.9308T19.8	M84T20	83.93076283	83.93044298	83.93108083	19.75762629	19.07653065	20.20888785	58	14	2			1858	1.222960696	1.859863359	0.190018476									
M84.9906T0.2	M85T0	84.99061964	84.99036154	84.9909326	0.157727591	0.156536184	0.158707364	18	17	1		[M-H-CO]- 113.993 [M-H-CO]- 113.993	15	1.098222175	-1.92042173	0.114335727									
M85.9463T25.4	M86T25.1	85.94634917	85.94623232	85.94687544	25.35229469	25.31494198	25.45020627	7	3	2			1319	1.286975717	3.082288807	0.074271934									
M85.9464T24.8	M86T25	85.94639802	85.94616211	85.94694675	24.83765564	24.69992107	24.85362599	20	15	3			101	2.194200837	5.225611981	0.032300429									
M87.0087T20.5	M87T21	87.00865178	87.00832439	87.00897575	20.52598845	20.29367026	21.0090513	22	9	1			88	1.085083205	0.591719542	0.609466467									
M87.0087T1.2	M87T1	87.00869262	87.00852833	87.00888808	1.185351394	1.175712287	1.201670716	28	28	0		[M-H]- 88.0176 [M-H-COCH2]- 130.026	8	1539.3318	-30.71519604	0									
M87.0087T20	M87T20	87.00870164	87.00829573	87.00907866	20.04817038	19.71522575	20.20830524	27	11	0			2258	1.296896232	-2.414294852	0.123989851									
M87.9252T25.9	M88T26.1	87.92517991	87.9248693	87.92543659	25.87385119	25.75045954	25.9999204	64	37	2			2096	1.362294411	4.050359462	0.048843825									
M87.9252T25.1	M88T25	87.92519409	87.92493686	87.92545964	25.08748833	24.85288842	25.28248663	98	52	3			120	1.355557162	4.788076798	0.034393835									
M87.9252T25.6	M88T26	87.9251942	87.92488264	87.92550233	25.55381164	25.2933819	25.74275641	114	51	3			132	1.517933607	5.988202733	0.022862929									
M87.9253T1.2	M88T1	87.92525309	87.9249223	87.92574573	1.200425308	1.183307339	1.413615794	47	43	0		[M+Cl]- 52.9598	8	4.238508731	-17.1561124	2.47E-06									
M88T1.1_Alanine.ou.sarcosine	M88T1.1	88.0403228	88.04021819	88.04057328	0.962295345	0.957522576	0.972256433	10	10	0			105	96.6870229	-36.0872156	0		0.0000227987168#88.0403#0.122295345010016#0.84#L-Alanine#C3H7NO2#C3H6NO2#88.0404018#NA#88.0403#0.84#-1.156287317|0.0000227987168#88.0403#0.172295345010016#0.79#Beta-Alanine#C3H7NO2#C3H6NO2#88.0404018#NA#88.0403#0.79#-1.156287317|0.0000772012832#88.0404#0.142295345010016#0.82#Sarcosine#C3H7NO2#C3H6NO2#88.04039#NA#88.0404#0.82#0.113584231	Alanine ou sarcosine					3	a,b
M88.933T25.7	M89T26	88.93296334	88.93262573	88.93330235	25.68200954	25.4947604	25.96643119	29	13	0			1687	1.15336047	1.873159373	0.182416879									
M88.933T25.3	M89T25	88.93298187	88.93263772	88.93352027	25.33600656	25.08256445	25.48940587	22	12	0			1322	1.164727495	1.33292974	0.303404023									
M89.0242T22.6	M89T23.1	89.02423568	89.02415202	89.02439914	22.58487515	22.52944596	22.64941968	8	8	0			892	1.449272566	-16.13835212	5.05E-05									
M89.0243T23.9	M89T24.1	89.02425756	89.02410553	89.02442613	23.88961035	23.80951291	23.92362414	11	11	0			1309	1.30365515	-9.88887852	4.17E-07									
M89.0243T22.9	M89T23.2	89.02426353	89.02418937	89.02442875	22.92022053	22.78631228	22.96261263	9	8	0			978	1.427596394	-7.118950813	0.011261676									
M89.0243T19.9	M89T20.2	89.02426794	89.02418966	89.0244241	19.86882231	19.74886804	19.94813251	12	11	0			335	1.606635197	-27.30452485	4.87E-12									
M89.0243T20.5	M89T20.1	89.02430211	89.02404654	89.02454155	20.46215796	20.30067757	20.76569183	49	40	1		[M-H]- 90.0316	137	1.306789813	-3.317373407	0.072444862									
M89.0243T20.9	M89T21	89.02430985	89.02416306	89.02461474	20.9306882	20.77408618	21.0334859	28	24	1			532	1.212403694	-8.048081545	9.73E-11									
M89.0243T23.5	M89T23	89.02431594	89.02414639	89.02455927	23.47924265	23.28134759	23.69578445	17	14	0			1063	1.56334343	-15.04064513	3.57E-05									
M89.0243T20.1	M89T20	89.02432239	89.024177	89.0245104	20.1197548	20.01437828	20.16794287	45	44	0			1342	1.418827013	-9.000660153	0.00682502									
M89.0243T18.7	M89T19	89.02432306	89.02406572	89.02456537	18.71918751	18.64919646	18.95228194	62	45	0			930	1.310842247	-5.058979431	0.013923606									
M89.0243T21.7	M89T22	89.02432492	89.02411931	89.02456754	21.74614995	21.46958084	21.92779315	37	35	0		[M-H]- 90.0321	24	1.151592006	-2.569965168	0.09289726									
M89.0243T18	M89T18.1	89.02432564	89.02414537	89.02459811	18.03224832	17.97935983	18.11168991	22	21	0			535	1.391860141	-6.404743719	0.006225229									
M89.0243T18.4	M89T18.2	89.02433552	89.02414745	89.02445403	18.37716073	18.24691682	18.40779845	13	11	0			1049	1.414410115	-11.97538621	1.87E-08									
M89.0243T22.3	M89T22.1	89.024336	89.02415203	89.02454104	22.33343218	22.20478924	22.45102867	21	21	0			53	1.294588575	-7.029286071	0.009533387									
M89.0243T19.3	M89T19.1	89.02433671	89.02412026	89.0245128	19.26196106	19.11295907	19.31654805	50	50	0			381	1.416355462	-16.5938515	0.000227714									
M89.0243T24.4	M89T24	89.02433866	89.02412756	89.0245731	24.39843512	24.1649416	24.55635488	25	20	0			968	1.340721042	-8.28620278	0.000930184									
M89.0243T21.3	M89T21.1	89.02434504	89.02427807	89.02440678	21.29643637	21.16647475	21.32905298	7	7	0			1620	1.146352272	-1.847492506	0.182609192									
M89.0243T1.4	M89T1.1	89.02434551	89.02417699	89.02466153	1.38439661	1.367719771	1.405048796	48	48	0	[3][M]-		177	43.42709837	-22.19659115	0									
M89.0243T1.2	M89T1	89.02434913	89.02418168	89.02458397	1.188467518	1.175712287	1.201670716	52	52	0	[2][M]-		8	7902.26041	-34.13519175	0								4	
M89.0243T12.9	M89T13	89.02434969	89.02407647	89.02451609	12.87507739	12.86580325	12.88177937	6	6	0			20	2.372500151	-7.884014364	1.73E-10									
M89.0244T17.8	M89T18	89.02435912	89.02414309	89.02455687	17.77379016	17.75374841	17.79597937	35	35	0		[M-H-C2H4]- 118.075	14	2.074973525	-15.6184347	4.80E-05									
M89.0244T7.5	M89T8	89.0243733	89.02423662	89.02449823	7.540182183	7.527907927	7.568730623	12	12	0			32	17.10387423	-37.96235584	0									
M89.0244T0.9	M89T1.2	89.0243734	89.0239613	89.02465199	0.875538098	0.753619696	1.004301539	30	16	0		[M-2H]2- 180.063	33	2.609985047	-4.263170774	0.046746437									
M89.0244T0.2	M89T0	89.02438068	89.02402056	89.02453611	0.158767442	0.139766057	0.257535013	11	9	1			15	1.165758592	-1.572971512	0.249184305									
M89.9256T24.8	M90T25	89.92558271	89.92535505	89.92585249	24.81496206	24.80457144	25.06097495	56	52	3		[M-H+Cl]2- 145.889	101	1.248479174	3.068584239	0.083585483									
M89.9257T11.8	M90T12	89.92567541	89.92536176	89.92599003	11.82278639	11.74416563	11.87739906	4	1	1			102	2.142945672	7.222766186	0.013944021									
M90.0277T1.2	M90T1	90.02774924	90.02756269	90.02802798	1.191044337	1.175712287	1.201670716	24	24	0	[2][M+1]-		8	1482.396635	-35.86152731	0									
M90.0278T1.4	M90T1.1	90.02778698	90.02747405	90.0282886	1.379734133	1.367259477	1.394009057	15	15	0	[3][M+1]-		1999	15.88633023	-16.8281611	6.24E-11									
M90.9334T17.8	M91T18	90.93337366	90.93321004	90.93369643	17.84433875	17.70919568	17.86020197	34	33	0			536	1.201157918	3.14267525	0.036089373									
M90.9334T16.2	M91T16.2	90.93338069	90.93322119	90.93363842	16.18760889	16.07400707	16.29119394	11	10	0			1282	1.133031097	5.465688638	0.004527047									
M90.9334T24.8	M91T25	90.93339203	90.93320863	90.93363715	24.81456495	24.80621488	24.82386001	55	52	3	[4][M]-		101	1.116256427	9.297554405	2.48E-06									
M90.9334T16.4	M91T16.1	90.9333926	90.93322288	90.93362498	16.41434569	16.31368232	16.44863026	12	12	0			236	1.110846943	3.985538691	0.015993296									
M90.9334T17.4	M91T17.1	90.9333988	90.93320196	90.93362173	17.39294823	17.13457799	17.41777328	29	19	1			1844	1.193695461	2.644359089	0.071114412									
M90.9334T16.7	M91T17	90.93340792	90.9332476	90.93366635	16.7047508	16.60425506	16.75456094	40	37	0			1084	1.176185281	7.701571698	1.35E-05									
M90.9334T13.6	M91T14.3	90.93341312	90.93336073	90.93350223	13.57839327	13.56721746	13.58737822	5	4	1			1559	1.439280809	8.942885819	0.00749353									
M90.9334T13.1	M91T13.2	90.93341341	90.93316731	90.93352546	13.10624922	13.05976098	13.21071142	6	5	1			230	1.445570762	10.50085333	0.003085828									
M90.9334T15.1	M91T15	90.93341612	90.93318128	90.93360566	15.1126369	15.0392012	15.1606685	48	40	0			1208	1.390372053	11.75113773	0.001631732									
M90.9334T17.6	M91T18.2	90.93341679	90.93320728	90.93369207	17.61694686	17.53777622	17.64282866	14	13	0			2070	1.159701764	4.422850151	4.96E-05									
M90.9334T17	M91T17.2	90.93342169	90.93317481	90.93364651	16.97305591	16.8839185	17.05842974	15	12	1			34	1.275691458	6.983911187	0.002775151									
M90.9334T11.7	M91T12.1	90.93342314	90.93317677	90.93361023	11.72325623	11.56437056	11.87638211	10	8	0			241	1.638849688	21.09395164	3.50E-11									
M90.9334T9.7	M91T10.1	90.93342334	90.93324641	90.93373536	9.687211378	9.552263065	9.715206685	9	7	0			2167	2.47089091	-10.00377413	0.00285895									
M90.9334T11	M91T11.1	90.93342478	90.93325051	90.93384759	10.99047808	10.91018544	11.08905717	7	6	0			206	1.692603708	9.392172564	0.00543343									
M90.9334T18.1	M91T18.1	90.93342762	90.93314874	90.9336554	18.08411828	18.0692735	18.10139519	17	17	0			174	1.264077236	2.794061627	0.078824711									
M90.9334T15.8	M91T16	90.93342777	90.93325379	90.93365315	15.79081526	15.68667549	15.93496996	28	18	2			233	1.325205376	9.750679452	0.002350487									
M90.9334T14.9	M91T15.1	90.93342846	90.93326746	90.93357691	14.87984214	14.78937176	14.90624487	30	28	0			162	1.35608997	20.83816738	8.29E-11									
M90.9334T9.9	M91T10	90.93342925	90.933267	90.93380175	9.871640495	9.821852926	9.98256114	12	11	1			267	1.223172729	-2.650118933	0.102083017									
M90.9334T18.3	M91T18.3	90.93343113	90.93316381	90.93352373	18.33475834	18.2823546	18.4121033	7	6	0			175	1.328589263	2.862752486	0.093560462									
M90.9334T13.4	M91T13.1	90.93343409	90.93328155	90.93359479	13.40978938	13.27910324	13.46808276	8	5	2			1296	1.426364315	10.51155868	0.00294477									
M90.9334T15.5	M91T15.2	90.93344093	90.933282	90.933597	15.46261173	15.31571089	15.50729334	28	24	1			1245	1.421386967	8.806432809	0.006250003									
M90.9334T14.2	M91T14.1	90.93344161	90.93327865	90.9335491	14.18685083	14.07928848	14.20315326	9	8	1			152	1.35449848	12.01756916	0.001048458									
M90.9334T14.6	M91T15.3	90.93344702	90.93319137	90.93359845	14.57555508	14.54347309	14.62502753	19	18	1			1004	1.608422935	14.66466653	0.000858416									
M90.9334T10.8	M91T11	90.93344875	90.93335717	90.93367299	10.75134838	10.71397065	10.79421797	9	7	2			223	1.736574723	10.5584577	0.003574875									
M90.9335T12.6	M91T13	90.93345353	90.93321903	90.93371522	12.64066424	12.49256011	12.79203503	13	9	2			1907	1.45951763	14.03391326	7.24E-05									
M90.9335T14.4	M91T14	90.93345485	90.93326955	90.93357005	14.40289328	14.31276582	14.42598172	13	10	2			229	1.397397578	11.83959519	0.001352231									
M90.9335T12.3	M91T12	90.93345601	90.93323181	90.93372761	12.32782751	12.21868305	12.44042751	11	8	2			227	1.611751894	7.338806899	0.013236612									
M90.9335T13.7	M91T14.2	90.93347798	90.93325355	90.93360511	13.74054311	13.65594747	13.76709232	8	6	2			149	1.404451009	30.03371305	0									
M90.9335T14	M91T14.4	90.93349745	90.93328293	90.93351966	13.95099596	13.92893556	13.98036692	4	3	1			1884	1.374848037	16.30669991	4.53E-05									
M90.9486T25.7	M91T26.1	90.94859296	90.94834078	90.94862779	25.66346777	25.57798444	25.66959525	3	1	1			1697	1.473421927	-1.490629739	0.272080649									
M90.9487T25.8	M91T26.2	90.94873723	90.94865894	90.94881552	25.80336485	25.80023444	25.80649525	2	1	1			238	1.386087237	-1.100907233	0.384263202									
M90.9487T26	M91T26	90.94874379	90.94834378	90.94881979	25.96051192	25.91988444	25.98831777	3	1	1			300	1.04893008	0.133173566	0.905101554									
M91.022T14.7	M91T15.4	91.02198885	91.02168084	91.0222696	14.69127348	14.67981234	14.70443403	39	39	0		[M-H]- 92.0328	11	6.160135747	-15.61474355	0									
M91.921T24.8_1	M92T25	91.92104383	91.92072783	91.92124435	24.81473331	24.80177826	24.82965782	52	49	3	[4][M+1]-		101	1.312235734	1.473159135	0.27549614									
M91.9411T24.8_2	M92T25.1	91.94107036	91.94105532	91.94144507	24.80929107	24.80642442	24.81182514	3	2	1			101	1.077715911	0.205210794	0.856192213									
M92.0505T8.7	M92T9	92.05052243	92.05016358	92.05095529	8.651824148	8.575124888	8.695820572	24	22	0			1080	45.43149038	-18.44602703	0								4	
M92.9202T25.2	M93T25.2	92.92016005	92.91972059	92.92887581	25.20558228	25.03296796	25.32163407	7	4	1		[M-2H]2- 187.856	99	1.023450777	0.07961218	0.943686336									
M92.9278T24.6	M93T25.1	92.92784518	92.927629	92.92824944	24.61286823	24.5951218	24.62542187	22	21	1			30	1.068605337	-0.514260413	0.650386122									
M92.9279T0.9_1	M93T1	92.92791005	92.92774988	92.92905638	0.877267858	0.647974996	0.890920885	57	52	1		[M-H-C6H10O5]- 255.991 [M-H-C6H10O5]- 255.991	33	420.7239808	-181.065829	0									
M92.9279T1.2	M93T1.1	92.92792844	92.92758381	92.92822305	1.248753146	1.234796332	1.261987997	20	20	0		[M-H]- 93.9317	113	175.2608027	-64.42884694	0									
M92.9288T16.7	M93T17	92.92876302	92.92861917	92.92889355	16.70067476	16.61304894	16.75208682	11	9	1			61	1.233546202	4.617901276	0.028024337									
M92.9288T17.8	M93T18	92.92876402	92.92864598	92.92884963	17.84433808	17.83661914	17.84578698	6	6	0			543	1.399450949	2.649940184	0.106191563									
M92.9288T17	M93T17.1	92.92879504	92.92867357	92.92892536	16.9717956	16.94971506	17.14730949	5	4	1			34	1.313869875	3.047767482	0.083464812									
M92.9288T15.1	M93T15	92.92882073	92.92858649	92.92899011	15.14132672	15.04043573	15.1574122	14	13	0			2179	1.388137243	13.07184628	0.000355042									
M92.9288T24.8	M93T25	92.92882833	92.9286556	92.9290725	24.81285921	24.8031785	24.82386001	55	52	3	[5][M]-	[M-H-H20]- 111.949	101	1.114649013	3.377923469	0.066798703									
M92.9289T15.5	M93T15.1	92.92887229	92.92878355	92.92892722	15.46176971	15.41129903	15.48225924	4	3	1			72	1.420316651	6.364194431	0.018192166									
M92.9402T0.9_2	M93T1.2	92.94019985	92.94005723	92.94036139	0.885852644	0.873590216	0.892204448	37	37	0			33	208.7483469	-4.746470548	1.71E-05									
M93.0345T10.4	M93T10	93.03447923	93.03413033	93.03504818	10.38951672	10.3694652	10.4097762	42	42	0		[M-H-CO2]- 138.032	317	2.533882163	-5.129678297	0.020182934									
M93.0345T8	M93T8	93.03451978	93.03422253	93.03477967	7.997420164	7.875593683	8.258066889	72	52	0	[6][M]-	[M-H-CO2]- 138.025	94	194.6801938	-12.00889298	2.22E-16									
M93.0458T1.2	M93T1.3	93.04575175	93.04563963	93.04596339	1.187659751	1.177604898	1.205696751	16	16	0			8	21.82446628	-17.6098653	0									
M93.9291T24.8	M94T25	93.9291393	93.92870567	93.92955882	24.81634867	24.80177826	24.82881112	51	49	2	[5][M+1]-		101	1.117483082	2.821483014	0.050572456									
M94.0379T8	M94T8	94.03787714	94.03743439	94.03809371	7.995916684	7.865457276	8.094892765	65	47	0	[6][M+1]-		94	18.43064516	-11.91220438	0									
M94.9249T1.2	M95T1.1	94.92491577	94.92467197	94.9252217	1.248041122	1.23083184	1.401708383	42	40	0			1581	318.5281005	-62.14314146	0									
M94.9249T24.6	M95T25	94.92492914	94.92454106	94.92521828	24.61300719	24.59097415	24.7145394	53	48	3			30	1.001214665	0.014970962	0.988898978									
M94.9249T0.9_1	M95T1	94.92494875	94.92479575	94.92511996	0.880711436	0.872795805	0.890920885	52	52	0		[M-H]- 95.9302 [M+2Cl]2- 119.911	33	1897.536043	-205.7671626	0									
M94.9264T24.8	M95T25.1	94.92639233	94.92620375	94.92671664	24.81502246	24.80177826	24.82710467	55	52	3	[5][M+2]-		101	1.102480568	2.745937925	0.07019344									
M94.9373T0.9_2	M95T1.2	94.93731832	94.93702472	94.93755371	0.886110095	0.873590216	0.892204448	35	35	0			33	1172.621843	-5.117120732	4.75E-06									
M94.9807T24.6	M95T25.2	94.98067715	94.98051561	94.98108059	24.58752741	24.45159296	24.59836514	7	5	1		[M-H+NH3]- 78.9583	30	1.215000732	1.098039639	0.383134575									
M94.9808T1	M95T1.3	94.98076681	94.980302	94.98123237	0.957522576	0.926673028	1.075137318	33	32	0			105	5.450739325	-14.25115599	8.32E-05	0.0000677867965#94.9808346#0.032477424260185#0.99#63#769#Methanesulfonic acid#CH4O3S#95.9881146#96.9953946#94.9808346#94.9807#1.417127998#0.99								
M95.9274T22.8	M96T23.3	95.92744945	95.92737324	95.92752566	22.84444965	22.80932931	22.87956999	2	1	1			308	1.046811741	-0.362674226	0.74962429									
M95.9276T23.9	M96T24.2	95.92757889	95.9274293	95.92801601	23.93531768	23.90347102	24.02683821	4	3	1			1638	1.115456877	1.016237729	0.407474727									
M95.9276T23.1	M96T23.2	95.92760837	95.92745318	95.9278078	23.10671955	22.98926701	23.21795023	8	4	1			167	1.018289702	0.098064946	0.930575666									
M95.9276T24.9	M96T25	95.92761272	95.92745249	95.92823559	24.92825528	24.90387725	24.94895656	11	8	3			130	1.589289646	2.311741297	0.144234832									
M95.9276T24.3	M96T24	95.92761908	95.92734285	95.92788233	24.26839098	24.05764412	24.39929735	16	10	1			235	1.157719873	-1.656200031	0.218540176									
M95.9277T23.7	M96T24.1	95.92768178	95.92735674	95.92786316	23.67967499	23.61032301	23.83065025	11	6	1			73	1.142494718	-1.8172835	0.186992322									
M95.9277T23.3	M96T23.1	95.92772197	95.92730283	95.92791995	23.3210639	23.28003957	23.38813205	6	5	1			111	1.008464642	-0.198976838	0.850582569									
M95.9278T23.5	M96T23	95.92776261	95.92729852	95.92795481	23.47901653	23.46821008	23.49068442	5	4	1			1069	1.018358814	0.424080667	0.70029983									
M96.0202T1.2	M96T1	96.020249	96.02001995	96.02047548	1.182737618	1.176045831	1.195716561	7	7	0			8	165.0288462	-19.28707942	0									
M96.922T0.9	M97T1	96.92199197	96.92184445	96.92214285	0.885131072	0.872795805	0.892204448	52	52	0		[M+2Cl]2- 123.904	33	727.0749251	-122.0540532	0									
M96.926T24.8	M97T25	96.92603402	96.92569198	96.92627916	24.8166743	24.80297496	24.83195653	53	50	3		[M-H-CH2]- 111.949	101	1.37040558	5.28738397	0.020821074									
M96.96T2.4	M97T2	96.95998092	96.95978523	96.96016726	2.388290938	2.273984158	2.502989431	37	36	0			142	95.18492907	-23.32995231	0								4	
M96.96T2.1	M97T2.1	96.95998887	96.95980945	96.96021174	2.077471025	1.702001349	2.248564592	52	47	0			109	81.08812739	-15.31525626	0									
M96.96T22.7	M97T23	96.95998931	96.95975433	96.96028716	22.66186746	22.50938749	22.86269999	8	2	1			885	1.889635017	-12.71620642	4.72E-05									
M96.96T8.4	M97T8.1	96.95999782	96.95989112	96.96930517	8.356597421	8.342262694	8.370587668	6	6	0			1807	7.133145215	-27.8025279	8.89E-10									
M96.96T7.5	M97T8	96.96001024	96.95970847	96.96049873	7.535215244	7.312424812	7.568730623	58	52	0		[M-H+NH3]- 80.9477	32	16.61181516	-41.39050935	0									
M96.96T8.6	M97T9	96.96002944	96.95972261	96.96017402	8.637542447	8.616938996	8.702673158	9	8	0		[M-H-CO]- 125.961	60	9.424154408	-21.00361203	2.99E-11								4	
