variableMetadata	category	measurement	category_full	transformation	limma2ways_WT.LAT_diff	limma2ways_WT.LAT_BH	limma2ways_WT.LAT_signif	limma2ways_M.F_diff_LAT	limma2ways_M.F_BH_LAT	limma2ways_M.F_signif_LAT	limma2ways_WT.MX2_diff	limma2ways_WT.MX2_BH	limma2ways_WT.MX2_signif	limma2ways_M.F_diff_MX2	limma2ways_M.F_BH_MX2	limma2ways_M.F_signif_MX2	OPLSDA_VIP-pred_LAT	OPLSDA_VIP-pred_MX2
Echocardiography_HR..bpm.	Echocardiography	HR (bpm)	Echocardiography using the Vevo light	sqrt	11.92307692	0.959070679	0	38.07142857	0.022575112	1	25.71428571	0.696839525	0	42.29807692	0.009592127	1	0.547618673	1.146326846
Echocardiography_LV.Mass.AW..Corrected...mg.	Echocardiography	LV Mass AW (Corrected) (mg)	Echocardiography using the Vevo light	log	-4.939025641	0.959070679	0	-8.250714286	0.428786778	0	3.007238095	0.954809836	0	-19.17480769	0.011868684	1	0.904763291	0.608760818
Echocardiography_LV.Mass.AW..mg.	Echocardiography	LV Mass AW (mg)	Echocardiography using the Vevo light	log	-6.172307692	0.959070679	0	-10.31428571	0.428786778	0	3.762142857	0.954809836	0	-23.968125	0.011868684	1	0.90468779	0.608964062
Echocardiography_LV.Vol_d..uL.	Echocardiography	LV Vol_d (uL)	Echocardiography using the Vevo light	normal	-0.120717949	0.996806401	0	-1.81	0.872830197	0	0.481095238	0.96655832	0	-11.18052885	0.121960638	0	0.018587869	0.439398785
Echocardiography_LV.Vol_s..uL.	Echocardiography	LV Vol_s (uL)	Echocardiography using the Vevo light	normal	-1.633282051	0.981339142	0	-2.479285714	0.728441838	0	-1.782238095	0.954809836	0	-6.897596154	0.072266863	0	0.329432788	0.207581273
Echocardiography_LVAW_d..mm.	Echocardiography	LVAW_d (mm)	Echocardiography using the Vevo light	normal	-0.011538462	0.981339142	0	-0.062142857	0.682118853	0	0.017857143	0.954809836	0	-0.077788462	0.233896061	0	0.848656259	0.40483389
Echocardiography_LVAW_s..mm.	Echocardiography	LVAW_s (mm)	Echocardiography using the Vevo light	normal	-0.031128205	0.981339142	0	-0.025	0.837629105	0	0.035190476	0.954809836	0	-0.070336538	0.390915531	0	0.98258448	0.842882254
Echocardiography_LVID_d..mm.	Echocardiography	LVID_d (mm)	Echocardiography using the Vevo light	normal	-0.024974359	0.981339142	0	-0.007857143	0.980997855	0	0.010190476	0.96655832	0	-0.237211538	0.171018637	0	0.118912751	0.425784463
Echocardiography_LVID_s..mm.	Echocardiography	LVID_s (mm)	Echocardiography using the Vevo light	normal	-0.092051282	0.981339142	0	-0.055	0.814563019	0	-0.075238095	0.954809836	0	-0.233605769	0.101984333	0	0.563763166	0.309150941
Echocardiography_LVPW_d..mm.	Echocardiography	LVPW_d (mm)	Echocardiography using the Vevo light	log	-0.033846154	0.981339142	0	-0.04	0.739718538	0	0.017857143	0.954809836	0	-0.049903846	0.428971562	0	1.225310003	0.618080984
Echocardiography_LVPW_s..mm.	Echocardiography	LVPW_s (mm)	Echocardiography using the Vevo light	log	-0.006871795	0.981339142	0	-0.055714286	0.70615475	0	0.020380952	0.954809836	0	-0.056153846	0.42795267	0	0.325060785	0.85742824
Eye_Body.weight..g.	Eye	Body weight (g)	Eye Morphology	normal	-0.242051282	0.959070679	0	-4.8	3.56E-07	1	-0.06952381	0.96655832	0	-5.226923077	7.95E-09	1	0.526857116	0.272337071
Eye_Left.inner.plexiform.layer..µm.	Eye	Left inner plexiform layer (µm)	Eye Morphology	normal	-0.91025641	0.981339142	0	-2.3	0.428786778	0	-1.679487179	0.934434446	0	-2.922222222	0.188427269	0	0.87192376	0.45485335
Eye_Left.segments..µm.	Eye	Left segments (µm)	Eye Morphology	normal	0.294871795	0.981339142	0	-0.911111111	0.70615475	0	0.987179487	0.949907781	0	0.755555556	0.690557119	0	0.092779456	0.16861877
Eye_Left.vitreous.humor.thickness..µm.	Eye	Left vitreous humor thickness (µm)	Eye Morphology	normal	-36.1025641	0.03148944	1	-7.744444444	0.476272488	0	-47.48717949	0.002552997	1	-4.522222222	0.817671605	0	2.99754386	3.301753875
Eye_OCT.left.anterior.chamber.depth	Eye	OCT left anterior chamber depth	Eye Morphology	normal	9.072727273	0.959070679	0	-5.875	0.70615475	0	14.41538462	0.540288887	0	-8.35	0.240709486	0	1.293644458	2.046931125
Eye_OCT.left.corneal.thickness	Eye	OCT left corneal thickness	Eye Morphology	normal	1.072727273	0.981339142	0	5.875	0.586607079	0	1.569230769	0.96655832	0	2.4	0.782292814	0	0.058895074	0.495039993
Eye_OCT.left.inner.nuclear.layer..µm.	Eye	OCT left inner nuclear layer (µm)	Eye Morphology	normal	-3.205128205	0.24289264	0	0.577777778	0.768784745	0	-3.820512821	0.166556593	0	0.733333333	0.599616276	0	2.883155675	3.01495356
Eye_OCT.left.outer.nuclear.layer..µm.	Eye	OCT left outer nuclear layer (µm)	Eye Morphology	normal	-1.833333333	0.959070679	0	0.166666667	0.943652248	0	-2.217948718	0.696839525	0	-2.355555556	0.077544361	0	2.316160606	1.70476713
Eye_OCT.left.total.retinal.thickness..µm.	Eye	OCT left total retinal thickness (µm)	Eye Morphology	normal	-4.756410256	0.959070679	0	-0.677777778	0.867971396	0	-4.833333333	0.696839525	0	-3.011111111	0.418907617	0	1.777503744	1.899088575
Eye_OCT.right.corneal.thickness	Eye	OCT right corneal thickness	Eye Morphology	normal	7.416666667	0.959070679	0	3.555555556	0.70615475	0	NA	NA	NA	NA	NA	NA	1.720176022	NA
Eye_OCT.right.inner.nuclear.layer..µm.	Eye	OCT right inner nuclear layer (µm)	Eye Morphology	normal	-1.064102564	0.959070679	0	0.011111111	0.995470993	0	-1.602564103	0.767841844	0	0.133333333	0.922001067	0	1.720294642	0.940136535
Eye_OCT.right.outer.nuclear.layer..µm.	Eye	OCT right outer nuclear layer (µm)	Eye Morphology	normal	-3.192307692	0.130888303	0	-0.388888889	0.739718538	0	-1.884615385	0.696839525	0	-0.444444444	0.826783225	0	2.766184144	1.123790562
Eye_OCT.right.total.retinal.thickness..µm.	Eye	OCT right total retinal thickness (µm)	Eye Morphology	normal	-6.717948718	0.959070679	0	-0.977777778	0.837629105	0	-5.179487179	0.696839525	0	0.866666667	0.795576701	0	1.920855714	1.882449633
Eye_Right.inner.plexiform.layer..µm.	Eye	Right inner plexiform layer (µm)	Eye Morphology	normal	-0.846153846	0.981339142	0	0.466666667	0.885712487	0	-1.692307692	0.949907781	0	-0.933333333	0.785435668	0	0.745575781	1.081708602
Eye_Right.segments..µm.	Eye	Right segments (µm)	Eye Morphology	normal	-0.243589744	0.981339142	0	0.211111111	0.919691375	0	0.987179487	0.918771419	0	1.388888889	0.270679127	0	0.106215451	0.299926061
Eye_Right.vitreous.humor.thickness..µm.	Eye	Right vitreous humor thickness (µm)	Eye Morphology	normal	-32.29487179	0.03148944	1	-16.38888889	0.066875685	0	-20.83333333	0.954809836	0	25.58888889	0.540895194	0	2.98072291	0.277332955
Grip.test_Grip.mean..4paws...g.	Grip test	Grip mean (4paws) (g)	Grip test	normal	12.20266667	0.959070679	0	-5.665714286	0.774882914	0	16.59338095	0.696839525	0	-23.12009615	0.146726527	0	0.812359079	1.255109096
Grip.test_Grip.mean..g.	Grip test	Grip mean (g)	Grip test	normal	-0.307692308	0.981339142	0	-17.95285714	0.045092716	1	-7.856428571	0.767841844	0	-20.305	0.011626542	1	0.400942401	0.691221758
Grip.test_Grip.mean.ratio..g.g.	Grip test	Grip mean ratio (g/g)	Grip test	normal	-0.14	0.981339142	0	0.332857143	0.470919358	0	-0.510714286	0.696839525	0	0.184711538	0.591897906	0	0.800749293	1.836932122
Grip.test_Grip.mean.ratio.4paws...g.g.	Grip test	Grip mean ratio(4paws) (g/g)	Grip test	normal	0.289282051	0.959070679	0	1.865	0.001662259	1	0.371095238	0.954809836	0	1.066346154	0.112844625	0	0.353425211	0.419956457
Grip.test_Trial.1..g.	Grip test	Trial 1 (g)	Grip test	normal	-3.353846154	0.981339142	0	-18	0.057580154	0	-9.128571429	0.767841844	0	-18.77884615	0.053052698	0	0.711168535	0.768181935
Grip.test_Trial.2..g.	Grip test	Trial 2 (g)	Grip test	normal	-0.841025641	0.981339142	0	-16.28571429	0.079831726	0	-5.461904762	0.954809836	0	-19.84615385	0.018443605	1	0.524993082	0.445321588
Grip.test_Trial.3..g.	Grip test	Trial 3 (g)	Grip test	normal	3.271794872	0.981339142	0	-19.57142857	0.039751513	1	-8.980952381	0.696839525	0	-22.29326923	0.002312725	1	0.082922673	0.779483108
Grip.test_Trial1..4paws...g.	Grip test	Trial1 (4paws) (g)	Grip test	normal	13.00512821	0.959070679	0	-5	0.828971278	0	15.25238095	0.759754266	0	-24.58653846	0.163250244	0	0.723181422	1.12722786
Grip.test_Trial2..4paws...g.	Grip test	Trial2 (4paws) (g)	Grip test	normal	14.35384615	0.959070679	0	-8.214285714	0.70615475	0	18.41428571	0.696839525	0	-22.87019231	0.160117634	0	0.81635018	1.223855579
Grip.test_Trial3..4paws...g.	Grip test	Trial3 (4paws) (g)	Grip test	normal	9.246153846	0.959070679	0	-3.785714286	0.837629105	0	16.11428571	0.696839525	0	-21.89903846	0.160117634	0	0.796897756	1.329551394
Grip.test_Weight..g.	Grip test	Weight (g)	Grip test	normal	0.517948718	0.981339142	0	-5.114285714	1.17E-07	1	0.533333333	0.759754266	0	-5.128846154	1.59E-07	1	0.298774554	0.844814978
Gross_Body.Weight..g.	Gross	Body Weight (g)	Gross Pathology	normal	0.254205128	0.98727751	0	-4.219285714	2.44E-06	1	0.12052381	0.954809836	0	-4.671826923	2.46E-07	1	0.17613614	0.650989501
Haematology_.BASO....	Haematology	%BASO (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.027972028	0.954809836	0	0.005594406	0.999081774	0	NA	0.958585096
Haematology_.EOSINO....	Haematology	%EOSINO (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.262237762	0.979666245	0	0.929370629	0.660516087	0	NA	0.017881772
Haematology_.LUC....	Haematology	%LUC (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.208391608	0.696839525	0	-0.194405594	0.281011207	0	NA	1.292215478
Haematology_.LYMPHO....	Haematology	%LYMPHO (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-1.544755245	0.954809836	0	-2.416083916	0.404490886	0	NA	0.782264854
Haematology_.MONO....	Haematology	%MONO (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.263636364	0.954809836	0	-0.223076923	0.826783225	0	NA	0.125212297
Haematology_.NEUTRO....	Haematology	%NEUTRO (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	1.727972028	0.696839525	0	1.930769231	0.17603568	0	NA	1.48896864
Haematology_CHCM..g.dL.	Haematology	CHCM (g/dL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.134265734	0.954809836	0	-0.05034965	0.854298016	0	NA	0.157023884
Haematology_CHDW..g.dL.	Haematology	CHDW (g/dL)	Haematology - Complete blood count (CBC)on the Advia 120	normal	NA	NA	NA	NA	NA	NA	0.024195804	0.954809836	0	0.009370629	0.953769894	0	NA	0.771234636
Haematology_EOSINO..x10E03.cells.µL.	Haematology	EOSINO (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.025594406	0.96655832	0	-0.041538462	0.756297161	0	NA	0.347475909
Haematology_EOSINO.BRUT..x10E03.cells.µL.	Haematology	EOSINO BRUT (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.012797203	0.96655832	0	-0.020769231	0.826783225	0	NA	0.347475909
Haematology_HCT....	Haematology	HCT (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-2.366433566	0.696839525	0	-2.265734266	0.1907625	0	NA	1.857847642
Haematology_HGB..g.dL.	Haematology	HGB (g/dL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.542657343	0.703332666	0	-0.565034965	0.305034146	0	NA	1.541686348
Haematology_HGB.brut..g.dL.	Haematology	HGB brut (g/dL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.271328671	0.703332666	0	-0.282517483	0.319458176	0	NA	1.541686348
Haematology_Hte.brut....	Haematology	Hte brut (%)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-1.183216783	0.696839525	0	-1.132867133	0.1907625	0	NA	1.857847642
Haematology_LUC..x10E03.cells.µL.	Haematology	LUC (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.012307692	0.96655832	0	-0.017902098	0.826783225	0	NA	0.864856134
Haematology_LUC.BRUT..x10E03.cells.µL.	Haematology	LUC BRUT (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.006153846	0.977063782	0	-0.008951049	0.915230641	0	NA	0.864856134
Haematology_LYMPHO..x10E03.cells.µL.	Haematology	LYMPHO (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.901818182	0.696839525	0	-1.565314685	0.006318967	1	NA	0.933763768
Haematology_LYMPHO.BRUT..x10E03.cells.µL.	Haematology	LYMPHO BRUT (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.450909091	0.696839525	0	-0.782657343	0.00717165	1	NA	0.933763768
Haematology_MCH..pg.	Haematology	MCH (pg)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.142657343	0.934434446	0	0.159440559	0.457312212	0	NA	1.321189841
Haematology_MCHC..g.dL.	Haematology	MCHC (g/dL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.224475524	0.954809836	0	0.178321678	0.756297161	0	NA	0.508159205
Haematology_MCV..fL.	Haematology	MCV (fL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	0.141958042	0.96655832	0	0.260839161	0.778762671	0	NA	0.750716769
Haematology_MONO..x10E03.cells.µL.	Haematology	MONO (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.034125874	0.954809836	0	-0.056503497	0.558466426	0	NA	0.222085092
Haematology_MONO.BRUT..x10E03.cells.µL.	Haematology	MONO BRUT (x10E03 cells/µL)	Haematology - Complete blood count (CBC)on the Advia 120	non parametric	NA	NA	NA	NA	NA	NA	-0.017062937	0.96655832	0	-0.028251748	0.756297161	0	NA	0.222085092
