variableMetadata	set	gene	chromato	name	chebi_id	annot_level	annot_confidence	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag	WT.KO_fold	WT.KO_BH	WT.KO_signif	M.F_fold	M.F_BH	M.F_signif	oplsda_vip	biosigner	mixomics
M174.0457T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M174T1.2	174.045718300118	53.4459555429382			33	NA		-0.348596236647635	0.412740550960066	0	0.0020456370585169	0.951995843408045	0	2.10398248069894		0
M167.1076T12.7	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M167T13	167.107595512651	762.936259221582			1908	NA		0.344426975803573	0.412740550960066	0	-0.24850033392916	0.134631375918814	0	2.14180013568019		0
M506.3253T16.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M506T17	506.325341495253	1012.6699472389	[302][M]-		1822	NA		-0.295673616103354	0.412740550960066	0	-0.925822615987896	7.36314890352907e-08	1	1.25672146230841		0
M239.9245T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M240T1.1	239.924544832618	52.4372661513982			33	NA		0.196243156245899	0.412740550960066	0	-0.134324113669287	0.158080054541396	0	2.32651384778918		0
M277.2173T17.6	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M277T18	277.217342886042	1054.15816521978	[133][M]-	[M+Cl]- 242.248 [M-H]- 278.225	2050	NA		-0.330227578471213	0.414616611641599	0	0.189127767818885	0.240033864381003	0	2.34680531241032		0
M139.1128T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M139T16	139.112765059232	951.688575941322			41	29	@M207.1026T15.9|-(HCOONa)	0.663562050002028	0.423580148670713	0	-0.0591484091136252	0.83697177232169	0	2.00425623116673		-0.00301455196083342
M125.0098T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M125T1.2	125.009807777876	52.6269983144405	[24][M+1]-		33	NA		0.192291956842684	0.423580148670713	0	-0.211931612386561	0.0295848031189842	1	1.9526142741024		0
M173.9944T8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M174T8	173.994436306933	477.851581794233	[55][M+1]-		94	36	@M174.9874T8|-15N	0.868833515143828	0.43491992325022	0	-0.169776176902237	0.715714258370193	0	2.0099574228388	svm	0
M419.1531T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M419T16	419.153123736275	951.514542463026	[258][M]-		41	72	@M421.1531T15.9|-18O|-34S|-41K|-37Cl	0.809709894740436	0.43491992325022	0	-0.283964955698377	0.516949841592742	0	1.95295504694888		0
M179.1077T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M179T16	179.107731474753	951.679791769128	[61][M]-		41	29	@M180.1112T15.9|-13C|@M207.1026T15.9|-(CO)	0.691379844888392	0.43491992325022	0	-0.23876203622288	0.512644717566907	0	1.95126416335716		0
M188.104T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M188T1.2	188.103995131451	61.0127685789048			1834	NA		-0.635336866601593	0.43491992325022	0	-0.184595539057373	0.672732016026965	0	1.82710880701463	svm	0
M129.0557T8.4	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M129T8	129.055661722718	501.196475253649	[29][M]-		1809	NA		0.53068090869896	0.43491992325022	0	-0.372195701635047	0.194002674029173	0	1.70934120880019		0
M137T1.5_5.Aminopyridine.3.carbox.	metabolomics_plasma_c18acquity_neg	MX2	c18acquity	5-Aminopyridine-3-carboxylic acid	CHEBI:68578	2	a,b	M137T1.5	137.035578328491	71.2137695957664			8	5	@M93.0458T1.2|+(CO2)	0.501448843100407	0.43491992325022	0	0.0306495004239231	0.974545330230667	0	2.42581321290967		0
M165T8_Terephthalic.acid	metabolomics_plasma_c18acquity_neg	MX2	c18acquity	Terephthalic acid	CHEBI:15702	2	a,b	M165T8	165.019294330134	501.950901327176			136	NA		0.464204907164349	0.43491992325022	0	-0.497274274702841	0.0524469415371455	0	1.92435404432185		0
M174.956T8.4	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M175T8.1	174.956025042685	502.70150704875		[M-H]- 175.966	136	NA		0.434055080790225	0.43491992325022	0	-0.429243708724506	0.0644385404576875	0	1.72869535704904		0
M309.2799T20.3	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M309T20.4	309.27994250779	1217.88990916739	[172][M]-		216	61	@M310.2833T20.3|-13C	-0.397603674297168	0.43491992325022	0	-0.6578144116466	0.00196999485408687	1	1.82977790457769		0
M124.0151T1.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M124T1.3	124.015114603182	71.0465275765932	[25][M]-	[M-H-CO]- 153.011	8	NA		-0.373430520749805	0.43491992325022	0	-0.530484807789399	0.00875295424949545	1	1.59147567969347		0
M373.0768T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M373T1	373.076847998348	57.6621158646002			105	NA		0.362815172109423	0.43491992325022	0	0.0770392600794683	0.781520610527719	0	2.18395760447178		0
M539.0074T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M539T1.1	539.007382362179	47.1917546042648			18	NA		0.31517683634122	0.43491992325022	0	-0.00554254582002223	0.93967428237296	0	2.13328095146318		0
M199.07T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M199T1.3	199.069988488834	46.3267418543163			1827	NA		0.306627830050953	0.43491992325022	0	0.00668502636554358	0.981484045367113	0	2.15281207421714		0
M149.0456T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M149T1.3	149.045587271885	60.9864048219468			1833	NA		0.276696531605392	0.43491992325022	0	-0.0986123539646844	0.50979668777967	0	1.67244338706761		0
M556.3523T16	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M556T16.1	556.352321294368	959.166896343138	[349][M+3]-		2024	NA		-0.27344059877209	0.43491992325022	0	0.277835727242188	0.0641714429850091	0	1.84238217092692		0
M686.2461T14.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M686T14	686.246071084892	854.531178177072			1177	78	@M606.3025T14.2|+2(NaCl)|@M683.2373T14.2|+13C3|+13C+18O	0.270913101518722	0.43491992325022	0	-1.57863989588044	9.74064392660765e-10	1	0.757089700931775		0
M168.0277T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M168T1.1	168.027742504419	54.4289711285792		[M-2H+K]- 131.071 [M+Cl]- 133.061 [M-H]- 169.037	105	NA		0.258760080311323	0.43491992325022	0	-0.580213985860453	0.000233662626798633	1	1.28620525481526		0
M674.9821T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M675T1.1	674.982058133266	47.1471565387898	[463][M]-	[M-2H+Na]- 654.02	18	NA		0.258418218843609	0.43491992325022	0	0.0355175037602642	0.884480080061826	0	2.13397814114442		0
M810.9569T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M811T1.1	810.956881050111	47.1444886288279			18	NA		0.253699960198491	0.43491992325022	0	-0.0721987984074755	0.576400542838651	0	2.07679137889903		-0.0680319723191347
M128.9595T14.2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M129T14	128.959496583459	854.765164524162			1159	NA		0.250413128860243	0.43491992325022	0	-0.522557322705467	0.000388600605995615	1	1.51210380037872		0
M124.9913T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M125T1.1	124.991336332468	56.1065716182567		[M-H]- 126.004	105	NA		0.248415627032827	0.43491992325022	0	0.053215041008194	0.790510506674701	0	1.63062607734666		0
M372.224T18	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M372T18	372.224037532381	1079.31134949025	[226][M+1]-		534	NA		-0.243438776538623	0.43491992325022	0	0.0944245937577541	0.478681080061851	0	2.08630904563111		0
M341.9117T1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M342T1.1	341.911653840879	57.859106348317		[M+Cl]- 306.944	105	NA		0.227511081383588	0.43491992325022	0	-0.174300660577051	0.131363288110033	0	2.01119897733312		0
M126.0032T0.9_2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M126T1.2	126.003155530386	52.6476572738028	[24][M+2]-		33	NA		0.226338531196633	0.43491992325022	0	-0.265839819255438	0.0307741898695331	1	1.6760301250585		0
M608.3569T14.5	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M608T14	608.356860862254	869.359793313288	[404][M]-	[M-H]- 609.368	36	NA		-0.225541340423556	0.43491992325022	0	-0.235724152324515	0.0473515074119199	1	2.09611236308857		0
M178.0997T13.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M178T14	178.099650435781	832.724282411736			1227	NA		0.213330978070918	0.43491992325022	0	-0.0640948198929117	0.569631962385432	0	2.05556481779252		0
M686.2655T14.7	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M686T15.2	686.265542355341	879.686787483906	[468][M+2]-		23	NA		0.201090486484393	0.43491992325022	0	0.140634671494125	0.184899499803389	0	2.0025596469027		0
M979.3054T0.8_2	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M979T1.2	979.305397025206	48.2425518754511		[M-H+NaCOOH]- 912.328	18	NA		0.191169230767683	0.43491992325022	0	-0.486700238501504	5.35505470633232e-05	1	1.27869152072849		0
M228.1605T10.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M228T11	228.160496337453	653.03943455733	[98][M]-		158	NA		-0.175931711856006	0.43491992325022	0	-0.000458135526461234	0.96571036924468	0	2.38175889634133		0
M638.2978T16.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M638T17	638.297779967433	1009.22510096137		[M-H-COCH2]- 681.322	19	NA		0.167258938264203	0.43491992325022	0	0.243570264025218	0.00586246613962775	1	1.58102764684478		0
M685.2636T14.7	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M685T15.2	685.26363393573	879.560178592362	[468][M+1]-		23	NA		0.157416440099732	0.43491992325022	0	0.113068795848415	0.209076046354947	0	2.04960124977757		0
M712.1856T15	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M712T15.1	712.185646054534	897.634182006528	[487][M]-		26	NA		0.128952896112978	0.43491992325022	0	-0.0344055631651017	0.603809429544389	0	2.30972659243704		0
M604.8716T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M605T1	604.871611009153	48.2395949445535	[400][M]-		18	70	@M468.8967T0.8|+2(HCOONa)|@M536.8842T0.8|+(HCOONa)|@M672.859T0.8|-(HCOONa)	0.113774632926503	0.43491992325022	0	-0.32178248784682	2.56939179157437e-05	1	1.3880207971422		0
M212.8393T0.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M213T1	212.839280941145	52.4152010388091		[2M-2H+Na]- 95.9302	33	NA		-0.101783097341372	0.43491992325022	0	0.0858050822816629	0.120444134743954	0	2.11633571935471		0
M971.8777T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M972T1.1	971.877739512742	47.4123834930823	[634][M]2-		18	NA		0.227625763656707	0.438857582562372	0	0.0932441537945259	0.532411573615483	0	2.02583241147389		0
M645.2006T14.6	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M645T15	645.20058565369	877.967167020006			998	NA		-0.186195013553178	0.438857582562372	0	-0.312170223396466	0.00214478573669989	1	1.56131437800636		0
M132T1.1_L.Aspartic.acid	metabolomics_plasma_c18acquity_neg	MX2	c18acquity	L-Aspartic acid	CHEBI:17053	2	a,b	M132T1.1	132.030136774395	52.6476572738028		[M+Cl]- 97.0659	33	NA		0.320707310296273	0.442736864810023	0	-0.241685559715782	0.169669083497716	0	2.37935794584352		0
M507.3184T14.7	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			4		M507T15	507.318401084108	882.006608309538	[300][M+3]-		11	NA		-0.186873490846084	0.442736864810023	0	-0.268565091529329	0.00875295424949545	1	1.6334028995118		0
M826.9307T0.8_1	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M827T1.1	826.930726614572	47.417297479998			18	NA		-1.51557408024694	0.480562224946938	0	1.69075141077561	0.0604791122001782	0	1.49292566397148	svm	0
M923.8204T0.8	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M924T1	923.82042394762	48.9086326750087		[M-2H+Na]- 902.849	18	124	@M855.8336T0.8|+(HCOONa)	-0.819344878996416	0.480562224946938	0	0.419687861097016	0.37811205736541	0	1.65252105679737	svm	0
M319T16_8.S..Hydroxy..5Z.9E.11Z..	metabolomics_plasma_c18acquity_neg	MX2	c18acquity	8(S)-Hydroxy-(5Z,9E,11Z,14Z)-eicosatetraenoic acid	CHEBI:34486	2	a,b	M319T16	319.227875154107	951.587307573708	[190][M]-	[M-H]- 320.236	41	47	@M257.2275T15.9_2|+(H2O)+(CO2)|@M301.2173T15.9|+(H2O)|@M302.2207T15.9|+(OH.)|@M320.2313T15.9|-13C|@M321.2342T15.9|-18O|-13C2|@M387.2152T15.9|-(HCOONa)	0.743557388480877	0.480562224946938	0	-0.247500433431036	0.553127361729906	0	1.83846807673498		0
M188.9863T7.4	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M189T7	188.986260434743	441.263267777992			2065	NA		-0.691058255806094	0.480562224946938	0	0.373462756671813	0.380839004009105	0	1.61992243322882	svm	0
M130.0661T10.3	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M130T10	130.066098800329	616.98031454028			1705	25	@M174.056T10.3|-(CO2)	0.643659426335219	0.480562224946938	0	0.0357250150287864	0.982085487878001	0	1.2517509180212	svm	0
M240.1003T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M240T16	240.100345197521	951.641116150956			41	NA		0.64233999259147	0.480562224946938	0	-0.243356790024704	0.535590353945631	0	1.72242776484543		0
M188.9863T7.5	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M189T8.1	188.98629673665	452.135701036013	[72][M]-	[M-H]- 189.988	32	13	@M109.0294T7.5|+(SO3)|@M189.9894T7.5|-13C	-0.588709394939096	0.480562224946938	0	0.0277980337070041	0.921247322295123	0	2.11189743923324		0
M208.1093T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M208T16	208.109278527418	951.648555784794			41	29	@M180.1112T15.9|+(CO)|@M207.1026T15.9|+13C	0.585778674458327	0.480562224946938	0	0.00323014542376932	0.969902804065381	0	1.76802800568192		0
M489.1401T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M489T16	489.140147223617	951.654243192246			942	NA		0.580204805283676	0.480562224946938	0	-0.0372417422455626	0.898085643540894	0	1.97644150941531		0
M423.1488T15.9	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M423T16	423.148832409252	951.617283386106	[258][M+4]-		41	NA		0.551790099319847	0.480562224946938	0	-0.33450784158067	0.316608214525323	0	1.76298030975723		0
M190.9284T8.4	metabolomics_plasma_c18acquity_neg	MX2	c18acquity			NA		M191T8.1	190.928370609835	502.249725077914		[M-H+HCOOH]- 145.931	136	37	@M233.9467T8.4|-(C2H3O.)	0.510226367349889	0.480562224946938	0	-0.434468414289668	0.138542430439349	0	1.50065513905139		0
