variableMetadata	chromato	name	chebi_id	annot_level	annot_confidence	kegg_id	hmdb_id	id_comment	MT	mz	rt	isotopes	adduct	pcgroup	redund_group	redund_iso_add_frag
M85.963T0.72_3	c18acquity								M86T1.5	85.96303937	43.17909114	[47][M+1]+		14	3	@M84.9596T0.72_2|+13C|@M126.9895T0.72_1|-(CH3CN)|-(C2H3N)
M88.0232T0.72_4	c18acquity			4					M88T1.4	88.02317426	43.1908023	[63][M]2+		14	3	@M70.0124T0.72_3|+(H2O)|@M88.5243T0.72_1|-13Cdb|@M90.0196T0.72_4|-34S|-41K|-37Cl|@M91.0272T0.72_4|-13C-37Cl|-13C-18O|-13C-34S
M88.5243T0.72_1	c18acquity			4					M89T1.1	88.52428945	43.18806918	[63][M+1]2+		14	3	@M70.5138T0.72_1|+(H2O)|@M88.0232T0.72_4|+13Cdb|@M90.5258T0.72_1|-18O|-41K|-37Cl
M88.9525T0.72_2	c18acquity								M89T1.3	88.95246268	43.15932798	[47][M+4]+		14	3	@M84.9596T0.72_2|+44Ca
M90.0196T0.72_4	c18acquity			4					M90T1.7	90.01956728	43.18533612	[63][M+4]2+		14	3	@M88.0232T0.72_4|+34S|+41K|+37Cl|@M90.5258T0.72_1|-13Cdb|@M91.0272T0.72_4|-13C
M90.5258T0.72_1	c18acquity			4					M91T1.2	90.52579349	43.15925904	[74][M]2+		14	3	@M88.5243T0.72_1|+18O|+41K|+37Cl|@M90.0196T0.72_4|+13Cdb|@M91.0272T0.72_4|-13Cdb|@M92.5223T0.72_1|-34S|-41K|-37Cl|@M108.5369T0.72_1|-(H2O)
M102.9706T0.72_3	c18acquity								M103T1.4	102.970615	43.1940504	[113][M]+	[M+K]+ 64.009	14	3	@M84.9596T0.72_2|+(H2O)|@M143.9968T0.72_1|-(CH3CN)|-(C2H3N)
M125.9862T0.72_1	c18acquity								M126T1.3	125.9862108	43.1492157	[165][M]+		14	3	@M84.9596T0.72_2|+(CH3CN)|+(C2H3N)|@M126.9895T0.72_1|-13C|@M143.9968T0.72_1|-(H2O)|@M167.0127T0.72|-(CH3CN)|-(C2H3N)
M126.9895T0.72_1	c18acquity								M127T1.2	126.9894757	43.15919016	[165][M+1]+		14	3	@M84.9596T0.72_2|+(C2H4N.)|@M85.963T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+13C
M143.9968T0.72_1	c18acquity			4					M144T1.1	143.9968307	43.15364598	[196][M]+		14	3	@M72.0089T0.72_4|+(CO2)+(CO)|@M102.9706T0.72_3|+(CH3CN)|+(C2H3N)|@M125.9862T0.72_1|+(H2O)
M167.0127T0.72	c18acquity			4					M167T1.1	167.012716	43.13820336	[250][M]+		14	3	@M125.9862T0.72_1|+(CH3CN)|+(C2H3N)
M116T1.7_L.proline	c18acquity	L-proline	CHEBI:17203	1	a,b,c	C00148	HMDB0000162		M116T1.7	116.0705356	58.85646924	[148][M]+	[M+H]+ 115.063	10	4	@M70.065T0.99|+(HCOOH)|+(H2O-CO)|@M117.0739T0.98_2|-13C
M71.0289T0.72_4	c18acquity			4					M71T1.6	71.02893758	43.17909114			14	5	@M71.5296T0.72_2|-13Cdb|@M72.0278T0.72_5|-13C|-15N|@M74.0324T0.72_4|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-2(H2O)-(CO2)
M71.5296T0.72_2	c18acquity			4					M72T1.1	71.52955138	43.17779538	[19][M]+		14	5	@M71.0289T0.72_4|+13Cdb|@M72.0278T0.72_5|-13Cdb|@M74.5305T0.72_2|-13C-37Cl|-13C-34S
M72.0278T0.72_5	c18acquity			4					M72T1.5	72.02783069	43.1751384		[M+Na]+ 49.0356	14	5	@M71.0289T0.72_4|+13C|+15N|@M71.5296T0.72_2|+13Cdb|@M74.0324T0.72_4|-18O|-13C2|@M152.0366T0.72_3|-2(H2O)-(CO2)
M73.5316T0.72_1	c18acquity			4					M74T1	73.53162723	43.15919016			14	5	@M74.0324T0.72_4|-13Cdb|@M74.5305T0.72_2|-13C|-15N
M74.0324T0.72_4	c18acquity			4					M74T1.6	74.03238756	43.15863318	[24][M]+		14	5	@M71.0289T0.72_4|+13C+37Cl|+13C+18O|+13C+34S|@M72.0278T0.72_5|+18O|+13C2|@M73.5316T0.72_1|+13Cdb|@M74.5305T0.72_2|-13Cdb
M74.5305T0.72_2	c18acquity			4					M75T1.1	74.53050714	43.15932798		[M+H-CH4]+ 89.5606	14	5	@M71.5296T0.72_2|+13C+37Cl|+13C+34S|@M73.5316T0.72_1|+13C|+15N|@M74.0324T0.72_4|+13Cdb|@M92.5413T0.72_2|-(H2O)
M80.0342T0.72_3	c18acquity			4					M80T1.3	80.03423721	43.17779538			14	5	@M80.5347T0.72_2|-13Cdb|@M81.0331T0.72_4|-13C|-15N|@M83.0377T0.72_7|-13C-37Cl|-13C-18O|-13C-34S|@M151.0352T0.72_3|-(C2HNO2)|@M169.0458T0.72_2|-(C2H3NO3)
M80.5347T0.72_2	c18acquity			4					M81T1.1	80.53472243	43.17779538			14	5	@M80.0342T0.72_3|+13Cdb|@M83.5359T0.72_2|-13C-37Cl|-13C-34S
M81.0331T0.72_4	c18acquity			4					M81T1.6	81.03311216	43.19242638			14	5	@M80.0342T0.72_3|+13C|+15N|@M83.0377T0.72_7|-18O|-13C2|@M169.0458T0.72_2|-(C3H4O3)
M82.0137T0.72_2	c18acquity			4					M82T1.6	82.01368528	43.1751384	[37][M]2+		14	5	@M128.0193T0.72_3|-(HCOOH)|-(H2O-CO)|@M146.0301T0.72_3|-(H2O)-(HCOOH)|@M169.0458T0.72_2|-(C3H5NO2)
M82.537T0.72_2	c18acquity			4					M83T1.1	82.53700762	43.172886			14	5	@M83.0377T0.72_7|-13Cdb|@M83.5359T0.72_2|-13C|-15N
M84.0373T0.72_5	c18acquity			4					M84T1.7	84.03730836	43.17649962	[41][M+1]+		14	5	@M83.0377T0.72_7|+13C|+15N|@M83.5359T0.72_2|+13Cdb
M91.5423T0.72_2	c18acquity			4					M92T1.1	91.54234934	43.17909114		[M+H-H20]+ 108.548	14	5	@M92.0429T0.72_5|-13Cdb|@M92.5413T0.72_2|-13C|-15N
M92.0429T0.72_5	c18acquity			4					M92T1.8	92.04290003	43.17909114			14	5	@M91.5423T0.72_2|+13Cdb|@M92.5413T0.72_2|-13Cdb|@M94.0452T0.72_4|-18O|-41K|-13C2|@M128.0193T0.72_3|-(HCl)
M92.5413T0.72_2	c18acquity			4					M93T1.2	92.54130804	43.17779538			14	5	@M74.5305T0.72_2|+(H2O)|@M91.5423T0.72_2|+13C|+15N|@M92.0429T0.72_5|+13Cdb
M94.0452T0.72_4	c18acquity								M94T1.5	94.04515279	43.17199488			14	5	@M92.0429T0.72_5|+18O|+41K|+13C2
M111.0098T0.72_3	c18acquity			4					M111T1.4	111.0097952	43.15925904		[M+2H-CO]2+ 247.991 [M+2H-CO]2+ 247.991	14	5	@M112.0061T0.72_2|-15N|@M129.0204T0.72_4|-(H2O)|@M152.0366T0.72_3|-(CH3CN)|-(C2H3N)|@M153.0329T0.72_2|-(CH2N2)
M112.0061T0.72_2	c18acquity			4					M112T1.4	112.0061126	43.15919016	[131][M]+		14	5	@M111.0098T0.72_3|+15N|@M153.0329T0.72_2|-(CH3CN)|-(C2H3N)
M128.0193T0.72_3	c18acquity			4					M128T1.4	128.0193137	43.1940504			14	5	@M82.0137T0.72_2|+(HCOOH)|+(H2O-CO)|@M92.0429T0.72_5|+(HCl)|@M129.0204T0.72_4|-13C|-15N|@M146.0301T0.72_3|-(H2O)|@M169.0458T0.72_2|-(CH3CN)|-(C2H3N)
M129.0204T0.72_4	c18acquity			4					M129T1.9	129.0204207	43.16404698		[2M+H]+ 64.009	14	5	@M111.0098T0.72_3|+(H2O)|@M128.0193T0.72_3|+13C|+15N|@M146.0191T0.72_2|-(OH.)
M146.0191T0.72_2	c18acquity			4					M146T1.4	146.0191058	43.2150831			1121	5	@M129.0204T0.72_4|+(OH.)
M146.0301T0.72_3	c18acquity			4					M146T1.6	146.0301051	43.172886			14	5	@M82.0137T0.72_2|+(H2O)+(HCOOH)|@M128.0193T0.72_3|+(H2O)|@M152.0366T0.72_3|-Li
M151.0352T0.72_3	c18acquity			4					M151T1.4	151.035194	43.14476688			14	5	@M71.0289T0.72_4|+2(H2O)+(CO2)|@M80.0342T0.72_3|+(C2HNO2)|@M152.0366T0.72_3|-13C|-15N|@M153.0329T0.72_2|-34S|-41K|-37Cl|@M169.0458T0.72_2|-(H2O)
M152.0366T0.72_3	c18acquity			4					M152T1.7	152.0366332	43.15364598		[M+H]+ 151.032	14	5	@M72.0278T0.72_5|+2(H2O)+(CO2)|@M111.0098T0.72_3|+(CH3CN)|+(C2H3N)|@M146.0301T0.72_3|+Li|@M151.0352T0.72_3|+13C|+15N|@M153.0329T0.72_2|-15N
M153.0329T0.72_2	c18acquity			4					M153T1.5	153.0328841	43.15364598	[228][M]+		14	5	@M111.0098T0.72_3|+(CH2N2)|@M112.0061T0.72_2|+(CH3CN)|+(C2H3N)|@M151.0352T0.72_3|+34S|+41K|+37Cl|@M152.0366T0.72_3|+15N
M169.0458T0.72_2	c18acquity			4					M169T1.6	169.0458266	43.13845182		[M+Na+HCOOH]+ 100.049	14	5	@M80.0342T0.72_3|+(C2H3NO3)|@M81.0331T0.72_4|+(C3H4O3)|@M82.0137T0.72_2|+(C3H5NO2)|@M128.0193T0.72_3|+(CH3CN)|+(C2H3N)|@M151.0352T0.72_3|+(H2O)
M72T1.7_L.valine.fragment	c18acquity	L-valine fragment	CHEBI:16414	1	a,b,c	C00183	HMDB0000883		M72T1.7	72.08063765	70.89351576	[20][M]+		1	6	@M73.084T1.18|-13C
M120T1.7_L.Threonine	c18acquity	L-Threonine	CHEBI:16857	1	a,b,c	C00188	HMDB0000167		M120T1.7	120.0655204	53.32830792		[M+K]+ 81.1102 [M+H]+ 119.059	7	7	@M74.0599T0.89|+(HCOOH)|+(H2O-CO)|@M102.0552T0.89|+(H2O)|@M300.1288T0.89|-(C6H10O5)-(H2O)
M130T1.7_peptide	c18acquity	peptide		3	a,b				M130T1.7	130.0499152	71.2468155	[176][M]+		1	8	@M84.0443T1.2|+(HCOOH)|+(H2O-CO)
M147T1.11_peptide	c18acquity	peptide		3	a,b				M147T1.11	147.1128113	45.25963704	[209][M]+	[M+H]+ 146.104	84	9	@M84.0807T0.76|+(NH3)+(HCOOH)|@M130.0863T0.76|+(NH3)|+NH3|@M148.116T0.75|-13C|@M169.0947T0.79|-Na|@M191.0767T0.79|-2Na
M259.0642T0.79	c18acquity			4					M259T1.4	259.0642009	47.26655862	[529][M]+	[M+Na+NaCOOH]+ 168.087	176	9	@M191.0767T0.79|+(HCOONa)|@M327.0518T0.79|-(HCOONa)|@M395.0393T0.79|-2(HCOONa)
M327.0518T0.79	c18acquity			4					M327T1.2	327.0517943	47.29734186		[3M+K]+ 96.0346 [M+K]+ 288.089	176	9	@M191.0767T0.79|+2(HCOONa)|@M259.0642T0.79|+(HCOONa)|@M395.0393T0.79|-(HCOONa)|@M463.0265T0.79|-2(HCOONa)
M395.0393T0.79	c18acquity			4					M395T1.3	395.0392722	47.30582844	[1074][M]+	[M+K+NaCOOH]+ 288.089	176	9	@M259.0642T0.79|+2(HCOONa)|@M327.0518T0.79|+(HCOONa)|@M463.0265T0.79|-(HCOONa)|@M531.0138T0.79|-2(HCOONa)
M463.0265T0.79	c18acquity			4					M463T1.2	463.0265448	47.26931034	[1294][M]+		176	9	@M327.0518T0.79|+2(HCOONa)|@M395.0393T0.79|+(HCOONa)|@M464.0296T0.79|-13C|@M531.0138T0.79|-(HCOONa)|@M599.0011T0.79_2|-2(HCOONa)
M464.0296T0.79	c18acquity			4					M464T1	464.0296353	47.4676152	[1294][M+1]+		176	9	@M463.0265T0.79|+13C
M531.0138T0.79	c18acquity			4					M531T1.3	531.0138193	47.27522556	[1550][M]+		176	9	@M395.0393T0.79|+2(HCOONa)|@M463.0265T0.79|+(HCOONa)|@M532.017T0.79|-13C|@M599.0011T0.79_2|-(HCOONa)|@M666.9886T0.79_2|-2(HCOONa)
M532.017T0.79	c18acquity			4					M532T1	532.0169696	47.29970748	[1550][M+1]+		176	9	@M531.0138T0.79|+13C
M599.0011T0.79_2	c18acquity			4					M599T1.3	599.0011	47.269674	[1797][M]+		176	9	@M463.0265T0.79|+2(HCOONa)|@M531.0138T0.79|+(HCOONa)|@M600.0043T0.79|-13C|@M666.9886T0.79_2|-(HCOONa)|@M734.976T0.79_2|-2(HCOONa)
M600.0043T0.79	c18acquity			4					M600T1	600.0043	47.301078	[1797][M+1]+		176	9	@M599.0011T0.79_2|+13C
M666.9886T0.79_2	c18acquity			4					M667T1.3	666.9886	47.304006	[2018][M]+	[M+H-HCOOH]+ 711.987 [M+H-HCOOH]+ 711.987	176	9	@M531.0138T0.79|+2(HCOONa)|@M599.0011T0.79_2|+(HCOONa)|@M667.9915T0.79_2|-13C|@M734.976T0.79_2|-(HCOONa)|@M802.9632T0.79_2|-2(HCOONa)
M667.9915T0.79_2	c18acquity			4					M668T1.2	667.9915	47.411412	[2018][M+1]+		176	9	@M666.9886T0.79_2|+13C
M734.976T0.79_2	c18acquity			4					M735T1.4	734.976	47.29734	[2226][M]+	[M+Na]+ 711.987 [M+Na]+ 711.987	176	9	@M599.0011T0.79_2|+2(HCOONa)|@M666.9886T0.79_2|+(HCOONa)|@M735.9786T0.79|-13C|@M802.9632T0.79_2|-(HCOONa)|@M870.9508T0.79|-2(HCOONa)
M735.9786T0.79	c18acquity			4					M736T1.1	735.9786	47.29803	[2226][M+1]+		176	9	@M734.976T0.79_2|+13C
M802.9632T0.79_2	c18acquity			4					M803T1.3	802.9632	47.370324	[2428][M]+	[M+Na+NaCOOH]+ 711.987 [M+Na+NaCOOH]+ 711.987	176	9	@M666.9886T0.79_2|+2(HCOONa)|@M734.976T0.79_2|+(HCOONa)|@M803.966T0.79_2|-13C|@M870.9508T0.79|-(HCOONa)|@M938.9383T0.79|-2(HCOONa)
M803.966T0.79_2	c18acquity			4					M804T1.1	803.966	47.31066	[2428][M+1]+		176	9	@M802.9632T0.79_2|+13C
M870.9508T0.79	c18acquity			4					M871T1.2	870.9508	47.302542	[2621][M]+	[M+K]+ 831.988 [M+K]+ 831.988	176	9	@M734.976T0.79_2|+2(HCOONa)|@M802.9632T0.79_2|+(HCOONa)|@M938.9383T0.79|-(HCOONa)
M938.9383T0.79	c18acquity			4					M939T1.2	938.9383	47.362536	[2776][M]+	[M+K+NaCOOH]+ 831.988 [M+K+NaCOOH]+ 831.988	176	9	@M802.9632T0.79_2|+2(HCOONa)|@M870.9508T0.79|+(HCOONa)
M87.0997T1.2_3	c18acquity								M87T1.11	87.09972874	71.82130824	[52][M+1]+		1	10	@M86.0964T1.2_2|+13C
M132T1.11_peptide	c18acquity	peptide		3	a,b				M132T1.11	132.1019736	71.6802255	[182][M]+		1	10	@M86.0964T1.2_2|+(HCOOH)|+(H2O-CO)|@M133.1053T1.19|-13C|@M134.1069T1.19_2|-18O|-13C2
M87.0998T2.12	c18acquity			4					M87T2.2	87.09977545	126.99591072	[54][M+1]+		90	11	@M86.0964T2.12|+13C|@M133.1052T2.11|-(HCOOH)|-(H2O-CO)
M132T2.4_L.leucine	c18acquity	L-leucine	CHEBI:15603	1	a,b,c	C00123	HMDB0000687		M132T2.4	132.1018932	126.66586968	[183][M]+	[M+K+HCOOH]+ 47.1332 [M+Na+HCOOH]+ 63.1072 [M+H+HCOOH]+ 85.0891	90	11	@M86.0964T2.12|+(HCOOH)|+(H2O-CO)|@M133.1052T2.11|-13C
M132.102T8.87	c18acquity			4					M132T9.1	132.1019509	532.14617394		[M+H+NH3]+ 114.071	156	12	@M86.0964T8.88|+(HCOOH)|+(H2O-CO)
M174T9.3_N.Acetyl.L.leucine	c18acquity	N-Acetyl-L-leucine	CHEBI:17786	2	a,b	C02710	HMDB0011756		M174T9.3	174.112441	531.8108955	[265][M]+	[M+H-C5H8O4]+ 305.146	156	12	@M86.0964T8.88|+(C3H4O3)|@M156.1019T8.86|+(H2O)
M87.0998T2.41	c18acquity			4					M87T2.1	87.09979371	144.55545114	[51][M+1]+		50	13	@M86.0964T2.41|+13C|@M133.1052T2.4|-(HCOOH)|-(H2O-CO)
M132T2.3_L.norleucine	c18acquity	L-norleucine	CHEBI:18347	1	a,b,c	C01933	HMDB0001645		M132T2.3	132.1019057	144.15000822	[181][M]+	[M+K+HCOOH]+ 47.1333 [M+Na+HCOOH]+ 63.1072 [M+H+HCOOH]+ 85.0891	50	13	@M86.0964T2.41|+(HCOOH)|+(H2O-CO)|@M133.1052T2.4|-13C
M133T1.8_3.Ureidopropionic.acid	c18acquity	3-Ureidopropionic acid	CHEBI:18261	2	a,b	C02642	HMDB0000026		M133T1.8	133.0608225	70.90856736	[184][M]+		1	14	@M90.0548T1.19|+(NHCO)
M90.5068T8.79_1	c18acquity			4					M91T9	90.50684878	527.58673368		[M+H-H20]+ 107.512	4984	15	@M91.5046T8.84|-15N
M90.5068T8.42	c18acquity			4					M91T8	90.50684928	505.1101281			3574	16	@M91.5046T8.44|-15N
M90.5069T9.27	c18acquity			4					M91T9.2	90.50687395	556.02766098			166	17	@M91.5046T9.17|-15N
M96.9218T0.86	c18acquity			4					M97T1.2	96.92175549	51.3552201		[M+K]+ 57.9565	7	18	@M98.9191T0.86|-34S|-41K|-37Cl
M99.5126T7.93	c18acquity			4					M100T8.2	99.5125588	475.90635522		[M+2H-H20]2+ 215.02	77	19	@M100.5104T7.9|-15N
M99.5126T8.42	c18acquity			4					M100T8	99.51257227	505.12907886			3574	20	@M100.5104T8.41|-15N
M99.5126T7.56	c18acquity			4					M100T8.1	99.51259022	453.505665		[M+3Na-H]2+ 131.07	26	21	@M100.5104T7.55|-15N
M99.5126T9.15	c18acquity			4					M100T9	99.51259404	549.24676794			3091	22	@M100.5104T9.15|-15N|@M101.5093T9.21|-34S|-41K|-37Cl
M99.5126T8.16	c18acquity			4					M100T8.3	99.51261764	489.6257067			4208	23	@M100.5104T8.16|-15N
M99.5126T8.75	c18acquity			4					M100T9.1	99.5126416	524.9001759			3416	24	@M100.5104T8.73_1|-15N
M121.0842T6.19	c18acquity								M121T6	121.0841894	371.10342072	[155][M+1]+		45	25	@M120.0808T6.19|+13C|@M167.0895T6.18|-(HCOOH)|-(H2O-CO)
M166.0862T6.18	c18acquity			4					M166T6.2	166.0862124	371.00026938	[248][M]+	[M+H]+ 165.078	45	25	@M103.0546T6.19|+(NH3)+(HCOOH)|@M120.0808T6.19|+(HCOOH)|+(H2O-CO)|@M167.0895T6.18|-13C
M104.1073T0.87	c18acquity			4					M104T1.16	104.1072941	52.40074548	[116][M]+	[M+Na]+ 81.1102	7	26	@M105.1107T0.87|-13C
M104.1074T1.11	c18acquity			4					M104T1.17	104.1073941	66.48243498	[117][M]+		2	27	@M105.1108T1.11|-13C
M105T8_Hippuric.acid	c18acquity	Hippuric acid	CHEBI:18089	1	a,b,c	C01586	HMDB0000714		M105T8	105.0338832	502.04899446	[120][M]+	[M+Na+NH3]+ 65.015	79	28	@M180.0655T8.37|-(C2H5NO2)
M181.0689T8.37	c18acquity								M181T8	181.0688901	501.98382408	[276][M+1]+		79	28	@M180.0655T8.37|+13C
M106.9508T0.83	c18acquity			4					M107T1.3	106.9508152	49.5413178		[M+2K]2+ 135.975	21	29	@M190.912T0.82_1|-(HCOOK)
M108.518T11.46	c18acquity			4					M109T11.1	108.518013	687.5055228		[M+H]+ 107.508	136	30	@M109.5156T11.47|-15N
M108.518T9.17	c18acquity			4					M109T9	108.5180323	549.968007			78	31	@M109.5156T9.17|-15N
M133T1.10_L.ornithine	c18acquity	L-ornithine	CHEBI:15729	2	a,b	C00077	HMDB0000214		M133T1.10	133.0971678	45.25277262	[185][M]+	[M+H-CH2]+ 146.104	84	32	@M115.0865T0.76|+(H2O)|@M116.0705T0.76|+(NH3)|+NH3
M118.0863T0.91_2	c18acquity								M118T1.10	118.0862532	54.494328	[152][M]+		13	33	@M119.0896T0.91|-13C
M118.0863T1.18_2	c18acquity								M118T1.11	118.0862678	70.71846312	[153][M]+	[M+H+NH3]+ 100.055	1	34	@M119.0896T1.18|-13C|@M120.091T1.18_2|-18O|-13C2
M119.0493T1.2	c18acquity								M119T1.8	119.0493123	71.92629678			1	35	@M136.0758T1.19|-(NH3)|-NH3
M182.0812T1.19_2	c18acquity								M182T1.5	182.0811719	71.27090352	[281][M]+		1	35	@M136.0758T1.19|+(HCOOH)|+(H2O-CO)|@M165.0547T1.19|+(NH3)|+NH3|@M183.0845T1.19|-13C
M166.0862T2.73	c18acquity			4					M166T3	166.0862423	163.87058502	[249][M]+		3641	36	@M120.0808T2.76|+(HCOOH)|+(H2O-CO)|@M167.0896T2.73|-13C
M126.022T0.89	c18acquity			4					M126T1.5	126.0219754	53.22160062		[M+H]+ 125.014	7	37	@M148.0039T0.87_1|-Na
M169.9858T0.86_1	c18acquity								M170T1.2	169.9857877	51.40747122		[M+2Na-H]+ 125.014	7	37	@M148.0039T0.87_1|+Na
M158.9613T8.44	c18acquity			4					M159T8	158.9613084	506.40452958			3585	38	@M128.9508T8.41|+(CH2O)|@M186.9561T8.45|-(CO)
M158.9613T8.89	c18acquity			4					M159T9	158.9613126	533.30430288		[M+H-CO]+ 185.949	156	39	@M128.9508T8.82|+(CH2O)|@M186.9562T8.92_1|-(CO)
M156.9659T9.81	c18acquity			4					M157T10	156.9659458	588.66218862			68	40	@M158.9613T9.74|-34S|-41K|-37Cl|@M204.9669T9.81|-(CH4S)
M158.9613T9.74	c18acquity			4					M159T10.1	158.9612924	584.12975958		[M+K+HCOOH]+ 73.9934 [M+K+HCOOH]+ 73.9934	68	40	@M128.9509T9.75|+(CH2O)|@M156.9659T9.81|+34S|+41K|+37Cl|@M186.9562T9.73|-(CO)|@M204.9669T9.81|-(HCOOH)|-(H2O-CO)
M130T1.9_Pipecolic.acid	c18acquity	Pipecolic acid		1	a,b,c				M130T1.9	130.0863061	70.84291596	[178][M]+	[M+H-COCH2]+ 171.093	1	41	@M131.0897T1.18_3|-13C
